	merge_cluster																															
CNAG_00006_2	24796	24800	5	cdsE	14.00	11.00	14.00	33.00	52.00	28.00	25.00	4.00	17.00	3.00	7.00	9.00	0	0	0	5.00	6.00	12.00	3.00	4.00	7.00	9.00	7.00	11.00	10.00	14.00	11.00	
CNAG_00008_1	28555	28588	34	utr3E	33.00	37.00	28.00	38.00	60.00	40.00	21.00	5.00	27.00	13.00	8.00	9.00	2.00	11.00	4.00	6.00	8.00	19.00	6.00	5.00	9.00	4.00	5.00	6.00	7.00	18.00	7.00	
CNAG_00008_2	30881	30881	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	4.00	1.00	
CNAG_00008_3	31084	31112	29	cdsE	0	0	0	0	0	0	4.00	2.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00008_4	32618	32618	1	cdsE	3.00	2.00	6.00	13.00	9.00	8.00	0	0	0	0	0	0	2.00	2.00	1.00	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	
CNAG_00010_1	35746	35780	35	utr3E	3.00	5.00	4.00	13.00	19.00	20.00	16.00	2.00	8.00	3.00	8.00	8.00	4.00	6.00	6.00	6.00	4.00	18.00	6.00	5.00	3.00	7.00	7.00	5.00	17.00	33.00	23.00	
CNAG_00010_2	35780	35780	1	utr3E	3.00	5.00	4.00	13.00	19.00	20.00	16.00	2.00	8.00	3.00	8.00	8.00	4.00	6.00	6.00	6.00	4.00	18.00	6.00	5.00	3.00	0	0	0	0	0	0	
CNAG_00010_3	35946	35946	1	utr3E	0	0	0	0	0	0	0	0	0	2.00	1.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	3.00	1.00	3.00	
CNAG_00010_4	35947	35947	1	utr3E	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00010_5	35969	35969	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00013_1	45351	45370	20	cdsE	129.00	155.00	145.00	177.00	241.00	147.00	153.00	47.00	91.00	75.00	88.00	125.00	47.00	71.00	34.00	54.00	55.00	167.00	60.00	83.00	69.00	23.00	17.00	36.00	56.00	86.00	54.00	
CNAG_00017_1	54510	54510	1	utr3E	0	0	0	1.00	5.00	1.00	3.00	2.00	2.00	0	0	0	0	0	0	0	0	0	1.00	1.00	3.00	0	0	0	1.00	2.00	4.00	
CNAG_00017_2	57388	57397	10	cdsE	4.00	5.00	3.00	7.00	11.00	9.00	9.00	4.00	10.00	2.00	2.00	2.00	2.00	4.00	1.00	4.00	4.00	6.00	0	0	0	3.00	2.00	3.00	0	0	0	
CNAG_00019_1	61897	61963	67	utr3E	69.00	87.00	72.00	282.00	434.00	265.00	197.00	44.00	111.00	63.00	93.00	140.00	41.00	47.00	27.00	75.00	44.00	163.00	30.00	40.00	27.00	24.00	20.00	21.00	51.00	68.00	47.00	
CNAG_00021_1	66591	66597	7	utr3E	150.00	176.00	158.00	368.00	580.00	415.00	214.00	67.00	136.00	51.00	64.00	97.00	34.00	41.00	11.00	72.00	42.00	144.00	36.00	50.00	29.00	36.00	19.00	35.00	62.00	92.00	49.00	
CNAG_00022_1	68921	68932	12	utr3E	11.00	11.00	7.00	25.00	49.00	33.00	52.00	14.00	27.00	34.00	33.00	42.00	8.00	13.00	5.00	23.00	27.00	75.00	11.00	11.00	10.00	0	0	0	7.00	6.00	5.00	
CNAG_00022_2	68992	69089	98	utr3E	144.00	123.00	131.00	143.00	246.00	195.00	174.00	38.00	99.00	72.00	62.00	87.00	30.00	76.00	23.00	50.00	47.00	124.00	47.00	56.00	31.00	8.00	6.00	12.00	50.00	75.00	38.00	
CNAG_00023_1	70292	70292	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	2.00	1.00	
CNAG_00023_2	70330	70330	1	utr3E	8.00	5.00	5.00	0	0	0	0	0	0	2.00	2.00	1.00	1.00	1.00	3.00	0	0	0	1.00	1.00	4.00	0	0	0	0	0	0	
CNAG_00023_3	71969	71969	1	utr5E	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00025_1	77202	77202	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00025_2	77615	77639	25	utr3E	2.00	2.00	2.00	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.00	6.00	5.00	5.00	8.00	7.00	
CNAG_00025_3	77851	77857	7	utr3E	1.00	4.00	6.00	10.00	16.00	10.00	0	0	0	0	0	0	3.00	2.00	1.00	1.00	1.00	2.00	0	0	0	5.00	5.00	11.00	2.00	1.00	2.00	
CNAG_00025_4	78203	78205	3	cdsE	12.00	5.00	2.00	9.00	20.00	11.00	10.00	5.00	1.00	4.00	7.00	8.00	10.00	16.00	3.00	5.00	5.00	5.00	5.00	9.00	6.00	29.00	11.00	27.00	17.00	26.00	24.00	
CNAG_00026_1	81177	81232	56	utr3E	64.00	65.00	52.00	116.00	231.00	140.00	74.00	12.00	44.00	25.00	34.00	42.00	9.00	7.00	3.00	26.00	19.00	56.00	10.00	9.00	6.00	0	0	0	22.00	30.00	21.00	
CNAG_00028_1	87683	87691	9	utr3E	22.00	18.00	20.00	32.00	28.00	28.00	19.00	9.00	15.00	10.00	10.00	8.00	3.00	10.00	2.00	3.00	2.00	10.00	12.00	15.00	7.00	0	0	0	19.00	34.00	17.00	
CNAG_00031_1	93416	93422	7	utr3E	9.00	14.00	13.00	33.00	59.00	38.00	27.00	8.00	19.00	18.00	12.00	25.00	4.00	9.00	5.00	8.00	11.00	25.00	11.00	10.00	8.00	0	0	0	10.00	22.00	5.00	
CNAG_00036_1	108782	108863	82	utr3E	71.00	90.00	68.00	109.00	118.00	57.00	15.00	5.00	4.00	14.00	20.00	16.00	6.00	6.00	8.00	3.00	1.00	1.00	11.00	12.00	12.00	53.00	31.00	47.00	43.00	73.00	47.00	
CNAG_00036_2	110350	110350	1	utr5E	0	0	0	3.00	9.00	3.00	5.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00038_1	113916	113945	30	utr3E	4.00	8.00	6.00	0	0	0	8.00	4.00	6.00	5.00	6.00	8.00	7.00	6.00	3.00	3.00	2.00	8.00	3.00	1.00	6.00	0	0	0	5.00	5.00	5.00	
CNAG_00038_2	113945	113945	1	utr3E	4.00	8.00	6.00	0	0	0	8.00	4.00	6.00	5.00	6.00	8.00	7.00	6.00	3.00	3.00	2.00	8.00	3.00	1.00	6.00	0	0	0	5.00	5.00	5.00	
CNAG_00038_3	115702	115703	2	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00038_4	115795	115795	1	utr5I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00043_1	129327	129327	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	3.00	2.00	
CNAG_00043_2	129328	129328	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNAG_00043_3	129433	129442	10	utr3I	0	0	0	0	0	0	0	0	0	4.00	4.00	2.00	4.00	6.00	6.00	0	0	0	4.00	7.00	6.00	7.00	6.00	9.00	2.00	6.00	2.00	
CNAG_00043_4	130093	130136	44	utr3E	21.00	20.00	21.00	36.00	42.00	25.00	17.00	2.00	8.00	8.00	12.00	10.00	5.00	6.00	2.00	2.00	5.00	12.00	2.00	6.00	3.00	0	0	0	0	0	0	
CNAG_00043_5	130136	130136	1	utr3E	0	0	0	0	0	0	17.00	2.00	8.00	8.00	12.00	10.00	0	0	0	2.00	5.00	12.00	2.00	6.00	3.00	0	0	0	0	0	0	
CNAG_00043_6	131238	131238	1	cdsE	16.00	7.00	26.00	14.00	29.00	19.00	10.00	2.00	5.00	3.00	3.00	8.00	1.00	7.00	2.00	0	0	0	6.00	2.00	1.00	0	0	0	5.00	7.00	11.00	
CNAG_00043_7	131390	131391	2	cdsE	3.00	2.00	3.00	4.00	16.00	7.00	3.00	3.00	2.00	3.00	2.00	3.00	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00045_1	136330	136337	8	utr3E	28.00	48.00	41.00	34.00	60.00	25.00	20.00	8.00	8.00	13.00	12.00	22.00	8.00	10.00	4.00	7.00	2.00	18.00	5.00	13.00	9.00	11.00	15.00	18.00	19.00	35.00	22.00	
CNAG_00045_2	136416	136416	1	utr3E	4.00	3.00	6.00	6.00	10.00	9.00	3.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	5.00	1.00	
CNAG_00047_1	139540	139544	5	utr3E	43.00	27.00	25.00	31.00	64.00	24.00	6.00	6.00	3.00	5.00	11.00	9.00	23.00	25.00	10.00	4.00	2.00	4.00	14.00	19.00	13.00	27.00	22.00	44.00	19.00	31.00	16.00	
CNAG_00047_2	139599	139626	28	utr3E	12.00	15.00	12.00	3.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	
CNAG_00048_1	142140	142174	35	utr3E	9.00	13.00	10.00	3.00	8.00	4.00	8.00	4.00	2.00	2.00	4.00	6.00	7.00	11.00	3.00	0	0	0	7.00	8.00	4.00	0	0	0	6.00	12.00	5.00	
CNAG_00048_2	144468	144468	1	utr5E	0	0	0	3.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00050_1	146735	146736	2	utr3E	1.00	1.00	2.00	10.00	13.00	4.00	4.00	1.00	1.00	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNAG_00050_2	147621	147624	4	cdsE	1.00	2.00	2.00	3.00	4.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00051_1	148400	148401	2	utr3E	14.00	11.00	11.00	33.00	48.00	30.00	40.00	2.00	18.00	12.00	18.00	22.00	6.00	15.00	4.00	19.00	15.00	33.00	10.00	12.00	10.00	19.00	11.00	28.00	18.00	31.00	15.00	
CNAG_00051_2	148500	148500	1	utr3E	4.00	2.00	2.00	4.00	4.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	1.00	0	0	0	
CNAG_00051_3	150226	150226	1	cdsE	4.00	1.00	3.00	6.00	20.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	2.00	2.00	3.00	1.00	
CNAG_00054_1	156109	156154	46	utr3E	527.00	557.00	473.00	123.00	144.00	84.00	105.00	18.00	49.00	53.00	70.00	59.00	106.00	125.00	72.00	28.00	8.00	38.00	114.00	163.00	126.00	155.00	142.00	161.00	144.00	369.00	215.00	
CNAG_00054_2	157205	157205	1	utr5E	0	0	0	13.00	16.00	23.00	2.00	1.00	1.00	3.00	3.00	2.00	0	0	0	1.00	3.00	4.00	0	0	0	0	0	0	3.00	5.00	1.00	
CNAG_00057_1	161632	161668	37	utr3E	491.00	448.00	430.00	536.00	621.00	290.00	275.00	68.00	123.00	256.00	278.00	330.00	123.00	187.00	99.00	85.00	81.00	228.00	197.00	243.00	170.00	416.00	296.00	492.00	148.00	281.00	189.00	
CNAG_00058_1	163419	163427	9	utr3E	129.00	172.00	184.00	633.00	857.00	537.00	492.00	114.00	282.00	177.00	192.00	233.00	59.00	73.00	28.00	123.00	102.00	278.00	54.00	78.00	63.00	17.00	6.00	13.00	84.00	130.00	92.00	
CNAG_00058_2	163901	163901	1	cdsE	2.00	2.00	3.00	5.00	6.00	7.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00060_1	167394	167424	31	utr3E	5.00	8.00	4.00	35.00	69.00	28.00	23.00	6.00	13.00	5.00	4.00	11.00	3.00	1.00	7.00	8.00	12.00	14.00	7.00	7.00	8.00	13.00	15.00	14.00	8.00	8.00	5.00	
CNAG_00060_2	168449	168449	1	cdsE	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00062_1	172127	172134	8	utr3E	16.00	11.00	9.00	42.00	54.00	29.00	46.00	15.00	53.00	26.00	27.00	43.00	0	0	0	11.00	14.00	38.00	4.00	8.00	6.00	0	0	0	7.00	18.00	13.00	
CNAG_00062_2	172190	172206	17	utr3E	10.00	17.00	10.00	36.00	42.00	31.00	55.00	13.00	39.00	29.00	30.00	42.00	15.00	10.00	8.00	25.00	8.00	45.00	10.00	24.00	14.00	11.00	10.00	15.00	42.00	62.00	34.00	
CNAG_00064_1	175940	175981	42	utr3E	41.00	26.00	28.00	74.00	151.00	82.00	77.00	17.00	43.00	47.00	43.00	58.00	10.00	17.00	8.00	23.00	17.00	50.00	12.00	17.00	24.00	3.00	1.00	2.00	14.00	28.00	20.00	
CNAG_00066_1	179097	179097	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	3.00	0	0	0	
CNAG_00066_2	179173	179225	53	utr3E	28.00	25.00	41.00	65.00	95.00	57.00	16.00	8.00	6.00	5.00	9.00	10.00	18.00	21.00	13.00	11.00	4.00	19.00	10.00	22.00	12.00	13.00	8.00	19.00	13.00	16.00	11.00	
CNAG_00066_3	180057	180057	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	1.00	5.00	1.00	
CNAG_00066_4	183705	183720	16	utr5E	10.00	10.00	13.00	8.00	18.00	25.00	0	0	0	0	0	0	3.00	2.00	2.00	1.00	1.00	2.00	1.00	2.00	1.00	2.00	1.00	1.00	0	0	0	
CNAG_00073_1	201216	201218	3	utr3E	7.00	8.00	11.00	31.00	46.00	28.00	5.00	2.00	5.00	2.00	3.00	8.00	3.00	6.00	2.00	1.00	3.00	12.00	1.00	8.00	2.00	4.00	6.00	3.00	3.00	2.00	2.00	
CNAG_00073_2	201298	201298	1	utr3E	1.00	2.00	1.00	3.00	5.00	3.00	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00073_3	201385	201432	48	utr3E	8.00	5.00	6.00	9.00	9.00	9.00	2.00	1.00	1.00	0	0	0	0	0	0	2.00	1.00	3.00	0	0	0	0	0	0	0	0	0	
CNAG_00073_4	201561	201561	1	utr3E	4.00	1.00	5.00	5.00	6.00	2.00	0	0	0	1.00	1.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00073_5	202941	202941	1	cdsE	0	0	0	5.00	6.00	2.00	0	0	0	2.00	2.00	1.00	0	0	0	0	0	0	5.00	3.00	1.00	1.00	1.00	1.00	1.00	2.00	2.00	
CNAG_00073_6	204176	204176	1	cdsE	0	0	0	1.00	4.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	3.00	0	0	0	
CNAG_00073_7	204787	204787	1	utr5I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00073_8	205333	205342	10	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00075_1	208570	208585	16	utr3E	267.00	268.00	251.00	665.00	1156.00	750.00	320.00	73.00	173.00	223.00	261.00	330.00	77.00	64.00	34.00	158.00	120.00	389.00	87.00	101.00	80.00	137.00	100.00	86.00	103.00	182.00	122.00	
CNAG_00080_1	225028	225028	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00080_2	225278	225278	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00081_1	227610	227617	8	utr3E	41.00	51.00	47.00	104.00	140.00	79.00	102.00	25.00	59.00	61.00	41.00	92.00	33.00	52.00	18.00	41.00	33.00	113.00	32.00	47.00	30.00	37.00	43.00	64.00	33.00	62.00	36.00	
CNAG_00083_1	232380	232389	10	utr3E	1.00	2.00	2.00	0	0	0	3.00	1.00	1.00	5.00	2.00	6.00	3.00	2.00	2.00	1.00	1.00	4.00	1.00	3.00	2.00	3.00	1.00	1.00	1.00	2.00	1.00	
CNAG_00083_2	232533	232533	1	cdsE	1.00	3.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00083_3	235202	235202	1	cdsE	3.00	2.00	2.00	3.00	3.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00085_1	239750	239757	8	utr3E	20.00	20.00	15.00	45.00	121.00	65.00	23.00	4.00	14.00	10.00	8.00	25.00	0	0	0	5.00	10.00	8.00	1.00	2.00	1.00	1.00	1.00	1.00	7.00	10.00	17.00	
CNAG_00087_1	243665	243665	1	utr3E	4.00	2.00	1.00	5.00	12.00	10.00	1.00	1.00	1.00	0	0	0	1.00	1.00	2.00	2.00	2.00	2.00	0	0	0	0	0	0	0	0	0	
CNAG_00087_2	243820	243838	19	utr3I	18.00	13.00	16.00	30.00	42.00	6.00	1.00	1.00	1.00	15.00	16.00	28.00	6.00	8.00	5.00	17.00	10.00	28.00	8.00	14.00	11.00	7.00	3.00	9.00	13.00	21.00	8.00	
CNAG_00087_3	245126	245184	59	cdsE	50.00	40.00	25.00	50.00	62.00	28.00	36.00	8.00	15.00	11.00	18.00	17.00	8.00	3.00	6.00	14.00	11.00	25.00	11.00	14.00	12.00	1.00	2.00	4.00	10.00	21.00	17.00	
CNAG_00088_1	246448	246476	29	utr3E	56.00	56.00	65.00	108.00	208.00	160.00	26.00	9.00	30.00	20.00	26.00	35.00	3.00	14.00	7.00	15.00	15.00	41.00	14.00	17.00	9.00	32.00	24.00	17.00	23.00	35.00	14.00	
CNAG_00089_1	248171	248252	82	utr3E	13.00	10.00	16.00	34.00	48.00	24.00	12.00	14.00	9.00	11.00	12.00	13.00	4.00	6.00	5.00	12.00	8.00	25.00	10.00	15.00	7.00	7.00	4.00	8.00	4.00	21.00	8.00	
CNAG_00093_1	256790	256868	79	utr3E	389.00	498.00	394.00	311.00	358.00	156.00	120.00	20.00	53.00	70.00	79.00	80.00	42.00	61.00	28.00	39.00	40.00	100.00	62.00	69.00	55.00	167.00	155.00	165.00	39.00	66.00	54.00	
CNAG_00093_2	258410	258411	2	cdsE	15.00	24.00	18.00	25.00	32.00	10.00	10.00	3.00	6.00	4.00	6.00	13.00	2.00	7.00	2.00	1.00	1.00	6.00	6.00	9.00	6.00	15.00	20.00	15.00	6.00	12.00	6.00	
CNAG_00095_1	262667	262669	3	utr3E	5.00	13.00	6.00	34.00	61.00	38.00	34.00	13.00	29.00	9.00	13.00	14.00	6.00	18.00	12.00	13.00	11.00	47.00	11.00	10.00	7.00	7.00	6.00	11.00	15.00	15.00	7.00	
CNAG_00097_1	268651	268654	4	utr3E	23.00	34.00	17.00	28.00	35.00	33.00	0	0	0	1.00	3.00	3.00	4.00	6.00	2.00	1.00	3.00	3.00	1.00	5.00	2.00	2.00	2.00	2.00	8.00	16.00	5.00	
CNAG_00099_1	275074	275083	10	utr3E	24.00	28.00	22.00	141.00	212.00	149.00	64.00	21.00	50.00	24.00	48.00	59.00	14.00	21.00	22.00	32.00	38.00	88.00	11.00	11.00	14.00	3.00	2.00	7.00	31.00	48.00	40.00	
CNAG_00099_2	275532	275536	5	cdsE	2.00	3.00	3.00	6.00	9.00	7.00	1.00	2.00	2.00	2.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	3.00	1.00	
CNAG_00101_1	280858	280874	17	utr3E	67.00	77.00	63.00	151.00	266.00	233.00	74.00	28.00	56.00	32.00	45.00	52.00	9.00	11.00	6.00	39.00	20.00	52.00	17.00	17.00	16.00	2.00	2.00	3.00	25.00	54.00	34.00	
CNAG_00106_1	291742	291742	1	utr3E	3.00	7.00	6.00	29.00	67.00	22.00	4.00	6.00	9.00	9.00	2.00	6.00	6.00	9.00	2.00	7.00	3.00	15.00	7.00	4.00	5.00	3.00	11.00	7.00	3.00	1.00	3.00	
CNAG_00106_2	292148	292148	1	utr3E	0	0	0	2.00	3.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	
CNAG_00106_3	293931	293941	11	cdsE	3.00	4.00	6.00	21.00	22.00	14.00	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00108_1	299303	299337	35	utr3E	27.00	42.00	27.00	52.00	72.00	55.00	61.00	17.00	52.00	34.00	38.00	46.00	13.00	12.00	10.00	26.00	38.00	60.00	11.00	10.00	14.00	3.00	2.00	6.00	16.00	29.00	21.00	
CNAG_00110_1	301732	301734	3	utr3E	1.00	2.00	1.00	33.00	56.00	48.00	10.00	8.00	10.00	3.00	7.00	11.00	0	0	0	3.00	4.00	15.00	1.00	4.00	3.00	0	0	0	1.00	2.00	1.00	
CNAG_00115_1	312229	312279	51	utr3E	258.00	271.00	305.00	1975.00	2708.00	1153.00	278.00	68.00	153.00	307.00	362.00	461.00	83.00	126.00	50.00	152.00	137.00	412.00	109.00	161.00	107.00	544.00	343.00	608.00	187.00	317.00	145.00	
CNAG_00115_2	312402	312402	1	cdsE	0	0	0	11.00	11.00	2.00	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00115_3	312463	312463	1	cdsE	0	0	0	0	0	0	2.00	1.00	2.00	1.00	3.00	4.00	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00115_4	313024	313027	4	cdsE	0	0	0	8.00	5.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00117_1	316447	316531	85	utr3E	42.00	50.00	35.00	91.00	124.00	99.00	56.00	16.00	41.00	93.00	95.00	131.00	10.00	23.00	12.00	27.00	25.00	95.00	14.00	13.00	13.00	3.00	1.00	3.00	41.00	56.00	25.00	
CNAG_00118_1	319055	319061	7	utr3E	102.00	98.00	89.00	101.00	166.00	122.00	70.00	19.00	32.00	24.00	38.00	48.00	12.00	22.00	6.00	23.00	15.00	32.00	12.00	20.00	20.00	0	0	0	17.00	28.00	26.00	
CNAG_00120_1	320591	320634	44	utr3E	55.00	55.00	51.00	72.00	104.00	79.00	34.00	13.00	18.00	23.00	8.00	13.00	6.00	14.00	4.00	11.00	16.00	39.00	2.00	4.00	3.00	7.00	6.00	6.00	9.00	21.00	13.00	
CNAG_00120_2	321118	321132	15	cdsI	0	0	0	9.00	4.00	4.00	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	
CNAG_00121_1	321983	322038	56	utr3E	0	0	0	0	0	0	87.00	17.00	45.00	41.00	55.00	76.00	23.00	20.00	6.00	32.00	38.00	92.00	28.00	44.00	20.00	67.00	42.00	72.00	20.00	37.00	30.00	
CNAG_00121_2	322942	322952	11	cdsE	4.00	7.00	4.00	17.00	26.00	13.00	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	6.00	4.00	6.00	4.00	5.00	4.00	
CNAG_00121_3	323553	323561	9	cdsI	1.00	2.00	3.00	14.00	18.00	23.00	3.00	1.00	1.00	5.00	8.00	10.00	6.00	3.00	1.00	1.00	1.00	2.00	1.00	2.00	3.00	13.00	14.00	11.00	19.00	20.00	10.00	
CNAG_00122_1	324507	324507	1	utr3E	1.00	2.00	5.00	16.00	22.00	17.00	9.00	5.00	13.00	5.00	9.00	8.00	0	0	0	7.00	11.00	25.00	4.00	8.00	6.00	0	0	0	2.00	1.00	4.00	
CNAG_00123_1	328774	328839	66	utr3E	18.00	9.00	15.00	8.00	20.00	11.00	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	4.00	2.00	3.00	18.00	11.00	11.00	24.00	59.00	30.00	
CNAG_00123_2	328953	328959	7	utr3E	22.00	27.00	17.00	20.00	27.00	12.00	0	0	0	1.00	2.00	1.00	3.00	4.00	3.00	6.00	3.00	5.00	6.00	10.00	6.00	11.00	6.00	11.00	21.00	35.00	20.00	
CNAG_00123_3	329045	329057	13	cdsE	6.00	4.00	2.00	6.00	13.00	7.00	0	0	0	1.00	1.00	1.00	2.00	1.00	1.00	0	0	0	0	0	0	9.00	6.00	10.00	10.00	10.00	10.00	
CNAG_00126_1	338150	338184	35	utr3E	130.00	137.00	118.00	247.00	372.00	262.00	247.00	68.00	150.00	106.00	116.00	151.00	42.00	60.00	28.00	64.00	72.00	196.00	88.00	73.00	62.00	282.00	129.00	312.00	1143.00	2920.00	720.00	
