	merge_cluster																									
CNA00140_1	44995	44995	1	cdsE	0	0	0	0	0	0	0	0	0	1.00	1.00	4.00	0	0	0	1.00	1.00	2.00	0	0	0	
CNA00140_2	45142	45225	84	utr5E	239.00	132.00	112.00	83.00	68.00	76.00	42.00	31.00	24.00	12.00	8.00	17.00	446.00	262.00	212.00	105.00	105.00	50.00	37.00	59.00	33.00	
CNA00150_1	45973	45975	3	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	5.00	4.00	11.00	0	0	0	0	0	0	2.00	2.00	1.00	
CNA00150_2	46407	46475	69	cdsE	0	0	0	0	0	0	0	0	0	5.00	4.00	6.00	0	0	0	0	0	0	2.00	1.00	3.00	
CNA00150_3	46801	46826	26	utr5E	52.00	60.00	23.00	15.00	9.00	11.00	48.00	31.00	36.00	20.00	13.00	15.00	25.00	33.00	56.00	16.00	13.00	26.00	42.00	39.00	37.00	
CNA00160_1	47148	47240	93	cdsE	0	0	0	7.00	8.00	12.00	7.00	7.00	8.00	66.00	63.00	70.00	0	0	0	21.00	25.00	24.00	13.00	12.00	13.00	
CNA00160_2	48219	48381	163	cdsE	0	0	0	94.00	101.00	119.00	2.00	1.00	1.00	72.00	70.00	107.00	6.00	9.00	8.00	105.00	109.00	191.00	18.00	17.00	14.00	
CNA00160_3	48442	48488	47	utr5I	11.00	5.00	5.00	10.00	5.00	8.00	3.00	2.00	5.00	9.00	6.00	4.00	39.00	15.00	22.00	20.00	16.00	19.00	14.00	19.00	11.00	
CNA00160_4	48590	48646	57	utr5E	62.00	30.00	17.00	3.00	3.00	3.00	43.00	28.00	31.00	10.00	13.00	10.00	6.00	7.00	8.00	3.00	2.00	4.00	30.00	39.00	27.00	
CNA00180_1	57089	57293	205	cdsE	268.00	163.00	182.00	224.00	165.00	148.00	25.00	39.00	21.00	104.00	73.00	109.00	391.00	308.00	276.00	135.00	184.00	77.00	84.00	102.00	106.00	
CNA00180_2	57380	57415	36	utr5E	29.00	35.00	31.00	7.00	14.00	10.00	25.00	25.00	12.00	17.00	12.00	21.00	59.00	53.00	43.00	15.00	5.00	20.00	33.00	40.00	29.00	
CNA00190_1	59677	59804	128	utr5E	317.00	304.00	223.00	352.00	257.00	275.00	106.00	106.00	59.00	88.00	79.00	102.00	741.00	542.00	587.00	412.00	411.00	189.00	145.00	169.00	121.00	
CNA00210_1	64192	64196	5	utr3E	5.00	5.00	4.00	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00210_2	66527	66576	50	utr5E	22.00	15.00	11.00	6.00	2.00	5.00	7.00	8.00	9.00	7.00	4.00	7.00	25.00	27.00	16.00	1.00	1.00	1.00	26.00	26.00	12.00	
CNA00230_1	70218	70237	20	cdsE	0	0	0	0	0	0	17.00	12.00	17.00	3.00	3.00	3.00	0	0	0	0	0	0	7.00	1.00	2.00	
CNA00230_2	71657	71673	17	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	4.00	4.00	4.00	0	0	0	0	0	0	
CNA00230_3	72212	72276	65	cdsE	3.00	10.00	8.00	1.00	1.00	2.00	0	0	0	4.00	6.00	6.00	14.00	15.00	7.00	40.00	37.00	86.00	0	0	0	
CNA00230_4	72968	73003	36	cdsE	0	0	0	0	0	0	0	0	0	2.00	2.00	4.00	3.00	3.00	2.00	0	0	0	0	0	0	
CNA00230_5	73015	73060	46	utr5E	19.00	11.00	9.00	1.00	4.00	3.00	1.00	1.00	1.00	0	0	0	3.00	5.00	2.00	0	0	0	1.00	5.00	2.00	
CNA00270_1	83414	83414	1	utr3E	0	0	0	1.00	3.00	1.00	0	0	0	1.00	2.00	4.00	0	0	0	0	0	0	0	0	0	
CNA00270_2	83810	83810	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	4.00	0	0	0	
CNA00270_3	84880	84929	50	utr5E	47.00	54.00	43.00	10.00	10.00	24.00	101.00	98.00	107.00	77.00	65.00	75.00	46.00	38.00	29.00	24.00	26.00	14.00	55.00	36.00	48.00	
CNA00280_1	90185	90338	154	cdsE	0	0	0	37.00	40.00	72.00	15.00	22.00	22.00	205.00	151.00	151.00	0	0	0	30.00	25.00	37.00	21.00	22.00	18.00	
CNA00280_2	90694	90836	143	cdsI	61.00	52.00	38.00	14.00	22.00	24.00	10.00	7.00	6.00	110.00	67.00	76.00	1.00	1.00	2.00	39.00	44.00	35.00	6.00	6.00	6.00	
CNA00280_3	91099	91182	84	utr5E	370.00	290.00	288.00	135.00	137.00	126.00	260.00	254.00	216.00	432.00	376.00	484.00	152.00	169.00	152.00	183.00	255.00	343.00	351.00	441.00	349.00	
CNA00310_1	102156	102205	50	cdsE	0	0	0	0	0	0	4.00	5.00	5.00	31.00	27.00	28.00	0	0	0	0	0	0	10.00	9.00	9.00	
CNA00310_2	102413	102447	35	cdsI	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	6.00	3.00	3.00	16.00	5.00	5.00	0	0	0	
CNA00310_3	102560	102592	33	cdsE	0	0	0	0	0	0	8.00	8.00	8.00	15.00	13.00	11.00	0	0	0	0	0	0	1.00	1.00	1.00	
CNA00310_4	102721	102795	75	cdsE	0	0	0	19.00	16.00	30.00	1.00	1.00	2.00	0	0	0	5.00	12.00	5.00	80.00	62.00	38.00	0	0	0	
CNA00310_5	104218	104262	45	utr5E	19.00	38.00	17.00	2.00	2.00	3.00	65.00	84.00	48.00	22.00	25.00	31.00	23.00	13.00	10.00	5.00	6.00	1.00	60.00	71.00	40.00	
CNA00320_1	105827	105830	4	cdsE	0	0	0	3.00	2.00	1.00	7.00	6.00	7.00	0	0	0	0	0	0	1.00	2.00	2.00	4.00	4.00	1.00	
CNA00320_2	106001	106022	22	cdsE	0	0	0	0	0	0	0	0	0	7.00	5.00	4.00	0	0	0	0	0	0	1.00	1.00	1.00	
CNA00320_3	106899	106938	40	utr5E	34.00	27.00	23.00	18.00	7.00	10.00	28.00	21.00	29.00	18.00	15.00	13.00	17.00	16.00	21.00	6.00	5.00	5.00	11.00	21.00	15.00	
CNA00340_1	111190	111288	99	cdsE	0	0	0	1.00	1.00	1.00	41.00	44.00	40.00	13.00	18.00	14.00	0	0	0	0	0	0	32.00	28.00	26.00	
CNA00340_2	111364	111405	42	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	9.00	5.00	4.00	0	0	0	0	0	0	0	0	0	
CNA00340_3	112400	112471	72	utr5E	49.00	48.00	32.00	11.00	8.00	8.00	42.00	23.00	40.00	16.00	28.00	27.00	22.00	16.00	18.00	12.00	9.00	10.00	22.00	21.00	18.00	
CNA00360_1	115114	115137	24	cdsE	4.00	3.00	2.00	11.00	13.00	13.00	9.00	9.00	21.00	6.00	10.00	8.00	10.00	7.00	8.00	15.00	13.00	4.00	0	0	0	
CNA00360_2	115355	115508	154	cdsE	925.00	805.00	587.00	25.00	38.00	34.00	58.00	62.00	66.00	177.00	113.00	153.00	143.00	133.00	194.00	126.00	169.00	142.00	20.00	17.00	16.00	
CNA00360_3	115547	115789	243	cdsE	81.00	66.00	68.00	0	0	0	165.00	108.00	131.00	68.00	77.00	64.00	16.00	16.00	13.00	3.00	4.00	7.00	7.00	4.00	6.00	
CNA00360_4	116461	116563	103	utr5E	2504.00	1254.00	1067.00	75.00	61.00	48.00	1186.00	983.00	1478.00	439.00	283.00	344.00	327.00	380.00	374.00	59.00	80.00	37.00	562.00	676.00	676.00	
CNA00370_1	119149	119167	19	utr5I	0	0	0	0	0	0	0	0	0	0	0	0	3.00	2.00	2.00	0	0	0	0	0	0	
CNA00370_2	119421	119481	61	utr5E	2.00	1.00	1.00	4.00	4.00	1.00	7.00	5.00	5.00	8.00	15.00	17.00	3.00	3.00	3.00	8.00	5.00	5.00	2.00	5.00	5.00	
CNA00370_3	119593	119620	28	utr5E	15.00	14.00	7.00	5.00	7.00	10.00	5.00	7.00	11.00	0	0	0	0	0	0	2.00	1.00	1.00	2.00	3.00	5.00	
CNA00390_1	121313	121346	34	utr3E	3.00	2.00	6.00	6.00	6.00	6.00	0	0	0	30.00	39.00	36.00	0	0	0	11.00	7.00	6.00	0	0	0	
CNA00390_2	122576	122766	191	utr5E	436.00	313.00	230.00	83.00	82.00	73.00	37.00	46.00	36.00	38.00	48.00	43.00	239.00	240.00	194.00	73.00	101.00	48.00	60.00	53.00	43.00	
CNA00400_1	124205	124284	80	cdsE	0	0	0	2.00	1.00	2.00	45.00	61.00	65.00	13.00	17.00	10.00	1.00	1.00	1.00	1.00	2.00	1.00	6.00	12.00	8.00	
CNA00400_2	125071	125208	138	cdsE	1.00	1.00	1.00	0	0	0	84.00	86.00	108.00	26.00	33.00	24.00	1.00	1.00	1.00	0	0	0	20.00	19.00	17.00	
CNA00400_3	128405	128495	91	utr5E	163.00	145.00	124.00	143.00	110.00	81.00	50.00	49.00	52.00	26.00	23.00	20.00	242.00	210.00	174.00	78.00	89.00	59.00	65.00	71.00	63.00	
CNA00400_4	129462	129571	110	utr5E	30.00	34.00	26.00	5.00	4.00	6.00	211.00	192.00	198.00	39.00	27.00	30.00	13.00	12.00	10.00	0	0	0	51.00	36.00	32.00	
CNA00430_1	130781	130920	140	utr3E	1.00	1.00	1.00	0	0	0	34.00	32.00	48.00	23.00	22.00	20.00	0	0	0	2.00	1.00	2.00	0	0	0	
CNA00430_2	131372	131426	55	cdsE	0	0	0	3.00	3.00	4.00	6.00	3.00	3.00	7.00	6.00	6.00	8.00	6.00	9.00	0	0	0	0	0	0	
CNA00430_3	131638	131790	153	utr5E	71.00	40.00	42.00	4.00	6.00	6.00	347.00	307.00	303.00	170.00	142.00	202.00	28.00	16.00	21.00	1.00	1.00	1.00	49.00	52.00	37.00	
CNA00430_4	131835	131864	30	utr5E	1.00	2.00	1.00	2.00	7.00	3.00	0	0	0	0	0	0	1.00	1.00	3.00	1.00	3.00	2.00	0	0	0	
CNA00470_1	137601	137862	262	utr5E	3857.00	3304.00	2857.00	607.00	564.00	477.00	4309.00	3849.00	3043.00	1959.00	1872.00	3215.00	5498.00	2792.00	2461.00	614.00	1076.00	304.00	950.00	1023.00	735.00	
CNA00480_1	140676	140790	115	utr5E	4329.00	2017.00	1759.00	1456.00	1362.00	1341.00	803.00	858.00	724.00	877.00	767.00	852.00	2082.00	1924.00	1845.00	1298.00	1184.00	519.00	1137.00	1305.00	978.00	
CNA00490_1	143533	143616	84	utr5E	1712.00	1148.00	1006.00	763.00	810.00	641.00	778.00	668.00	668.00	330.00	281.00	351.00	2255.00	1715.00	1312.00	1161.00	1198.00	733.00	663.00	800.00	761.00	
CNA00520_1	148727	148767	41	cdsE	11.00	4.00	4.00	2.00	3.00	2.00	26.00	30.00	40.00	29.00	16.00	16.00	4.00	2.00	4.00	0	0	0	3.00	7.00	6.00	
CNA00520_2	149640	149766	127	utr5E	285.00	296.00	194.00	115.00	131.00	112.00	115.00	147.00	151.00	147.00	107.00	77.00	109.00	176.00	142.00	24.00	26.00	21.00	174.00	241.00	192.00	
CNA00530_1	151622	151688	67	cdsE	0	0	0	40.00	36.00	33.00	13.00	13.00	14.00	18.00	18.00	17.00	62.00	136.00	72.00	6.00	10.00	4.00	3.00	8.00	7.00	
CNA00530_2	152809	152873	65	utr5E	512.00	442.00	336.00	197.00	167.00	163.00	158.00	156.00	136.00	131.00	126.00	133.00	490.00	427.00	380.00	173.00	266.00	95.00	182.00	177.00	125.00	
CNA00550_1	155721	155864	144	utr5E	364.00	248.00	226.00	145.00	146.00	162.00	137.00	161.00	122.00	128.00	105.00	158.00	810.00	443.00	375.00	247.00	355.00	166.00	171.00	158.00	115.00	
CNA00570_1	158576	158576	1	cdsE	3.00	1.00	1.00	0	0	0	0	0	0	0	0	0	2.00	2.00	2.00	1.00	3.00	1.00	0	0	0	
CNA00570_2	158800	158800	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	2.00	1.00	
CNA00570_3	158875	158986	112	cdsE	1.00	1.00	1.00	0	0	0	16.00	12.00	17.00	11.00	10.00	8.00	0	0	0	3.00	2.00	3.00	9.00	10.00	10.00	
CNA00570_4	159317	159317	1	cdsE	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00570_5	159378	159378	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	
CNA00570_6	162241	162257	17	utr5E	3.00	4.00	2.00	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	
CNA00570_7	162496	162504	9	utr5E	0	0	0	3.00	3.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00570_8	162602	162602	1	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNA00630_1	183053	183212	160	utr5E	539.00	537.00	369.00	280.00	225.00	171.00	367.00	345.00	298.00	248.00	157.00	207.00	774.00	495.00	518.00	203.00	238.00	109.00	156.00	224.00	165.00	
CNA00650_1	187552	187718	167	utr5E	1038.00	817.00	748.00	478.00	573.00	665.00	1793.00	1770.00	1833.00	2602.00	2428.00	2789.00	1048.00	578.00	694.00	360.00	445.00	83.00	1287.00	1191.00	898.00	
CNA00700_1	204398	204429	32	utr3E	0	0	0	2.00	2.00	2.00	3.00	2.00	4.00	21.00	14.00	16.00	6.00	8.00	8.00	4.00	7.00	5.00	3.00	2.00	2.00	
CNA00700_2	204491	204748	258	cdsE	0	0	0	5.00	5.00	3.00	26.00	23.00	28.00	155.00	122.00	140.00	0	0	0	28.00	22.00	59.00	27.00	32.00	32.00	
CNA00700_3	205354	205370	17	cdsE	0	0	0	0	0	0	4.00	1.00	3.00	0	0	0	2.00	2.00	2.00	4.00	1.00	4.00	11.00	12.00	4.00	
CNA00700_4	205736	205747	12	cdsE	0	0	0	5.00	7.00	5.00	1.00	2.00	1.00	3.00	4.00	3.00	2.00	1.00	1.00	0	0	0	4.00	3.00	1.00	
CNA00700_5	206166	206204	39	utr5E	4.00	6.00	1.00	3.00	4.00	2.00	0	0	0	0	0	0	5.00	5.00	4.00	14.00	10.00	8.00	2.00	1.00	1.00	
CNA00710_1	207044	207100	57	cdsE	0	0	0	2.00	1.00	1.00	3.00	4.00	6.00	8.00	15.00	7.00	3.00	2.00	2.00	0	0	0	8.00	13.00	7.00	
CNA00710_2	207370	207454	85	cdsE	0	0	0	4.00	4.00	7.00	4.00	4.00	3.00	5.00	6.00	11.00	1.00	3.00	2.00	0	0	0	0	0	0	
CNA00710_3	207990	207991	2	cdsE	0	0	0	4.00	3.00	1.00	0	0	0	3.00	5.00	4.00	9.00	5.00	3.00	0	0	0	12.00	6.00	4.00	
CNA00710_4	209954	210009	56	utr5E	79.00	59.00	50.00	26.00	26.00	19.00	12.00	14.00	4.00	21.00	18.00	10.00	72.00	63.00	57.00	4.00	5.00	2.00	34.00	43.00	26.00	
CNA00730_1	214197	214632	436	utr5E	1344.00	758.00	650.00	288.00	245.00	166.00	447.00	516.00	463.00	558.00	427.00	451.00	288.00	287.00	222.00	92.00	109.00	67.00	447.00	590.00	401.00	
CNA00750_1	219060	219063	4	cdsE	0	0	0	0	0	0	3.00	4.00	5.00	3.00	4.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00750_2	219762	219820	59	utr5E	123.00	83.00	83.00	87.00	79.00	65.00	42.00	34.00	28.00	13.00	13.00	20.00	337.00	128.00	117.00	74.00	97.00	45.00	64.00	51.00	36.00	
CNA00770_1	222964	223051	88	cdsE	0	0	0	0	0	0	7.00	13.00	15.00	11.00	9.00	11.00	0	0	0	0	0	0	0	0	0	
CNA00770_2	223062	223114	53	cdsE	0	0	0	0	0	0	1.00	3.00	1.00	18.00	17.00	18.00	0	0	0	0	0	0	0	0	0	
CNA00770_3	223282	223429	148	cdsE	1.00	2.00	1.00	5.00	5.00	6.00	27.00	55.00	48.00	62.00	68.00	46.00	0	0	0	1.00	1.00	1.00	7.00	9.00	7.00	
CNA00770_4	223835	223835	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNA00770_5	224058	224058	1	cdsE	0	0	0	3.00	1.00	1.00	0	0	0	3.00	1.00	2.00	1.00	1.00	1.00	0	0	0	0	0	0	
CNA00770_6	224451	224462	12	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	3.00	3.00	2.00	0	0	0	0	0	0	
CNA00770_7	225015	225069	55	utr5E	36.00	36.00	28.00	10.00	7.00	6.00	13.00	14.00	11.00	11.00	13.00	20.00	18.00	16.00	18.00	2.00	3.00	2.00	17.00	13.00	10.00	
CNA00780_1	225857	225908	52	cdsE	0	0	0	2.00	5.00	6.00	11.00	9.00	8.00	23.00	26.00	23.00	0	0	0	0	0	0	3.00	5.00	7.00	
CNA00780_2	226988	227035	48	utr5E	193.00	115.00	81.00	18.00	20.00	27.00	53.00	58.00	61.00	95.00	118.00	73.00	69.00	60.00	45.00	62.00	43.00	49.00	83.00	62.00	62.00	
CNA00790_1	228609	228693	85	utr5E	340.00	211.00	195.00	135.00	138.00	156.00	105.00	102.00	88.00	97.00	84.00	105.00	277.00	213.00	209.00	111.00	126.00	114.00	175.00	154.00	123.00	
CNA00840_1	236147	236147	1	cdsE	0	0	0	1.00	3.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00840_2	236148	236296	149	cdsE	56.00	20.00	27.00	2.00	1.00	1.00	87.00	104.00	154.00	194.00	198.00	154.00	2.00	1.00	2.00	0	0	0	42.00	56.00	51.00	
CNA00840_3	238580	238714	135	utr5E	483.00	518.00	358.00	19.00	16.00	12.00	1250.00	1069.00	976.00	536.00	581.00	711.00	185.00	117.00	134.00	27.00	70.00	50.00	335.00	405.00	314.00	
CNA00860_1	240950	241064	115	cdsE	1.00	1.00	1.00	0	0	0	15.00	20.00	12.00	7.00	4.00	5.00	0	0	0	2.00	4.00	2.00	4.00	3.00	3.00	
CNA00860_2	241264	241289	26	cdsE	0	0	0	0	0	0	4.00	3.00	4.00	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00860_3	241752	241797	46	cdsE	0	0	0	0	0	0	8.00	2.00	2.00	5.00	3.00	3.00	0	0	0	0	0	0	0	0	0	
CNA00860_4	242365	242442	78	cdsE	0	0	0	0	0	0	0	0	0	8.00	5.00	6.00	0	0	0	0	0	0	1.00	1.00	2.00	
CNA00860_5	244563	244589	27	utr5E	21.00	6.00	8.00	13.00	10.00	8.00	4.00	11.00	12.00	1.00	2.00	2.00	64.00	24.00	13.00	15.00	18.00	18.00	17.00	11.00	7.00	
CNA00880_1	246754	246772	19	utr3E	0	0	0	5.00	6.00	5.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00880_2	247255	247279	25	cdsE	0	0	0	0	0	0	0	0	0	5.00	7.00	9.00	0	0	0	0	0	0	4.00	7.00	5.00	
CNA00880_3	247508	247509	2	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.00	5.00	13.00	0	0	0	
CNA00880_4	249399	249447	49	utr5E	56.00	50.00	28.00	54.00	41.00	34.00	85.00	66.00	54.00	50.00	47.00	52.00	165.00	108.00	86.00	29.00	37.00	35.00	65.00	83.00	54.00	
CNA00900_1	252277	252277	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	2.00	1.00	
CNA00900_2	252460	252461	2	cdsE	0	0	0	0	0	0	0	0	0	2.00	3.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00900_3	252764	252764	1	cdsE	9.00	4.00	1.00	0	0	0	0	0	0	0	0	0	7.00	1.00	5.00	0	0	0	0	0	0	
CNA00900_4	252782	252814	33	cdsE	0	0	0	5.00	5.00	5.00	0	0	0	20.00	8.00	7.00	0	0	0	12.00	9.00	1.00	0	0	0	
CNA00900_5	254366	254375	10	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	7.00	3.00	3.00	0	0	0	0	0	0	
CNA00900_6	254727	254764	38	utr5E	62.00	37.00	35.00	57.00	40.00	47.00	14.00	10.00	7.00	2.00	1.00	1.00	21.00	18.00	13.00	10.00	6.00	5.00	13.00	15.00	11.00	
CNA00920_1	257753	257832	80	cdsE	0	0	0	5.00	5.00	7.00	2.00	2.00	2.00	8.00	6.00	12.00	0	0	0	1.00	1.00	2.00	3.00	1.00	1.00	
CNA00920_2	258077	258092	16	cdsE	0	0	0	5.00	7.00	5.00	1.00	1.00	1.00	1.00	1.00	3.00	29.00	20.00	19.00	0	0	0	1.00	2.00	2.00	
CNA00920_3	258550	258603	54	utr5E	209.00	73.00	68.00	70.00	98.00	95.00	34.00	38.00	26.00	22.00	19.00	20.00	292.00	130.00	128.00	107.00	142.00	60.00	44.00	46.00	35.00	
CNA00930_1	259991	260046	56	cdsE	1.00	1.00	2.00	0	0	0	40.00	45.00	47.00	27.00	29.00	41.00	0	0	0	0	0	0	45.00	53.00	42.00	
CNA00930_2	260437	260543	107	utr5E	323.00	276.00	224.00	75.00	77.00	60.00	349.00	329.00	278.00	164.00	165.00	169.00	178.00	104.00	146.00	41.00	80.00	16.00	587.00	561.00	298.00	
CNA00960_1	267270	267270	1	cdsE	1.00	2.00	1.00	1.00	1.00	1.00	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00960_2	267691	267691	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00	4.00	1.00	1.00	1.00	1.00	
CNA00960_3	268041	268065	25	utr5E	0	0	0	4.00	3.00	3.00	17.00	16.00	9.00	9.00	6.00	8.00	8.00	16.00	8.00	6.00	8.00	4.00	9.00	6.00	12.00	
CNA00960_4	268263	268263	1	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00	2.00	1.00	0	0	0	
CNA00970_1	268822	268863	42	utr3E	0	0	0	6.00	5.00	4.00	9.00	7.00	10.00	7.00	12.00	11.00	0	0	0	1.00	3.00	1.00	0	0	0	
CNA00970_2	268973	268986	14	cdsE	4.00	2.00	1.00	4.00	3.00	2.00	0	0	0	0	0	0	5.00	5.00	5.00	0	0	0	1.00	2.00	1.00	
CNA00970_3	269609	269662	54	cdsE	0	0	0	7.00	5.00	6.00	0	0	0	12.00	11.00	14.00	0	0	0	0	0	0	2.00	2.00	1.00	
CNA00970_4	272525	272525	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	3.00	1.00	0	0	0	
CNA00970_5	273376	273451	76	utr5E	11.00	11.00	14.00	16.00	11.00	5.00	0	0	0	2.00	1.00	4.00	40.00	25.00	17.00	10.00	8.00	7.00	3.00	6.00	4.00	
CNA00990_1	277730	277792	63	utr5E	418.00	409.00	284.00	228.00	208.00	156.00	242.00	246.00	219.00	164.00	140.00	220.00	672.00	485.00	545.00	235.00	230.00	200.00	174.00	215.00	137.00	
CNA01010_1	279839	279841	3	cdsE	0	0	0	3.00	3.00	3.00	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNA01010_2	279973	279973	1	cdsE	0	0	0	0	0	0	0	0	0	3.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA01010_3	279978	279978	1	cdsE	0	0	0	0	0	0	1.00	4.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA01010_4	280679	280679	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	4.00	1.00	2.00	2.00	3.00	1.00	0	0	0	
CNA01010_5	280956	280971	16	utr5E	20.00	19.00	7.00	20.00	10.00	11.00	21.00	15.00	15.00	0	0	0	6.00	10.00	6.00	17.00	8.00	28.00	2.00	1.00	2.00	
CNA01030_1	283698	283741	44	cdsE	0	0	0	1.00	1.00	1.00	4.00	4.00	4.00	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
