	merge_cluster																						
CNA00570_2	162410	162549	140	utr5E	1.00	1.00	2.00	3.00	5.00	5.00	71.00	48.00	50.00	4.00	5.00	4.00	2.00	1.00	1.00	0	0	0	
CNA00630_1	179765	179767	3	utr3E	62.00	43.00	25.00	26.00	23.00	14.00	2.00	4.00	4.00	61.00	37.00	45.00	49.00	52.00	54.00	42.00	20.00	28.00	
CNA00630_2	179843	179847	5	utr3E	12.00	3.00	9.00	5.00	3.00	5.00	0	0	0	4.00	4.00	2.00	7.00	6.00	4.00	1.00	1.00	2.00	
CNA00630_3	180113	180138	26	utr3E	17.00	10.00	6.00	0	0	0	0	0	0	3.00	3.00	5.00	18.00	12.00	19.00	11.00	7.00	9.00	
CNA00650_1	186910	186921	12	utr3E	558.00	299.00	184.00	282.00	175.00	142.00	138.00	76.00	111.00	553.00	482.00	920.00	1062.00	1272.00	1070.00	106.00	65.00	70.00	
CNA00700_1	204280	204319	40	utr3E	17.00	1.00	6.00	31.00	23.00	21.00	0	0	0	4.00	10.00	2.00	20.00	20.00	26.00	15.00	20.00	17.00	
CNA00710_1	206616	206629	14	utr3E	373.00	209.00	150.00	127.00	79.00	58.00	24.00	15.00	19.00	60.00	50.00	56.00	121.00	102.00	74.00	114.00	64.00	56.00	
CNA00730_1	211381	211435	55	utr3E	27.00	42.00	25.00	3.00	7.00	4.00	6.00	2.00	5.00	46.00	32.00	40.00	59.00	53.00	42.00	43.00	23.00	23.00	
CNA00730_2	214208	214208	1	cdsE	4.00	4.00	1.00	0	0	0	5.00	1.00	4.00	3.00	4.00	3.00	2.00	2.00	4.00	1.00	3.00	2.00	
CNA00730_3	214546	214546	1	utr5E	0	0	0	0	0	0	2.00	2.00	1.00	1.00	2.00	1.00	0	0	0	0	0	0	
CNA00750_1	218696	218711	16	utr3E	58.00	40.00	32.00	35.00	21.00	18.00	9.00	5.00	9.00	37.00	25.00	26.00	32.00	24.00	22.00	38.00	22.00	27.00	
CNA00770_1	222710	222854	145	utr3E	266.00	168.00	114.00	61.00	53.00	32.00	18.00	16.00	20.00	104.00	69.00	114.00	158.00	154.00	136.00	51.00	49.00	26.00	
CNA00770_2	224077	224097	21	cdsE	11.00	2.00	4.00	5.00	2.00	1.00	3.00	2.00	3.00	13.00	8.00	13.00	16.00	16.00	16.00	7.00	7.00	13.00	
CNA00770_3	224991	225015	25	utr5E	3.00	3.00	3.00	0	0	0	12.00	13.00	9.00	2.00	3.00	2.00	2.00	1.00	1.00	0	0	0	
CNA00780_1	225462	225487	26	utr3E	198.00	124.00	70.00	99.00	62.00	53.00	60.00	25.00	37.00	130.00	120.00	168.00	192.00	204.00	180.00	80.00	76.00	61.00	
CNA00790_1	227201	227276	76	utr3E	62.00	33.00	23.00	34.00	29.00	18.00	18.00	15.00	14.00	22.00	21.00	29.00	30.00	35.00	23.00	35.00	18.00	16.00	
CNA00790_2	228619	228631	13	utr5E	1.00	3.00	2.00	0	0	0	5.00	1.00	1.00	12.00	14.00	14.00	24.00	19.00	21.00	16.00	10.00	8.00	
CNA00840_1	235725	235747	23	utr3E	307.00	201.00	96.00	30.00	11.00	14.00	0	0	0	42.00	36.00	65.00	86.00	94.00	66.00	5.00	4.00	3.00	
CNA00840_2	237357	237362	6	cdsE	0	0	0	0	0	0	0	0	0	14.00	6.00	7.00	14.00	7.00	7.00	0	0	0	
CNA00840_3	237584	237584	1	cdsI	0	0	0	0	0	0	0	0	0	3.00	1.00	8.00	12.00	13.00	14.00	0	0	0	
CNA00860_1	240659	240678	20	utr3E	51.00	23.00	25.00	95.00	60.00	35.00	1.00	1.00	1.00	51.00	55.00	61.00	64.00	49.00	45.00	42.00	34.00	34.00	
CNA00860_2	242097	242101	5	cdsE	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	9.00	6.00	11.00	0	0	0	
CNA00880_1	246656	246661	6	utr3E	40.00	22.00	21.00	42.00	31.00	23.00	17.00	8.00	9.00	19.00	26.00	41.00	59.00	48.00	52.00	18.00	13.00	19.00	
CNA00900_1	251766	251784	19	utr3E	231.00	158.00	111.00	148.00	85.00	71.00	37.00	21.00	31.00	60.00	55.00	81.00	80.00	70.00	47.00	125.00	85.00	95.00	
CNA00920_1	257454	257486	33	utr3E	14.00	4.00	6.00	23.00	5.00	13.00	3.00	2.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00920_2	257559	257575	17	utr3E	116.00	63.00	38.00	87.00	68.00	57.00	51.00	24.00	49.00	40.00	35.00	43.00	61.00	56.00	50.00	65.00	43.00	45.00	
CNA00930_1	258775	258820	46	utr3E	621.00	338.00	212.00	89.00	63.00	35.00	101.00	72.00	151.00	225.00	195.00	301.00	164.00	235.00	180.00	96.00	78.00	78.00	
CNA00960_1	266315	266320	6	utr3E	12.00	8.00	7.00	32.00	16.00	14.00	0	0	0	3.00	7.00	6.00	28.00	36.00	22.00	20.00	16.00	22.00	
CNA00960_2	266320	266320	1	utr3E	0	0	0	0	0	0	0	0	0	3.00	7.00	6.00	0	0	0	0	0	0	
CNA00960_3	267855	267855	1	cdsE	7.00	3.00	2.00	9.00	6.00	1.00	19.00	10.00	7.00	9.00	9.00	13.00	17.00	12.00	9.00	3.00	4.00	2.00	
CNA00970_1	268411	268411	1	utr3E	2.00	12.00	1.00	10.00	6.00	1.00	1.00	3.00	1.00	1.00	1.00	1.00	3.00	2.00	1.00	3.00	4.00	5.00	
CNA00970_2	268819	268819	1	utr3E	1.00	1.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00970_3	270616	270616	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	2.00	1.00	
CNA00990_1	276064	276120	57	utr3E	200.00	96.00	55.00	39.00	25.00	18.00	54.00	27.00	59.00	28.00	20.00	30.00	65.00	58.00	49.00	77.00	83.00	86.00	
CNA01010_1	278519	278521	3	utr3E	20.00	7.00	13.00	30.00	39.00	24.00	1.00	1.00	1.00	20.00	12.00	24.00	26.00	26.00	12.00	14.00	17.00	22.00	
CNA01030_1	283563	283579	17	utr3E	48.00	17.00	15.00	18.00	10.00	6.00	5.00	8.00	7.00	18.00	14.00	18.00	18.00	28.00	16.00	23.00	25.00	16.00	
CNA01030_2	283579	283579	1	utr3E	0	0	0	0	0	0	5.00	8.00	7.00	18.00	14.00	18.00	18.00	28.00	16.00	23.00	25.00	16.00	
CNA01030_3	283708	283720	13	cdsE	21.00	12.00	3.00	5.00	11.00	4.00	1.00	2.00	7.00	10.00	11.00	13.00	14.00	25.00	19.00	10.00	26.00	17.00	
CNA01050_1	287318	287376	59	utr3E	162.00	188.00	99.00	61.00	51.00	28.00	140.00	88.00	116.00	52.00	43.00	57.00	59.00	78.00	52.00	45.00	28.00	28.00	
CNA01070_1	291816	291873	58	utr3E	226.00	126.00	101.00	111.00	92.00	65.00	29.00	25.00	17.00	42.00	27.00	78.00	68.00	85.00	69.00	41.00	30.00	34.00	
CNA01070_2	291924	291958	35	utr3E	37.00	17.00	13.00	15.00	7.00	8.00	6.00	4.00	2.00	8.00	4.00	6.00	10.00	12.00	13.00	11.00	8.00	10.00	
CNA01080_1	294347	294353	7	utr3E	172.00	94.00	70.00	72.00	46.00	43.00	42.00	29.00	32.00	88.00	55.00	90.00	140.00	156.00	134.00	58.00	65.00	52.00	
CNA01095_1	295963	296021	59	utr3E	426.00	279.00	177.00	98.00	65.00	34.00	64.00	42.00	82.00	50.00	41.00	72.00	108.00	115.00	96.00	106.00	80.00	95.00	
CNA01095_2	296825	296826	2	cdsE	1.00	1.00	3.00	0	0	0	8.00	8.00	5.00	0	0	0	0	0	0	0	0	0	
CNA01100_1	297248	297275	28	utr3E	32.00	13.00	8.00	26.00	18.00	20.00	6.00	3.00	1.00	21.00	17.00	26.00	44.00	32.00	36.00	23.00	13.00	11.00	
CNA01100_2	297334	297336	3	utr3E	22.00	17.00	13.00	37.00	20.00	17.00	13.00	8.00	15.00	29.00	29.00	44.00	49.00	48.00	43.00	22.00	15.00	12.00	
CNA01100_3	298900	298907	8	cdsI	34.00	25.00	18.00	24.00	10.00	9.00	0	0	0	45.00	59.00	114.00	80.00	99.00	87.00	6.00	8.00	5.00	
CNA01100_4	299049	299049	1	cdsI	5.00	2.00	5.00	4.00	7.00	7.00	0	0	0	11.00	4.00	16.00	13.00	29.00	26.00	0	0	0	
CNA01120_1	299833	299837	5	utr3E	178.00	98.00	65.00	44.00	42.00	26.00	19.00	7.00	14.00	147.00	123.00	144.00	94.00	110.00	69.00	94.00	44.00	67.00	
CNA01120_2	301941	301941	1	cdsI	0	0	0	0	0	0	0	0	0	2.00	1.00	4.00	0	0	0	0	0	0	
CNA01130_1	304255	304262	8	utr3E	36.00	27.00	24.00	26.00	14.00	7.00	12.00	7.00	8.00	25.00	21.00	46.00	14.00	23.00	26.00	4.00	4.00	4.00	
CNA01160_1	313473	313488	16	utr3E	3685.00	2230.00	1386.00	310.00	178.00	160.00	617.00	365.00	540.00	99.00	117.00	135.00	188.00	223.00	202.00	310.00	268.00	251.00	
CNA01160_2	313552	313555	4	cdsI	4.00	9.00	7.00	0	0	0	3.00	2.00	1.00	4.00	3.00	5.00	17.00	26.00	28.00	0	0	0	
CNA01200_1	324580	324597	18	utr3E	0	0	0	13.00	13.00	4.00	0	0	0	0	0	0	14.00	15.00	14.00	0	0	0	
CNA01200_2	325151	325205	55	cdsE	5.00	1.00	1.00	9.00	3.00	6.00	0	0	0	0	0	0	10.00	8.00	15.00	1.00	1.00	2.00	
CNA01200_3	327142	327144	3	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	3.00	9.00	4.00	0	0	0	
CNA01200_4	328065	328096	32	utr5E	1.00	4.00	1.00	0	0	0	33.00	22.00	18.00	7.00	10.00	11.00	2.00	3.00	3.00	0	0	0	
CNA01210_1	329794	329853	60	utr3E	174.00	100.00	82.00	93.00	50.00	55.00	11.00	8.00	8.00	80.00	64.00	86.00	78.00	83.00	81.00	33.00	31.00	41.00	
CNA01230_1	333399	333517	119	utr3E	144.00	89.00	53.00	95.00	48.00	30.00	98.00	69.00	123.00	69.00	54.00	85.00	72.00	80.00	73.00	37.00	25.00	40.00	
CNA01240_1	337490	337541	52	utr3E	116.00	55.00	60.00	539.00	287.00	250.00	17.00	11.00	20.00	41.00	47.00	67.00	102.00	101.00	96.00	75.00	48.00	45.00	
CNA01240_2	337609	337613	5	utr3E	7.00	6.00	5.00	17.00	23.00	7.00	0	0	0	3.00	2.00	1.00	37.00	21.00	30.00	11.00	4.00	6.00	
CNA01240_3	338092	338101	10	cdsI	0	0	0	14.00	7.00	9.00	0	0	0	3.00	1.00	4.00	16.00	32.00	15.00	2.00	1.00	1.00	
CNA01260_1	341321	341335	15	utr3E	392.00	264.00	162.00	1653.00	746.00	725.00	66.00	26.00	58.00	5568.00	5216.00	8372.00	2495.00	3497.00	2929.00	113.00	87.00	91.00	
CNA01260_2	341467	341467	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	3.00	3.00	3.00	0	0	0	
CNA01270_1	344079	344204	126	utr3E	1699.00	1068.00	757.00	497.00	300.00	214.00	184.00	116.00	176.00	325.00	334.00	420.00	447.00	505.00	365.00	617.00	488.00	445.00	
CNA01270_2	345507	345510	4	cdsE	38.00	29.00	20.00	14.00	11.00	12.00	37.00	22.00	20.00	26.00	17.00	22.00	19.00	36.00	17.00	43.00	36.00	33.00	
CNA01320_1	354124	354149	26	utr3I	23.00	20.00	10.00	8.00	4.00	5.00	5.00	2.00	6.00	20.00	20.00	25.00	18.00	28.00	23.00	11.00	8.00	12.00	
CNA01320_2	355482	355482	1	utr5E	3.00	5.00	4.00	16.00	9.00	7.00	35.00	21.00	31.00	2.00	2.00	11.00	4.00	9.00	3.00	0	0	0	
CNA01320_3	355703	355761	59	utr5E	60.00	25.00	21.00	27.00	22.00	11.00	415.00	240.00	321.00	19.00	8.00	27.00	7.00	10.00	7.00	5.00	3.00	1.00	
CNA01340_1	357437	357437	1	utr3E	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA01340_2	357555	357555	1	utr3E	3.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	1.00	
CNA01400_1	382887	382906	20	utr3E	2.00	7.00	3.00	0	0	0	0	0	0	1.00	1.00	1.00	15.00	4.00	2.00	9.00	2.00	3.00	
CNA01400_2	384110	384110	1	cdsE	1.00	5.00	3.00	4.00	3.00	1.00	0	0	0	0	0	0	5.00	4.00	4.00	0	0	0	
CNA01420_1	386606	386636	31	utr3E	161.00	72.00	54.00	205.00	106.00	76.00	10.00	10.00	5.00	36.00	32.00	44.00	65.00	80.00	63.00	78.00	59.00	55.00	
CNA01450_1	391026	391030	5	utr3E	9.00	3.00	6.00	3.00	5.00	5.00	2.00	4.00	2.00	4.00	9.00	12.00	5.00	8.00	8.00	3.00	5.00	1.00	
CNA01450_2	391081	391081	1	utr3E	2.00	3.00	2.00	0	0	0	3.00	2.00	3.00	0	0	0	0	0	0	1.00	1.00	1.00	
CNA01450_3	391121	391121	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNA01470_1	396566	396600	35	utr3E	31.00	23.00	15.00	62.00	46.00	23.00	38.00	40.00	40.00	13.00	10.00	27.00	35.00	25.00	29.00	15.00	10.00	12.00	
CNA01490_1	401480	401480	1	utr3E	2.00	3.00	2.00	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	
CNA01490_2	401484	401484	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	
CNA01490_3	403096	403116	21	utr5E	0	0	0	2.00	2.00	3.00	7.00	2.00	1.00	10.00	4.00	16.00	29.00	35.00	53.00	3.00	2.00	2.00	
CNA01500_1	403177	403177	1	utr3E	14.00	12.00	9.00	5.00	1.00	5.00	1.00	3.00	2.00	13.00	4.00	12.00	21.00	24.00	18.00	9.00	2.00	4.00	
CNA01500_2	403323	403407	85	utr3E	261.00	237.00	138.00	36.00	27.00	13.00	49.00	32.00	37.00	143.00	116.00	202.00	442.00	442.00	425.00	108.00	60.00	69.00	
CNA01500_3	404919	404921	3	utr5E	0	0	0	0	0	0	25.00	5.00	2.00	0	0	0	0	0	0	0	0	0	
CNA01500_4	404991	405029	39	cdsI	2.00	1.00	1.00	1.00	2.00	1.00	18.00	4.00	12.00	0	0	0	0	0	0	0	0	0	
CNA01510_1	406524	406530	7	utr3E	75.00	49.00	45.00	92.00	70.00	40.00	85.00	36.00	65.00	74.00	69.00	122.00	85.00	70.00	88.00	38.00	32.00	43.00	
CNA01510_2	406932	406977	46	cdsE	0	0	0	0	0	0	55.00	28.00	46.00	0	0	0	0	0	0	0	0	0	
CNA01520_1	410569	410570	2	utr3E	20.00	7.00	10.00	31.00	14.00	6.00	7.00	4.00	5.00	75.00	50.00	107.00	31.00	28.00	15.00	16.00	9.00	8.00	
CNA01520_2	410671	410671	1	utr3E	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	2.00	1.00	1.00	
CNA01520_3	412579	412616	38	utr5I	0	0	0	6.00	5.00	3.00	57.00	25.00	21.00	51.00	52.00	79.00	8.00	11.00	11.00	0	0	0	
CNA01520_4	412774	412775	2	utr5E	0	0	0	0	0	0	23.00	11.00	9.00	0	0	0	6.00	4.00	1.00	0	0	0	
CNA01530_1	413601	413611	11	utr3E	795.00	431.00	295.00	236.00	163.00	127.00	106.00	64.00	122.00	37.00	35.00	41.00	50.00	64.00	41.00	91.00	56.00	51.00	
CNA01530_2	413729	413729	1	utr3E	18.00	19.00	9.00	29.00	23.00	5.00	8.00	4.00	2.00	7.00	11.00	12.00	3.00	7.00	1.00	15.00	12.00	9.00	
CNA01530_3	415092	415101	10	cdsI	0	0	0	0	0	0	0	0	0	15.00	10.00	33.00	8.00	7.00	4.00	0	0	0	
CNA01540_1	415986	415991	6	utr3E	26.00	15.00	11.00	32.00	25.00	24.00	2.00	5.00	3.00	12.00	6.00	8.00	19.00	8.00	16.00	15.00	7.00	10.00	
CNA01540_2	418129	418129	1	cdsE	0	0	0	0	0	0	0	0	0	1.00	3.00	3.00	0	0	0	3.00	2.00	2.00	
CNA01560_1	420680	420700	21	utr3E	0	0	0	44.00	45.00	25.00	0	0	0	11.00	5.00	3.00	8.00	9.00	4.00	6.00	3.00	7.00	
CNA01560_2	420771	420782	12	utr3E	2.00	5.00	2.00	36.00	37.00	21.00	0	0	0	2.00	3.00	7.00	15.00	15.00	12.00	6.00	2.00	3.00	
CNA01580_1	423455	423526	72	utr3I	93.00	54.00	34.00	64.00	51.00	40.00	22.00	21.00	20.00	71.00	69.00	107.00	109.00	90.00	86.00	76.00	38.00	39.00	
CNA01620_1	434037	434059	23	utr3E	1.00	3.00	2.00	2.00	2.00	2.00	0	0	0	3.00	1.00	1.00	2.00	4.00	5.00	0	0	0	
CNA01620_2	434097	434097	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	5.00	0	0	0	
CNA01620_3	434508	434508	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	2.00	2.00	3.00	0	0	0	
CNA01640_1	439960	440022	63	utr3E	494.00	457.00	333.00	595.00	353.00	265.00	105.00	56.00	79.00	317.00	281.00	348.00	398.00	478.00	361.00	385.00	267.00	246.00	
CNA01660_1	444755	444766	12	utr3E	117.00	71.00	54.00	126.00	68.00	64.00	118.00	62.00	81.00	5.00	5.00	9.00	15.00	10.00	23.00	3.00	2.00	2.00	
CNA01660_2	444966	444969	4	cdsE	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	8.00	8.00	5.00	0	0	0	
