	merge_cluster																									
CNA00110_6	38226	38226	1	cdsI	8.00	2.00	1.00	0	0	0	0	0	0	3.00	2.00	2.00	2.00	1.00	1.00	2.00	5.00	4.00	0	0	0	
CNA00110_7	38411	38501	91	cdsE	0	0	0	0	0	0	14.00	4.00	3.00	26.00	26.00	19.00	0	0	0	0	0	0	0	0	0	
CNA00130_1	39176	39246	71	cdsE	32.00	26.00	12.00	10.00	12.00	11.00	5.00	6.00	3.00	7.00	4.00	8.00	16.00	25.00	23.00	19.00	13.00	4.00	0	0	0	
CNA00130_2	39550	39660	111	cdsE	0	0	0	2.00	1.00	1.00	11.00	11.00	14.00	2.00	5.00	1.00	17.00	17.00	15.00	3.00	6.00	5.00	0	0	0	
CNA00130_3	40173	40173	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	3.00	
CNA00130_4	40367	40412	46	cdsE	0	0	0	0	0	0	5.00	8.00	10.00	7.00	4.00	7.00	0	0	0	0	0	0	0	0	0	
CNA00130_5	41207	41207	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	1.00	2.00	1.00	
CNA00130_6	41831	41835	5	cdsE	13.00	4.00	4.00	5.00	1.00	1.00	0	0	0	0	0	0	1.00	1.00	2.00	4.00	2.00	4.00	0	0	0	
CNA00130_7	41849	41929	81	cdsE	2.00	3.00	3.00	0	0	0	5.00	4.00	5.00	0	0	0	2.00	1.00	2.00	1.00	1.00	1.00	1.00	2.00	1.00	
CNA00130_8	42292	42295	4	cdsE	0	0	0	3.00	6.00	4.00	0	0	0	3.00	1.00	2.00	11.00	3.00	6.00	6.00	3.00	2.00	0	0	0	
CNA00130_9	42520	42536	17	cdsE	0	0	0	0	0	0	5.00	6.00	3.00	1.00	1.00	1.00	0	0	0	0	0	0	6.00	2.00	2.00	
CNA00130_10	42836	42836	1	utr3E	0	0	0	1.00	1.00	1.00	0	0	0	2.00	5.00	3.00	0	0	0	0	0	0	0	0	0	
CNA00170_1	50077	50301	225	utr5E	2505.00	1653.00	1127.00	537.00	372.00	402.00	693.00	491.00	480.00	186.00	184.00	217.00	984.00	890.00	793.00	372.00	452.00	200.00	348.00	457.00	307.00	
CNA00170_2	53735	54128	394	utr3E	2451.00	1200.00	1104.00	988.00	1091.00	1619.00	976.00	1185.00	1065.00	2238.00	2069.00	1924.00	512.00	690.00	555.00	1316.00	1536.00	920.00	1156.00	901.00	702.00	
CNA00200_1	59972	59987	16	utr5E	0	0	0	3.00	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00200_2	60449	60472	24	utr5E	9.00	8.00	8.00	1.00	2.00	2.00	3.00	2.00	3.00	0	0	0	4.00	4.00	4.00	0	0	0	2.00	8.00	4.00	
CNA00200_3	60971	60971	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	
CNA00200_4	61326	61326	1	cdsE	0	0	0	0	0	0	2.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00200_5	61463	61467	5	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00	4.00	3.00	0	0	0	
CNA00200_6	62364	62364	1	cdsE	0	0	0	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00200_7	62662	62665	4	cdsE	0	0	0	2.00	2.00	2.00	0	0	0	28.00	39.00	33.00	0	0	0	25.00	17.00	19.00	0	0	0	
CNA00200_8	63035	63035	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	
CNA00220_1	66864	66864	1	utr5E	5.00	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00220_2	67488	67488	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	
CNA00220_3	67581	67581	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	
CNA00220_4	67589	67614	26	cdsI	0	0	0	0	0	0	13.00	2.00	11.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00225_1	69571	69580	10	cdsE	0	0	0	0	0	0	3.00	2.00	3.00	4.00	2.00	3.00	0	0	0	0	0	0	0	0	0	
CNA00240_1	73159	73212	54	utr5E	3.00	5.00	2.00	1.00	3.00	3.00	0	0	0	1.00	1.00	2.00	5.00	5.00	8.00	12.00	16.00	18.00	24.00	29.00	15.00	
CNA00240_2	73286	73286	1	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	1.00	4.00	1.00	0	0	0	0	0	0	
CNA00250_1	75587	75641	55	utr5E	4460.00	2747.00	2271.00	1011.00	765.00	883.00	960.00	816.00	629.00	785.00	596.00	788.00	1942.00	2011.00	1893.00	936.00	1037.00	830.00	1047.00	1188.00	777.00	
CNA00250_2	75804	75971	168	cdsE	503.00	207.00	143.00	328.00	221.00	272.00	151.00	202.00	146.00	258.00	185.00	162.00	213.00	222.00	315.00	82.00	68.00	51.00	97.00	102.00	105.00	
CNA00260_1	80536	80536	1	utr5E	6.00	2.00	2.00	0	0	0	0	0	0	3.00	5.00	1.00	1.00	1.00	1.00	3.00	6.00	2.00	0	0	0	
CNA00260_2	81205	81205	1	cdsE	5.00	1.00	2.00	1.00	3.00	2.00	0	0	0	3.00	2.00	2.00	6.00	4.00	3.00	3.00	5.00	3.00	0	0	0	
CNA00260_3	81463	81832	370	cdsE	3.00	2.00	2.00	31.00	21.00	21.00	4.00	11.00	10.00	222.00	218.00	136.00	29.00	25.00	31.00	12.00	18.00	15.00	8.00	6.00	7.00	
CNA00260_4	82113	82126	14	cdsE	2.00	4.00	2.00	1.00	1.00	1.00	0	0	0	1.00	1.00	2.00	7.00	6.00	6.00	11.00	16.00	13.00	0	0	0	
CNA00260_5	82609	82772	164	utr3E	1.00	2.00	1.00	11.00	11.00	11.00	3.00	2.00	4.00	106.00	110.00	89.00	18.00	10.00	17.00	16.00	19.00	12.00	2.00	4.00	4.00	
CNA00260_6	82869	82982	114	utr3E	0	0	0	6.00	4.00	4.00	0	0	0	51.00	60.00	72.00	68.00	38.00	39.00	15.00	20.00	24.00	0	0	0	
CNA00290_1	94095	94095	1	utr5E	1.00	1.00	1.00	0	0	0	3.00	1.00	3.00	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNA00290_2	94237	94245	9	utr5E	10.00	7.00	17.00	1.00	1.00	1.00	12.00	15.00	6.00	0	0	0	16.00	16.00	7.00	4.00	2.00	1.00	9.00	31.00	14.00	
CNA00290_3	95956	95956	1	utr5I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNA00290_4	96060	96060	1	utr5I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNA00290_5	96406	96406	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNA00290_6	97890	97890	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	1.00	1.00	1.00	0	0	0	
CNA00290_7	97959	97959	1	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	1.00	1.00	1.00	0	0	0	0	0	0	1.00	2.00	2.00	
CNA00290_8	98755	98768	14	cdsE	0	0	0	0	0	0	5.00	5.00	5.00	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00290_9	98910	98910	1	utr3E	0	0	0	3.00	3.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00300_1	99497	99636	140	utr5E	1390.00	1251.00	1098.00	330.00	264.00	218.00	879.00	859.00	588.00	168.00	187.00	281.00	3314.00	2034.00	1892.00	569.00	862.00	212.00	926.00	1298.00	704.00	
CNA00330_1	107074	107158	85	utr5E	49.00	34.00	26.00	12.00	9.00	12.00	50.00	50.00	57.00	32.00	22.00	32.00	47.00	29.00	40.00	15.00	15.00	28.00	20.00	24.00	16.00	
CNA00330_2	108381	108511	131	cdsE	6.00	1.00	1.00	1.00	1.00	2.00	9.00	15.00	12.00	18.00	12.00	22.00	0	0	0	2.00	1.00	3.00	0	0	0	
CNA00330_3	108846	108902	57	cdsE	0	0	0	4.00	4.00	3.00	0	0	0	3.00	5.00	8.00	0	0	0	17.00	20.00	30.00	0	0	0	
CNA00330_4	109587	109605	19	cdsE	8.00	4.00	5.00	0	0	0	0	0	0	6.00	4.00	6.00	0	0	0	0	0	0	0	0	0	
CNA00330_5	110420	110525	106	cdsE	1.00	2.00	1.00	10.00	13.00	14.00	13.00	11.00	17.00	39.00	42.00	24.00	1.00	1.00	1.00	0	0	0	5.00	5.00	3.00	
CNA00350_1	112591	112666	76	utr5E	424.00	334.00	242.00	133.00	128.00	145.00	151.00	153.00	135.00	127.00	128.00	126.00	603.00	288.00	308.00	189.00	219.00	258.00	203.00	211.00	184.00	
CNA00380_1	119562	119562	1	utr5E	0	0	0	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00380_2	119579	119601	23	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	4.00	6.00	2.00	0	0	0	0	0	0	
CNA00380_3	119730	119757	28	utr5E	6.00	4.00	3.00	0	0	0	8.00	3.00	4.00	0	0	0	6.00	4.00	5.00	2.00	1.00	2.00	10.00	6.00	9.00	
CNA00380_4	119906	119906	1	utr5E	1.00	3.00	1.00	1.00	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00380_5	120224	120228	5	cdsE	0	0	0	0	0	0	0	0	0	2.00	2.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00380_6	120505	120526	22	cdsI	0	0	0	7.00	8.00	10.00	0	0	0	7.00	7.00	9.00	0	0	0	0	0	0	0	0	0	
CNA00380_7	120576	120576	1	cdsE	0	0	0	0	0	0	0	0	0	1.00	4.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00380_8	120670	120702	33	cdsE	0	0	0	1.00	2.00	2.00	0	0	0	4.00	6.00	3.00	0	0	0	0	0	0	0	0	0	
CNA00410_1	128803	129170	368	utr5E	2228.00	1293.00	1157.00	154.00	159.00	118.00	3949.00	3862.00	3752.00	4221.00	4247.00	4413.00	686.00	397.00	296.00	137.00	216.00	47.00	1003.00	973.00	946.00	
CNA00420_1	129720	129766	47	utr5E	36.00	19.00	24.00	20.00	12.00	18.00	12.00	12.00	11.00	3.00	2.00	8.00	75.00	28.00	45.00	29.00	30.00	26.00	13.00	20.00	8.00	
CNA00420_2	130163	130206	44	cdsE	1.00	1.00	4.00	0	0	0	2.00	2.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00420_3	130207	130276	70	cdsE	0	0	0	0	0	0	0	0	0	5.00	9.00	6.00	0	0	0	0	0	0	0	0	0	
CNA00420_4	130350	130350	1	cdsE	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00450_1	132053	132113	61	utr5E	6.00	7.00	4.00	3.00	2.00	3.00	0	0	0	0	0	0	9.00	9.00	9.00	12.00	8.00	11.00	14.00	9.00	10.00	
CNA00450_2	132205	132205	1	cdsE	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00450_3	132322	132322	1	cdsE	3.00	3.00	3.00	0	0	0	2.00	4.00	2.00	1.00	1.00	1.00	3.00	2.00	3.00	0	0	0	0	0	0	
CNA00450_4	132575	132575	1	cdsE	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	
CNA00450_5	132664	132815	152	cdsE	0	0	0	2.00	1.00	1.00	8.00	9.00	8.00	4.00	5.00	3.00	3.00	1.00	1.00	1.00	1.00	1.00	11.00	18.00	13.00	
CNA00450_6	132871	132897	27	cdsE	7.00	1.00	1.00	1.00	1.00	4.00	1.00	1.00	1.00	2.00	1.00	2.00	5.00	4.00	3.00	1.00	1.00	1.00	8.00	5.00	3.00	
CNA00450_7	132945	132945	1	cdsE	3.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00450_8	133295	133295	1	cdsE	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00450_9	133296	133296	1	cdsE	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00460_1	133646	133709	64	utr5E	40.00	51.00	38.00	19.00	16.00	15.00	42.00	36.00	23.00	19.00	16.00	21.00	37.00	52.00	31.00	28.00	26.00	13.00	29.00	29.00	17.00	
CNA00485_1	140937	140987	51	utr5E	52.00	27.00	26.00	111.00	69.00	84.00	45.00	62.00	46.00	25.00	24.00	25.00	46.00	35.00	55.00	104.00	66.00	85.00	51.00	68.00	67.00	
CNA00485_2	141331	141413	83	cdsE	0	0	0	5.00	4.00	7.00	3.00	1.00	1.00	17.00	14.00	14.00	0	0	0	2.00	1.00	2.00	6.00	4.00	4.00	
CNA00510_1	143758	143900	143	utr5E	17556.00	10796.00	9212.00	3420.00	2199.00	1918.00	3784.00	3278.00	2123.00	1871.00	1954.00	2524.00	16708.00	15510.00	13562.00	5448.00	6061.00	960.00	4518.00	5547.00	3928.00	
CNA00540_1	153007	153125	119	utr5E	251.00	123.00	117.00	168.00	162.00	167.00	69.00	78.00	45.00	42.00	23.00	40.00	344.00	214.00	231.00	162.00	208.00	83.00	48.00	65.00	53.00	
CNA00540_2	153332	153362	31	utr5E	0	0	0	18.00	11.00	10.00	12.00	20.00	23.00	21.00	11.00	8.00	28.00	18.00	14.00	2.00	7.00	1.00	4.00	2.00	1.00	
CNA00540_3	153728	153812	85	cdsE	19.00	13.00	9.00	2.00	3.00	12.00	2.00	4.00	3.00	111.00	104.00	105.00	0	0	0	8.00	4.00	8.00	0	0	0	
CNA00540_4	153912	154079	168	cdsE	7.00	6.00	5.00	4.00	5.00	3.00	5.00	6.00	3.00	58.00	61.00	55.00	1.00	1.00	1.00	2.00	3.00	1.00	0	0	0	
CNA00560_1	155988	156050	63	utr5E	6220.00	5313.00	4332.00	4619.00	3667.00	3543.00	2552.00	2888.00	2131.00	2358.00	1804.00	2531.00	14271.00	10624.00	7759.00	4967.00	5804.00	2006.00	1854.00	2085.00	1461.00	
CNA00580_1	162656	162884	229	utr5E	3708.00	1617.00	1899.00	1369.00	1665.00	1713.00	1414.00	1553.00	1234.00	1240.00	1131.00	1467.00	7007.00	3238.00	3173.00	4331.00	4429.00	2502.00	1632.00	1391.00	1023.00	
CNA00590_1	167233	167247	15	utr5E	5.00	4.00	3.00	4.00	4.00	3.00	0	0	0	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	
CNA00590_2	167408	167408	1	utr5E	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00590_3	167800	167800	1	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	
CNA00590_4	167841	167841	1	utr5E	0	0	0	0	0	0	2.00	3.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00590_5	168082	168082	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNA00590_6	168087	168087	1	cdsI	0	0	0	2.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00590_7	169122	169122	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	
CNA00590_8	169271	169273	3	cdsE	0	0	0	1.00	1.00	3.00	9.00	16.00	5.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00590_9	170585	170585	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	2.00	1.00	0	0	0	
CNA00590_10	170955	170987	33	utr3E	0	0	0	6.00	6.00	11.00	0	0	0	8.00	12.00	10.00	0	0	0	3.00	1.00	1.00	0	0	0	
CNA00600_1	171337	171359	23	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	4.00	4.00	0	0	0	
CNA00600_2	171369	171411	43	utr5E	0	0	0	3.00	3.00	5.00	0	0	0	2.00	4.00	4.00	0	0	0	0	0	0	0	0	0	
CNA00600_3	171509	171509	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	
CNA00600_4	171868	171913	46	cdsE	0	0	0	5.00	5.00	6.00	0	0	0	2.00	1.00	2.00	3.00	8.00	4.00	10.00	11.00	5.00	0	0	0	
CNA00600_5	172145	172171	27	cdsE	0	0	0	1.00	1.00	1.00	0	0	0	14.00	6.00	6.00	1.00	1.00	2.00	1.00	1.00	3.00	0	0	0	
CNA00600_6	172252	172254	3	cdsE	0	0	0	0	0	0	0	0	0	5.00	2.00	9.00	0	0	0	0	0	0	0	0	0	
CNA00600_7	172336	172336	1	cdsE	0	0	0	0	0	0	0	0	0	4.00	2.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00610_1	174026	174034	9	utr5E	5.00	6.00	1.00	1.00	1.00	1.00	4.00	3.00	4.00	0	0	0	38.00	24.00	22.00	1.00	6.00	3.00	14.00	9.00	8.00	
CNA00610_2	174119	174243	125	utr5E	13.00	10.00	6.00	1.00	1.00	1.00	3.00	2.00	3.00	5.00	3.00	6.00	12.00	14.00	12.00	1.00	1.00	1.00	0	0	0	
CNA00610_3	174358	174358	1	cdsI	0	0	0	0	0	0	5.00	5.00	1.00	0	0	0	0	0	0	0	0	0	3.00	1.00	2.00	
CNA00610_4	174370	174370	1	cdsI	3.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00610_5	174551	174814	264	cdsE	0	0	0	0	0	0	2.00	3.00	3.00	0	0	0	29.00	28.00	24.00	5.00	6.00	5.00	1.00	2.00	1.00	
CNA00610_6	175771	175895	125	cdsE	0	0	0	2.00	2.00	1.00	0	0	0	13.00	18.00	11.00	0	0	0	0	0	0	1.00	1.00	2.00	
CNA00620_1	177763	177820	58	utr5E	203.00	157.00	130.00	95.00	74.00	80.00	124.00	82.00	70.00	49.00	38.00	65.00	168.00	122.00	99.00	87.00	77.00	43.00	69.00	94.00	68.00	
CNA00620_2	179225	179305	81	cdsE	11.00	8.00	5.00	4.00	3.00	2.00	9.00	16.00	14.00	19.00	23.00	24.00	5.00	6.00	5.00	4.00	2.00	2.00	10.00	10.00	7.00	
CNA00620_3	179601	179668	68	cdsE	0	0	0	29.00	28.00	47.00	1.00	2.00	1.00	18.00	21.00	19.00	37.00	30.00	35.00	24.00	30.00	12.00	8.00	11.00	9.00	
CNA00640_1	183947	184090	144	utr5E	161.00	146.00	133.00	99.00	75.00	78.00	421.00	377.00	325.00	177.00	222.00	254.00	193.00	115.00	86.00	75.00	111.00	49.00	194.00	206.00	126.00	
CNA00660_1	187853	187926	74	utr5E	158.00	110.00	123.00	122.00	152.00	117.00	102.00	82.00	59.00	21.00	13.00	18.00	264.00	162.00	138.00	128.00	106.00	30.00	74.00	68.00	64.00	
CNA00660_2	189409	189434	26	cdsI	11.00	5.00	7.00	22.00	22.00	21.00	0	0	0	23.00	20.00	23.00	3.00	3.00	3.00	5.00	2.00	2.00	0	0	0	
CNA00660_3	189834	189841	8	cdsE	2.00	1.00	1.00	0	0	0	10.00	15.00	14.00	12.00	14.00	10.00	0	0	0	0	0	0	3.00	2.00	5.00	
CNA00670_1	191733	191749	17	utr5E	3.00	3.00	4.00	0	0	0	0	0	0	2.00	2.00	2.00	4.00	5.00	4.00	0	0	0	0	0	0	
CNA00670_2	191845	191989	145	utr5E	61.00	47.00	41.00	14.00	7.00	7.00	14.00	18.00	17.00	19.00	27.00	12.00	24.00	21.00	22.00	8.00	11.00	3.00	20.00	51.00	28.00	
CNA00670_3	192172	192214	43	cdsE	9.00	7.00	3.00	7.00	4.00	8.00	6.00	5.00	5.00	3.00	4.00	3.00	11.00	10.00	6.00	2.00	2.00	1.00	0	0	0	
CNA00670_4	193147	193147	1	cdsE	0	0	0	5.00	1.00	1.00	0	0	0	2.00	3.00	1.00	4.00	3.00	1.00	3.00	2.00	3.00	0	0	0	
CNA00670_5	193921	193992	72	cdsE	0	0	0	6.00	4.00	4.00	0	0	0	2.00	2.00	1.00	0	0	0	1.00	1.00	1.00	0	0	0	
CNA00670_6	194200	194313	114	cdsE	2.00	3.00	4.00	0	0	0	0	0	0	10.00	10.00	10.00	0	0	0	0	0	0	0	0	0	
CNA00670_7	194416	194468	53	cdsE	0	0	0	0	0	0	0	0	0	9.00	8.00	5.00	0	0	0	0	0	0	0	0	0	
CNA00680_1	195257	195366	110	utr5E	15.00	7.00	4.00	13.00	13.00	7.00	16.00	10.00	16.00	0	0	0	51.00	28.00	47.00	7.00	12.00	5.00	24.00	27.00	15.00	
CNA00680_2	197678	197678	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00	4.00	1.00	0	0	0	
CNA00680_3	198324	198450	127	cdsE	0	0	0	0	0	0	3.00	5.00	7.00	16.00	16.00	12.00	0	0	0	2.00	1.00	3.00	30.00	27.00	29.00	
CNA00680_4	198509	198546	38	cdsE	0	0	0	0	0	0	2.00	2.00	1.00	22.00	19.00	14.00	0	0	0	0	0	0	4.00	3.00	8.00	
CNA00680_5	198876	198900	25	cdsE	0	0	0	5.00	6.00	7.00	0	0	0	0	0	0	0	0	0	5.00	3.00	2.00	0	0	0	
CNA00680_6	199232	199234	3	cdsE	3.00	1.00	1.00	4.00	5.00	2.00	0	0	0	4.00	6.00	3.00	0	0	0	1.00	1.00	1.00	2.00	1.00	1.00	
CNA00680_7	199319	199479	161	cdsE	0	0	0	6.00	3.00	4.00	1.00	1.00	2.00	73.00	87.00	62.00	0	0	0	5.00	5.00	6.00	28.00	33.00	27.00	
CNA00680_8	199490	199490	1	cdsE	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNA00690_1	202151	202192	42	utr5E	5.00	16.00	9.00	0	0	0	40.00	38.00	31.00	4.00	10.00	6.00	16.00	19.00	16.00	0	0	0	22.00	31.00	12.00	
CNA00690_2	202359	202370	12	utr5E	72.00	68.00	33.00	0	0	0	58.00	42.00	44.00	5.00	7.00	11.00	27.00	71.00	65.00	6.00	9.00	2.00	44.00	41.00	37.00	
CNA00690_3	202453	202504	52	utr5E	29.00	18.00	13.00	1.00	1.00	1.00	48.00	47.00	44.00	3.00	7.00	4.00	27.00	32.00	30.00	2.00	7.00	3.00	32.00	39.00	23.00	
