	merge_cluster																															
CNAG_00039_1	122493	122501	9	cdsE	2.00	6.00	3.00	8.00	6.00	6.00	3.00	1.00	1.00	2.00	1.00	3.00	4.00	4.00	2.00	4.00	1.00	10.00	10.00	7.00	6.00	30.00	24.00	19.00	21.00	14.00	22.00	
CNAG_00039_2	122501	122501	1	cdsE	0	0	0	0	0	0	3.00	1.00	1.00	2.00	1.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00039_3	123435	123490	56	utr3E	37.00	35.00	36.00	38.00	79.00	30.00	16.00	4.00	17.00	10.00	20.00	19.00	15.00	8.00	6.00	11.00	17.00	21.00	9.00	13.00	8.00	43.00	24.00	33.00	15.00	21.00	11.00	
CNAG_00040_1	126258	126278	21	utr3E	17.00	21.00	12.00	24.00	29.00	16.00	11.00	2.00	6.00	13.00	18.00	16.00	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	2.00	2.00	2.00	
CNAG_00040_2	126384	126445	62	utr3E	43.00	41.00	46.00	160.00	284.00	119.00	43.00	14.00	27.00	76.00	132.00	220.00	28.00	52.00	9.00	28.00	25.00	59.00	44.00	36.00	35.00	11.00	8.00	9.00	27.00	43.00	19.00	
CNAG_00044_1	133232	133233	2	cdsE	2.00	1.00	2.00	9.00	15.00	10.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00044_2	136272	136303	32	cdsE	4.00	2.00	2.00	9.00	10.00	9.00	6.00	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00044_3	136364	136388	25	utr3E	17.00	19.00	10.00	0	0	0	19.00	7.00	17.00	10.00	9.00	14.00	2.00	5.00	2.00	14.00	10.00	24.00	11.00	8.00	6.00	4.00	1.00	1.00	15.00	26.00	9.00	
CNAG_00046_1	139437	139456	20	cdsE	51.00	59.00	50.00	94.00	197.00	108.00	47.00	8.00	21.00	20.00	27.00	30.00	4.00	7.00	5.00	13.00	10.00	28.00	15.00	14.00	11.00	16.00	7.00	10.00	10.00	26.00	15.00	
CNAG_00046_2	139568	139611	44	utr3E	380.00	373.00	331.00	729.00	1167.00	645.00	380.00	68.00	183.00	148.00	168.00	206.00	53.00	86.00	33.00	109.00	78.00	229.00	68.00	91.00	66.00	51.00	38.00	67.00	94.00	142.00	131.00	
CNAG_00049_1	144893	144893	1	utr5E	3.00	3.00	2.00	2.00	3.00	6.00	0	0	0	0	0	0	1.00	4.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00049_2	145860	145863	4	cdsE	5.00	3.00	1.00	7.00	16.00	3.00	0	0	0	0	0	0	0	0	0	3.00	1.00	6.00	0	0	0	0	0	0	2.00	3.00	1.00	
CNAG_00049_3	146816	146816	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00049_4	146819	146840	22	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00052_1	154805	154861	57	utr3E	60.00	77.00	65.00	84.00	122.00	76.00	12.00	4.00	6.00	4.00	9.00	6.00	2.00	1.00	1.00	4.00	5.00	6.00	4.00	5.00	4.00	42.00	29.00	53.00	14.00	25.00	29.00	
CNAG_00052_2	154973	155000	28	utr3E	360.00	411.00	356.00	297.00	413.00	181.00	140.00	44.00	47.00	76.00	88.00	99.00	27.00	22.00	10.00	32.00	13.00	35.00	53.00	70.00	53.00	534.00	435.00	591.00	122.00	235.00	217.00	
CNAG_00053_1	156178	156178	1	utr3E	0	0	0	11.00	10.00	4.00	0	0	0	0	0	0	0	0	0	3.00	4.00	6.00	0	0	0	0	0	0	7.00	5.00	3.00	
CNAG_00055_1	158838	158894	57	utr3E	10.00	16.00	19.00	38.00	61.00	42.00	4.00	3.00	5.00	9.00	7.00	14.00	2.00	4.00	4.00	10.00	8.00	18.00	9.00	4.00	3.00	0	0	0	4.00	12.00	3.00	
CNAG_00056_1	161136	161136	1	cdsE	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00056_2	161385	161414	30	utr3E	7.00	7.00	7.00	27.00	44.00	17.00	35.00	16.00	22.00	28.00	30.00	48.00	6.00	8.00	4.00	18.00	29.00	52.00	20.00	22.00	19.00	3.00	2.00	1.00	19.00	21.00	15.00	
CNAG_00059_1	167417	167431	15	utr3E	10.00	8.00	9.00	12.00	26.00	20.00	10.00	2.00	7.00	3.00	1.00	5.00	0	0	0	2.00	2.00	11.00	3.00	2.00	1.00	0	0	0	2.00	2.00	1.00	
CNAG_00059_2	167431	167431	1	utr3E	0	0	0	0	0	0	10.00	2.00	7.00	3.00	1.00	5.00	0	0	0	2.00	2.00	11.00	3.00	2.00	1.00	0	0	0	2.00	2.00	1.00	
CNAG_00061_1	171136	171170	35	utr3E	1703.00	1945.00	1721.00	5936.00	9548.00	5643.00	1685.00	480.00	945.00	913.00	1397.00	1960.00	718.00	1108.00	532.00	1343.00	1123.00	3061.00	610.00	840.00	581.00	515.00	460.00	527.00	725.00	950.00	537.00	
CNAG_00063_1	175671	175671	1	utr3E	0	0	0	7.00	11.00	14.00	8.00	1.00	4.00	2.00	4.00	4.00	0	0	0	2.00	1.00	4.00	0	0	0	0	0	0	1.00	4.00	3.00	
CNAG_00063_2	175900	175904	5	utr3E	4.00	4.00	3.00	51.00	89.00	57.00	28.00	8.00	22.00	11.00	20.00	17.00	0	0	0	9.00	8.00	23.00	1.00	3.00	1.00	0	0	0	4.00	7.00	2.00	
CNAG_00065_1	178968	179003	36	utr3E	170.00	164.00	173.00	0	0	0	149.00	48.00	115.00	65.00	89.00	128.00	15.00	29.00	7.00	66.00	63.00	165.00	35.00	48.00	40.00	4.00	3.00	12.00	53.00	87.00	55.00	
CNAG_00067_1	185028	185083	56	utr3E	89.00	95.00	96.00	265.00	442.00	353.00	365.00	99.00	191.00	207.00	223.00	280.00	70.00	91.00	64.00	148.00	114.00	314.00	99.00	88.00	70.00	18.00	22.00	31.00	205.00	335.00	204.00	
CNAG_00068_1	192264	192264	1	utr3E	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00068_2	192501	192501	1	utr3E	4.00	2.00	2.00	6.00	3.00	7.00	0	0	0	0	0	0	0	0	0	1.00	2.00	2.00	4.00	4.00	2.00	2.00	5.00	1.00	16.00	7.00	6.00	
CNAG_00069_1	194373	194373	1	utr3E	6.00	2.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	4.00	8.00	0	0	0	0	0	0	0	0	0	
CNAG_00070_1	195170	195177	8	utr5E	13.00	13.00	9.00	21.00	32.00	28.00	14.00	1.00	4.00	5.00	12.00	7.00	5.00	9.00	5.00	3.00	7.00	13.00	11.00	10.00	5.00	30.00	20.00	25.00	24.00	29.00	17.00	
CNAG_00070_2	195276	195287	12	utr5E	16.00	15.00	17.00	15.00	20.00	29.00	0	0	0	3.00	3.00	3.00	6.00	10.00	5.00	6.00	5.00	12.00	7.00	9.00	4.00	51.00	31.00	45.00	37.00	47.00	28.00	
CNAG_00070_3	196790	196798	9	cdsE	2.00	1.00	3.00	11.00	9.00	11.00	5.00	1.00	2.00	6.00	5.00	7.00	0	0	0	2.00	2.00	7.00	2.00	2.00	1.00	6.00	7.00	11.00	6.00	7.00	3.00	
CNAG_00070_4	197540	197540	1	utr3E	5.00	3.00	4.00	5.00	3.00	2.00	7.00	3.00	2.00	0	0	0	0	0	0	1.00	1.00	1.00	4.00	1.00	1.00	0	0	0	2.00	2.00	1.00	
CNAG_00070_5	197633	197633	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00072_1	201170	201194	25	utr3E	102.00	112.00	109.00	317.00	445.00	220.00	131.00	41.00	74.00	64.00	110.00	152.00	37.00	62.00	24.00	72.00	56.00	165.00	39.00	71.00	48.00	34.00	33.00	33.00	56.00	49.00	30.00	
CNAG_00074_1	208283	208329	47	utr3E	34.00	31.00	47.00	129.00	173.00	110.00	81.00	22.00	55.00	65.00	67.00	75.00	31.00	49.00	18.00	48.00	40.00	86.00	51.00	67.00	41.00	39.00	15.00	43.00	41.00	59.00	36.00	
CNAG_00076_1	211966	211986	21	utr3E	31.00	30.00	23.00	0	0	0	44.00	13.00	23.00	19.00	27.00	34.00	8.00	16.00	4.00	17.00	12.00	36.00	9.00	16.00	12.00	10.00	5.00	13.00	22.00	37.00	24.00	
CNAG_00077_1	214021	214021	1	cdsI	3.00	3.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00077_2	216448	216453	6	utr3E	5.00	6.00	2.00	16.00	10.00	6.00	34.00	12.00	16.00	6.00	7.00	18.00	21.00	35.00	20.00	5.00	9.00	34.00	22.00	38.00	28.00	16.00	17.00	23.00	25.00	43.00	12.00	
CNAG_00077_3	216571	216571	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00078_1	221383	221383	1	utr3E	0	0	0	1.00	8.00	3.00	4.00	1.00	2.00	2.00	4.00	4.00	0	0	0	1.00	1.00	3.00	0	0	0	0	0	0	0	0	0	
CNAG_00078_2	221431	221440	10	utr3E	0	0	0	5.00	6.00	2.00	7.00	2.00	4.00	3.00	4.00	3.00	1.00	2.00	3.00	1.00	1.00	7.00	0	0	0	0	0	0	6.00	14.00	4.00	
CNAG_00078_3	221440	221440	1	utr3E	0	0	0	5.00	6.00	2.00	7.00	2.00	4.00	3.00	4.00	3.00	1.00	2.00	3.00	1.00	1.00	7.00	0	0	0	0	0	0	0	0	0	
CNAG_00079_1	224548	224601	54	utr3E	9.00	12.00	6.00	31.00	33.00	22.00	4.00	2.00	4.00	5.00	5.00	5.00	1.00	5.00	1.00	4.00	5.00	6.00	0	0	0	9.00	4.00	9.00	8.00	11.00	6.00	
CNAG_00082_1	232333	232384	52	utr3E	20.00	16.00	28.00	56.00	96.00	52.00	23.00	9.00	13.00	6.00	7.00	14.00	2.00	11.00	2.00	11.00	11.00	21.00	7.00	9.00	4.00	6.00	3.00	5.00	3.00	10.00	11.00	
CNAG_00084_1	239730	239787	58	utr3I	77.00	92.00	79.00	0	0	0	410.00	112.00	266.00	159.00	157.00	241.00	48.00	70.00	33.00	141.00	123.00	330.00	56.00	93.00	54.00	59.00	54.00	63.00	103.00	231.00	120.00	
CNAG_00086_1	243351	243444	94	utr3E	97.00	101.00	78.00	326.00	446.00	343.00	241.00	58.00	151.00	56.00	75.00	124.00	19.00	43.00	16.00	77.00	52.00	166.00	31.00	32.00	31.00	29.00	16.00	50.00	62.00	86.00	43.00	
CNAG_00090_1	250049	250049	1	cdsE	0	0	0	0	0	0	0	0	0	1.00	2.00	4.00	0	0	0	3.00	1.00	2.00	0	0	0	6.00	3.00	4.00	5.00	4.00	5.00	
CNAG_00090_2	251700	251740	41	utr3E	19.00	18.00	13.00	47.00	127.00	60.00	40.00	7.00	21.00	14.00	24.00	19.00	4.00	6.00	2.00	6.00	5.00	16.00	9.00	6.00	2.00	9.00	5.00	18.00	6.00	9.00	8.00	
CNAG_00090_3	251834	251849	16	utr3E	5.00	11.00	12.00	43.00	51.00	43.00	10.00	2.00	2.00	5.00	14.00	7.00	1.00	1.00	1.00	5.00	6.00	14.00	0	0	0	4.00	3.00	5.00	0	0	0	
CNAG_00090_4	251979	251991	13	utr3E	7.00	7.00	11.00	32.00	44.00	33.00	0	0	0	1.00	1.00	1.00	1.00	1.00	1.00	0	0	0	1.00	1.00	2.00	0	0	0	4.00	4.00	10.00	
CNAG_00091_1	254131	254133	3	cdsE	5.00	4.00	4.00	80.00	104.00	55.00	13.00	2.00	6.00	54.00	44.00	50.00	26.00	9.00	10.00	24.00	10.00	43.00	14.00	10.00	10.00	132.00	89.00	108.00	69.00	103.00	88.00	
CNAG_00091_2	255395	255426	32	utr3E	1870.00	2049.00	1564.00	784.00	914.00	348.00	236.00	58.00	102.00	242.00	310.00	278.00	358.00	473.00	272.00	162.00	89.00	279.00	426.00	542.00	446.00	1205.00	1056.00	1327.00	448.00	1012.00	670.00	
CNAG_00092_1	256688	256704	17	utr3E	50.00	77.00	55.00	286.00	461.00	326.00	102.00	34.00	63.00	49.00	67.00	101.00	11.00	14.00	6.00	87.00	54.00	148.00	39.00	38.00	21.00	13.00	15.00	24.00	53.00	104.00	43.00	
CNAG_00092_2	256806	256810	5	utr3E	21.00	16.00	19.00	20.00	71.00	55.00	19.00	8.00	21.00	12.00	10.00	14.00	1.00	2.00	2.00	13.00	6.00	21.00	3.00	6.00	4.00	13.00	14.00	11.00	33.00	33.00	24.00	
CNAG_00092_3	256881	256884	4	utr3E	135.00	133.00	123.00	192.00	293.00	233.00	98.00	26.00	58.00	24.00	36.00	45.00	22.00	34.00	19.00	45.00	30.00	96.00	34.00	27.00	27.00	8.00	15.00	20.00	43.00	46.00	21.00	
CNAG_00094_1	261684	261684	1	cdsE	0	0	0	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	4.00	
CNAG_00094_2	262647	262714	68	utr3E	16.00	11.00	8.00	45.00	56.00	26.00	16.00	9.00	13.00	10.00	13.00	16.00	0	0	0	1.00	1.00	3.00	3.00	5.00	4.00	2.00	1.00	3.00	94.00	118.00	104.00	
CNAG_00096_1	268679	268685	7	utr3I	19.00	27.00	21.00	58.00	76.00	46.00	57.00	14.00	24.00	21.00	30.00	34.00	11.00	25.00	15.00	29.00	13.00	57.00	16.00	16.00	13.00	39.00	24.00	59.00	42.00	99.00	58.00	
CNAG_00098_1	274347	274354	8	cdsE	1.00	1.00	1.00	10.00	17.00	8.00	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00098_2	275069	275117	49	utr3E	31.00	37.00	37.00	23.00	46.00	28.00	281.00	71.00	167.00	226.00	221.00	307.00	162.00	213.00	105.00	141.00	139.00	356.00	152.00	197.00	149.00	33.00	44.00	46.00	248.00	379.00	210.00	
CNAG_00100_1	280439	280449	11	utr3E	287.00	313.00	270.00	1769.00	2757.00	1791.00	1506.00	411.00	938.00	468.00	504.00	779.00	115.00	166.00	67.00	344.00	299.00	754.00	95.00	140.00	107.00	134.00	118.00	127.00	78.00	87.00	96.00	
CNAG_00104_1	285801	285813	13	utr5E	140.00	148.00	139.00	157.00	203.00	121.00	177.00	41.00	92.00	12.00	22.00	25.00	21.00	27.00	13.00	33.00	16.00	60.00	30.00	29.00	30.00	67.00	64.00	97.00	48.00	72.00	54.00	
CNAG_00104_2	289241	289248	8	cdsE	56.00	63.00	53.00	72.00	112.00	99.00	91.00	24.00	55.00	13.00	15.00	22.00	21.00	14.00	10.00	21.00	14.00	36.00	14.00	31.00	17.00	69.00	43.00	89.00	48.00	93.00	48.00	
CNAG_00104_3	289627	289654	28	utr3E	103.00	117.00	126.00	375.00	558.00	384.00	139.00	46.00	86.00	42.00	54.00	68.00	19.00	24.00	13.00	44.00	34.00	115.00	49.00	42.00	28.00	133.00	94.00	153.00	68.00	116.00	71.00	
CNAG_00107_1	298269	298308	40	cdsE	2.00	3.00	8.00	17.00	26.00	7.00	2.00	2.00	3.00	3.00	1.00	1.00	0	0	0	0	0	0	0	0	0	2.00	2.00	8.00	0	0	0	
CNAG_00107_2	298941	299045	105	cdsE	24.00	25.00	19.00	56.00	83.00	48.00	51.00	8.00	26.00	27.00	19.00	27.00	15.00	32.00	7.00	14.00	10.00	40.00	17.00	22.00	19.00	41.00	25.00	40.00	10.00	20.00	15.00	
CNAG_00107_3	299366	299388	23	utr3E	1.00	4.00	3.00	32.00	34.00	20.00	0	0	0	2.00	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00109_1	301677	301751	75	utr3E	100.00	94.00	91.00	258.00	317.00	241.00	121.00	31.00	107.00	52.00	45.00	77.00	14.00	25.00	18.00	38.00	35.00	92.00	27.00	23.00	20.00	10.00	6.00	13.00	41.00	39.00	27.00	
CNAG_00111_1	306789	306829	41	utr3E	154.00	151.00	121.00	297.00	419.00	269.00	117.00	27.00	90.00	62.00	67.00	100.00	25.00	42.00	23.00	59.00	56.00	144.00	48.00	30.00	27.00	13.00	8.00	19.00	46.00	79.00	36.00	
CNAG_00116_1	316038	316100	63	utr3E	697.00	897.00	782.00	7305.00	10538.00	7369.00	6707.00	1684.00	4439.00	2873.00	3195.00	4662.00	481.00	657.00	306.00	2822.00	2073.00	5694.00	566.00	812.00	565.00	640.00	511.00	1122.00	2243.00	3914.00	1855.00	
CNAG_00119_1	320660	320668	9	utr3E	4.00	1.00	4.00	4.00	10.00	4.00	8.00	6.00	5.00	5.00	4.00	4.00	3.00	5.00	1.00	6.00	1.00	2.00	1.00	3.00	2.00	0	0	0	6.00	5.00	2.00	
CNAG_00124_1	332518	332521	4	cdsE	7.00	8.00	8.00	9.00	18.00	9.00	0	0	0	1.00	2.00	2.00	0	0	0	2.00	1.00	2.00	0	0	0	0	0	0	10.00	12.00	9.00	
CNAG_00124_2	332910	332919	10	utr3E	20.00	24.00	12.00	39.00	58.00	41.00	66.00	22.00	37.00	31.00	30.00	69.00	20.00	40.00	21.00	34.00	31.00	74.00	24.00	43.00	24.00	10.00	10.00	23.00	64.00	67.00	72.00	
CNAG_00125_1	338056	338061	6	utr3E	7.00	13.00	12.00	26.00	15.00	17.00	4.00	1.00	3.00	1.00	2.00	1.00	1.00	1.00	1.00	0	0	0	1.00	1.00	2.00	0	0	0	1.00	4.00	4.00	
CNAG_00128_1	349936	349975	40	utr3E	1.00	1.00	1.00	4.00	7.00	5.00	13.00	3.00	8.00	4.00	3.00	6.00	1.00	2.00	2.00	4.00	2.00	10.00	0	0	0	0	0	0	4.00	9.00	4.00	
CNAG_00128_2	349975	349975	1	utr3E	0	0	0	0	0	0	0	0	0	4.00	3.00	6.00	1.00	2.00	2.00	4.00	2.00	10.00	0	0	0	0	0	0	4.00	9.00	4.00	
CNAG_00129_1	352502	352542	41	utr3E	5.00	4.00	5.00	7.00	7.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_00129_2	352604	352604	1	utr3E	0	0	0	0	0	0	0	0	0	1.00	2.00	5.00	0	0	0	1.00	1.00	2.00	0	0	0	4.00	1.00	2.00	0	0	0	
CNAG_00129_3	352648	352667	20	utr3E	4.00	4.00	2.00	7.00	12.00	4.00	3.00	5.00	9.00	4.00	5.00	9.00	8.00	2.00	2.00	6.00	7.00	14.00	4.00	7.00	5.00	31.00	19.00	13.00	18.00	31.00	7.00	
CNAG_00129_4	352667	352667	1	utr3E	4.00	4.00	2.00	7.00	12.00	4.00	3.00	5.00	9.00	4.00	5.00	9.00	8.00	2.00	2.00	6.00	7.00	14.00	4.00	7.00	5.00	31.00	19.00	13.00	0	0	0	
CNAG_00130_1	357977	358012	36	utr3E	50.00	71.00	67.00	52.00	70.00	13.00	2.00	2.00	11.00	6.00	7.00	5.00	0	0	0	0	0	0	2.00	1.00	1.00	2.00	8.00	5.00	5.00	2.00	5.00	
CNAG_00130_2	358115	358130	16	utr3E	85.00	124.00	100.00	0	0	0	66.00	11.00	32.00	33.00	35.00	48.00	25.00	43.00	20.00	29.00	28.00	83.00	49.00	82.00	80.00	131.00	93.00	119.00	52.00	73.00	68.00	
CNAG_00130_3	358249	358255	7	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
