	merge_cluster																
CNAG_00023_3	71951	72011	61	utr5E	16.00	17.00	9.00	5.00	7.00	5.00	36.00	44.00	24.00	21.00	23.00	21.00	
CNAG_00025_1	79231	79269	39	cdsE	0	0	0	12.00	21.00	16.00	0	0	0	10.00	6.00	3.00	
CNAG_00025_2	80588	80697	110	cdsE	100.00	104.00	65.00	104.00	95.00	108.00	207.00	187.00	182.00	73.00	45.00	63.00	
CNAG_00025_3	80842	80894	53	utr5E	43.00	35.00	38.00	22.00	20.00	17.00	14.00	17.00	10.00	12.00	3.00	1.00	
CNAG_00026_1	83202	83347	146	utr5E	870.00	886.00	726.00	426.00	407.00	357.00	332.00	285.00	249.00	264.00	165.00	198.00	
CNAG_00028_1	90094	90160	67	utr5E	71.00	66.00	65.00	32.00	38.00	32.00	91.00	99.00	98.00	67.00	44.00	47.00	
CNAG_00031_1	96508	96642	135	utr5E	50.00	70.00	45.00	57.00	43.00	59.00	62.00	56.00	41.00	33.00	28.00	31.00	
CNAG_00036_1	108958	109136	179	cdsE	0	0	0	4.00	4.00	8.00	0	0	0	26.00	21.00	24.00	
CNAG_00036_2	110307	110366	60	utr5E	141.00	130.00	86.00	173.00	132.00	148.00	94.00	143.00	165.00	136.00	91.00	165.00	
CNAG_00038_1	114635	114635	1	cdsE	0	0	0	3.00	13.00	9.00	0	0	0	4.00	4.00	2.00	
CNAG_00038_2	115533	115612	80	utr5E	63.00	71.00	54.00	64.00	45.00	46.00	65.00	71.00	70.00	84.00	54.00	72.00	
CNAG_00043_1	131422	131554	133	cdsE	0	0	0	9.00	10.00	8.00	11.00	10.00	9.00	28.00	14.00	16.00	
CNAG_00043_2	132299	132373	75	utr5E	60.00	56.00	31.00	58.00	51.00	40.00	52.00	39.00	31.00	34.00	23.00	14.00	
CNAG_00045_1	136635	136660	26	cdsE	0	0	0	0	0	0	0	0	0	8.00	5.00	5.00	
CNAG_00045_2	136719	136866	148	cdsE	0	0	0	1.00	1.00	1.00	1.00	1.00	1.00	38.00	24.00	26.00	
CNAG_00045_3	137739	137775	37	cdsE	0	0	0	2.00	3.00	3.00	0	0	0	0	0	0	
CNAG_00045_4	137861	137911	51	utr5E	20.00	16.00	18.00	9.00	18.00	7.00	14.00	20.00	13.00	14.00	13.00	16.00	
CNAG_00047_1	140800	140837	38	cdsE	0	0	0	106.00	95.00	66.00	7.00	4.00	8.00	5.00	4.00	5.00	
CNAG_00047_2	141240	141404	165	cdsI	124.00	209.00	154.00	154.00	122.00	118.00	1067.00	1183.00	1113.00	908.00	646.00	717.00	
CNAG_00047_3	141941	141992	52	utr5E	139.00	179.00	109.00	201.00	149.00	124.00	116.00	116.00	80.00	248.00	109.00	176.00	
CNAG_00048_1	144435	144455	21	utr5E	0	0	0	9.00	7.00	6.00	7.00	5.00	6.00	0	0	0	
CNAG_00048_2	144567	144668	102	utr5E	29.00	47.00	49.00	39.00	50.00	40.00	98.00	87.00	86.00	156.00	76.00	87.00	
CNAG_00050_1	147058	147061	4	cdsE	0	0	0	2.00	3.00	1.00	0	0	0	10.00	8.00	11.00	
CNAG_00050_2	147726	147760	35	cdsE	9.00	9.00	7.00	22.00	17.00	16.00	9.00	12.00	9.00	28.00	30.00	28.00	
CNAG_00050_3	148115	148193	79	utr5E	95.00	148.00	113.00	74.00	58.00	57.00	77.00	68.00	59.00	37.00	29.00	28.00	
CNAG_00051_1	148748	148781	34	cdsE	0	0	0	4.00	8.00	4.00	5.00	3.00	4.00	20.00	7.00	9.00	
CNAG_00051_2	154244	154361	118	utr5E	18.00	14.00	14.00	1.00	2.00	1.00	13.00	13.00	15.00	3.00	3.00	2.00	
CNAG_00051_3	154949	155034	86	utr5E	93.00	143.00	96.00	54.00	68.00	37.00	208.00	167.00	166.00	70.00	29.00	40.00	
CNAG_00054_1	156187	156637	451	cdsE	45.00	64.00	31.00	191.00	203.00	183.00	152.00	131.00	178.00	1368.00	614.00	762.00	
CNAG_00054_2	157060	157226	167	utr5E	360.00	359.00	193.00	630.00	485.00	410.00	603.00	596.00	585.00	416.00	296.00	350.00	
CNAG_00057_1	163014	163260	247	utr5E	2485.00	3320.00	1866.00	9132.00	6552.00	6688.00	2713.00	2883.00	3113.00	3992.00	2078.00	2964.00	
CNAG_00058_1	166114	166219	106	utr5E	808.00	1054.00	935.00	914.00	742.00	740.00	394.00	447.00	385.00	563.00	333.00	428.00	
CNAG_00060_1	169005	169074	70	utr5E	1069.00	1044.00	722.00	486.00	529.00	308.00	623.00	540.00	390.00	482.00	190.00	264.00	
CNAG_00062_1	172302	172411	110	cdsE	1.00	1.00	1.00	71.00	70.00	70.00	2.00	2.00	2.00	29.00	16.00	20.00	
CNAG_00062_2	173781	173794	14	cdsE	0	0	0	35.00	43.00	42.00	0	0	0	1.00	1.00	1.00	
CNAG_00062_3	174210	174260	51	utr5E	258.00	331.00	256.00	263.00	191.00	199.00	126.00	136.00	132.00	92.00	63.00	70.00	
CNAG_00064_1	177008	177170	163	utr5E	323.00	505.00	492.00	291.00	233.00	264.00	236.00	283.00	257.00	348.00	245.00	320.00	
CNAG_00066_1	180093	180142	50	cdsE	0	0	0	0	0	0	12.00	7.00	9.00	5.00	3.00	2.00	
CNAG_00066_2	180193	180385	193	cdsE	66.00	58.00	46.00	36.00	29.00	32.00	48.00	51.00	54.00	92.00	74.00	49.00	
CNAG_00066_3	183772	183825	54	utr5E	14.00	23.00	17.00	51.00	62.00	60.00	11.00	15.00	11.00	21.00	20.00	22.00	
CNAG_00073_1	201609	201768	160	cdsE	6.00	8.00	6.00	6.00	8.00	7.00	1.00	1.00	1.00	33.00	27.00	29.00	
CNAG_00073_2	203614	203741	128	cdsE	22.00	34.00	17.00	36.00	30.00	43.00	9.00	8.00	9.00	1.00	1.00	1.00	
CNAG_00073_3	204514	204626	113	utr5E	418.00	429.00	268.00	287.00	264.00	229.00	195.00	162.00	137.00	156.00	120.00	134.00	
CNAG_00075_1	209173	209344	172	utr5E	1713.00	2464.00	2304.00	3164.00	2452.00	2159.00	752.00	821.00	811.00	1438.00	679.00	902.00	
CNAG_00080_1	225556	225605	50	cdsE	0	0	0	0	0	0	3.00	1.00	2.00	3.00	2.00	2.00	
CNAG_00080_2	226262	226262	1	cdsE	0	0	0	0	0	0	0	0	0	2.00	5.00	3.00	
CNAG_00081_1	227974	228126	153	cdsE	0	0	0	8.00	6.00	8.00	4.00	2.00	5.00	39.00	38.00	28.00	
CNAG_00081_2	230515	230606	92	cdsE	11.00	14.00	13.00	5.00	8.00	9.00	2.00	3.00	3.00	18.00	15.00	17.00	
CNAG_00081_3	230929	230997	69	utr5E	132.00	107.00	89.00	129.00	96.00	92.00	55.00	63.00	47.00	48.00	51.00	53.00	
CNAG_00083_1	233736	233918	183	cdsE	57.00	75.00	54.00	16.00	19.00	16.00	20.00	17.00	12.00	99.00	90.00	47.00	
CNAG_00083_2	235203	235619	417	utr5E	1134.00	807.00	586.00	442.00	472.00	278.00	538.00	378.00	269.00	679.00	357.00	469.00	
CNAG_00085_1	240826	240860	35	utr5E	68.00	118.00	83.00	38.00	19.00	36.00	36.00	35.00	49.00	15.00	5.00	13.00	
CNAG_00087_1	244067	244089	23	cdsE	0	0	0	0	0	0	0	0	0	4.00	7.00	5.00	
CNAG_00087_2	244188	244295	108	cdsE	1.00	1.00	1.00	11.00	14.00	18.00	0	0	0	0	0	0	
CNAG_00087_3	244611	244617	7	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	6.00	3.00	8.00	
CNAG_00087_4	245369	245380	12	cdsE	0	0	0	2.00	1.00	2.00	0	0	0	4.00	2.00	2.00	
CNAG_00087_5	246053	246105	53	utr5E	45.00	50.00	30.00	37.00	43.00	38.00	28.00	21.00	19.00	8.00	7.00	3.00	
CNAG_00088_1	247974	248031	58	utr5E	467.00	502.00	468.00	377.00	382.00	341.00	375.00	364.00	347.00	318.00	218.00	301.00	
CNAG_00089_1	249615	249667	53	utr5E	195.00	237.00	221.00	177.00	147.00	183.00	216.00	228.00	179.00	186.00	112.00	130.00	
CNAG_00093_1	259394	259788	395	utr5E	3523.00	3401.00	1695.00	3633.00	2858.00	2560.00	1883.00	1763.00	1737.00	1661.00	1197.00	1555.00	
CNAG_00095_1	262963	263060	98	cdsE	0	0	0	2.00	1.00	1.00	0	0	0	6.00	7.00	5.00	
CNAG_00095_2	263339	263339	1	cdsE	0	0	0	1.00	2.00	2.00	0	0	0	0	0	0	
CNAG_00095_3	263431	263431	1	cdsE	12.00	39.00	33.00	10.00	10.00	6.00	30.00	27.00	25.00	9.00	32.00	3.00	
CNAG_00095_4	263715	263741	27	cdsE	0	0	0	0	0	0	3.00	6.00	2.00	3.00	1.00	1.00	
CNAG_00097_1	268901	268905	5	utr3E	0	0	0	0	0	0	5.00	4.00	4.00	0	0	0	
CNAG_00097_2	269274	269314	41	cdsE	0	0	0	0	0	0	0	0	0	5.00	3.00	4.00	
CNAG_00097_3	271404	271432	29	utr5E	9.00	19.00	7.00	4.00	5.00	5.00	30.00	28.00	36.00	10.00	7.00	12.00	
CNAG_00099_1	275351	275420	70	cdsE	0	0	0	4.00	4.00	6.00	3.00	2.00	1.00	5.00	5.00	2.00	
CNAG_00099_2	275817	275829	13	cdsE	0	0	0	3.00	6.00	3.00	0	0	0	1.00	3.00	1.00	
CNAG_00099_3	276492	276492	1	cdsE	7.00	13.00	15.00	9.00	7.00	10.00	4.00	5.00	3.00	1.00	7.00	4.00	
CNAG_00099_4	278042	278064	23	utr5E	64.00	35.00	25.00	8.00	17.00	10.00	18.00	10.00	15.00	6.00	2.00	5.00	
CNAG_00101_1	281115	281115	1	cdsE	2.00	10.00	9.00	3.00	4.00	3.00	4.00	5.00	5.00	5.00	4.00	2.00	
CNAG_00101_2	281310	281310	1	cdsE	0	0	0	4.00	1.00	4.00	0	0	0	0	0	0	
CNAG_00101_3	281850	281862	13	utr5E	33.00	39.00	38.00	17.00	18.00	19.00	30.00	20.00	14.00	33.00	10.00	17.00	
CNAG_00106_1	293972	294046	75	cdsE	0	0	0	1.00	2.00	1.00	11.00	12.00	10.00	23.00	13.00	22.00	
CNAG_00106_2	296183	296225	43	cdsE	0	0	0	5.00	4.00	7.00	2.00	3.00	1.00	0	0	0	
CNAG_00106_3	296697	296786	90	utr5E	76.00	77.00	55.00	9.00	9.00	8.00	22.00	25.00	15.00	13.00	7.00	9.00	
CNAG_00108_1	300940	300989	50	utr5E	364.00	440.00	389.00	357.00	251.00	250.00	116.00	132.00	141.00	187.00	77.00	115.00	
CNAG_00110_1	303886	303886	1	cdsE	0	0	0	2.00	4.00	4.00	0	0	0	0	0	0	
CNAG_00110_2	304015	304015	1	cdsE	0	0	0	1.00	2.00	3.00	0	0	0	0	0	0	
CNAG_00110_3	304159	304175	17	utr5E	72.00	64.00	49.00	10.00	9.00	7.00	4.00	2.00	3.00	2.00	2.00	2.00	
CNAG_00115_1	313766	313873	108	utr5E	2860.00	3420.00	2314.00	1340.00	1063.00	989.00	815.00	758.00	727.00	663.00	317.00	385.00	
CNAG_00117_1	318774	318908	135	utr5E	471.00	632.00	536.00	338.00	275.00	330.00	244.00	229.00	264.00	119.00	69.00	98.00	
CNAG_00118_1	319798	319829	32	utr5E	42.00	56.00	52.00	36.00	29.00	26.00	52.00	44.00	59.00	58.00	26.00	38.00	
CNAG_00120_1	321654	321700	47	cdsE	0	0	0	15.00	12.00	18.00	0	0	0	3.00	1.00	1.00	
CNAG_00120_2	321768	321846	79	utr5E	65.00	70.00	100.00	37.00	36.00	46.00	52.00	56.00	52.00	61.00	31.00	29.00	
CNAG_00121_1	323499	323541	43	cdsE	32.00	43.00	25.00	10.00	15.00	11.00	18.00	15.00	12.00	10.00	8.00	8.00	
CNAG_00121_2	323656	323711	56	cdsE	65.00	74.00	57.00	54.00	42.00	40.00	26.00	24.00	17.00	20.00	24.00	25.00	
CNAG_00121_3	323884	324039	156	utr5E	137.00	113.00	97.00	107.00	109.00	71.00	92.00	90.00	72.00	203.00	186.00	174.00	
CNAG_00122_1	324808	324832	25	utr3E	2.00	3.00	3.00	0	0	0	6.00	4.00	6.00	0	0	0	
CNAG_00122_2	327333	327333	1	utr5E	1.00	21.00	15.00	2.00	6.00	2.00	3.00	7.00	5.00	0	0	0	
CNAG_00122_3	327410	327456	47	utr5E	78.00	58.00	30.00	18.00	21.00	11.00	28.00	18.00	8.00	0	0	0	
CNAG_00122_4	327523	327613	91	utr5E	100.00	74.00	43.00	23.00	34.00	25.00	20.00	16.00	10.00	8.00	5.00	4.00	
CNAG_00123_1	329076	329186	111	cdsE	0	0	0	0	0	0	5.00	4.00	4.00	69.00	33.00	35.00	
CNAG_00123_2	330136	330283	148	utr5E	339.00	274.00	191.00	249.00	173.00	137.00	355.00	347.00	268.00	305.00	203.00	221.00	
CNAG_00126_1	339283	339360	78	utr5E	103.00	178.00	126.00	92.00	72.00	67.00	72.00	68.00	51.00	48.00	12.00	30.00	
CNAG_00127_1	341705	341796	92	cdsE	1.00	3.00	1.00	18.00	7.00	7.00	21.00	22.00	22.00	0	0	0	
CNAG_00127_2	342878	342879	2	cdsE	0	0	0	0	0	0	0	0	0	2.00	3.00	3.00	
CNAG_00127_3	343414	343472	59	utr5E	36.00	76.00	75.00	46.00	40.00	30.00	47.00	40.00	56.00	10.00	2.00	3.00	
CNAG_00132_1	360967	361002	36	cdsE	0	0	0	0	0	0	0	0	0	3.00	2.00	2.00	
CNAG_00132_2	362910	362960	51	utr5E	0	0	0	5.00	4.00	6.00	0	0	0	0	0	0	
CNAG_00132_3	363671	363746	76	utr5E	16.00	16.00	18.00	17.00	21.00	26.00	21.00	20.00	20.00	28.00	14.00	12.00	
CNAG_00134_1	365335	365339	5	cdsE	1.00	1.00	1.00	0	0	0	3.00	3.00	2.00	8.00	6.00	9.00	
CNAG_00134_2	367715	367771	57	utr5E	89.00	111.00	105.00	42.00	55.00	48.00	58.00	55.00	63.00	19.00	9.00	11.00	
CNAG_00136_1	368831	368834	4	cdsE	0	0	0	10.00	12.00	4.00	2.00	1.00	2.00	13.00	6.00	17.00	
CNAG_00136_2	369931	369932	2	cdsE	0	0	0	0	0	0	2.00	4.00	2.00	0	0	0	
CNAG_00136_3	372399	372474	76	utr5E	48.00	68.00	55.00	55.00	41.00	46.00	17.00	17.00	10.00	62.00	66.00	75.00	
CNAG_00137_1	374309	374424	116	utr5E	171.00	193.00	157.00	222.00	162.00	177.00	413.00	408.00	399.00	427.00	312.00	392.00	
CNAG_00139_1	377912	378075	164	utr5E	5177.00	6547.00	3433.00	14372.00	9341.00	10402.00	9300.00	11940.00	14024.00	25513.00	20310.00	21775.00	
CNAG_00140_1	380239	380809	571	utr5E	4457.00	2768.00	2005.00	1894.00	2112.00	1098.00	1912.00	1418.00	824.00	3957.00	2199.00	2557.00	
CNAG_00144_1	390321	390384	64	utr5E	36.00	37.00	41.00	23.00	15.00	25.00	79.00	71.00	60.00	76.00	57.00	74.00	
CNAG_00146_1	392622	392707	86	cdsE	0	0	0	71.00	73.00	82.00	1.00	1.00	2.00	22.00	17.00	18.00	
CNAG_00146_2	394179	394215	37	utr5E	80.00	51.00	52.00	61.00	63.00	54.00	59.00	56.00	51.00	28.00	17.00	19.00	
CNAG_00152_1	420001	420115	115	utr5E	683.00	693.00	612.00	679.00	659.00	486.00	462.00	347.00	351.00	596.00	365.00	428.00	
CNAG_00154_1	424148	424300	153	utr5E	499.00	648.00	452.00	649.00	511.00	469.00	222.00	163.00	170.00	346.00	107.00	184.00	
CNAG_00156_1	427730	427751	22	cdsE	0	0	0	3.00	3.00	5.00	1.00	2.00	1.00	16.00	8.00	7.00	
CNAG_00156_2	428923	428924	2	cdsE	0	0	0	3.00	1.00	2.00	0	0	0	13.00	4.00	9.00	
CNAG_00156_3	431395	431751	357	utr5E	226.00	208.00	129.00	83.00	85.00	78.00	66.00	60.00	53.00	23.00	23.00	18.00	
CNAG_00158_1	433136	433228	93	cdsE	0	0	0	2.00	2.00	5.00	6.00	5.00	6.00	13.00	9.00	9.00	
CNAG_00158_2	433554	433624	71	cdsE	0	0	0	0	0	0	6.00	5.00	5.00	8.00	8.00	6.00	
CNAG_00158_3	433860	433861	2	cdsE	1.00	1.00	1.00	0	0	0	0	0	0	8.00	3.00	4.00	
CNAG_00158_4	435467	435501	35	utr5E	42.00	20.00	14.00	21.00	26.00	9.00	40.00	20.00	14.00	15.00	4.00	16.00	
CNAG_00161_1	438942	439043	102	cdsE	28.00	43.00	31.00	14.00	12.00	15.00	20.00	17.00	19.00	8.00	8.00	10.00	
CNAG_00161_2	439137	439162	26	cdsE	3.00	2.00	2.00	0	0	0	11.00	5.00	8.00	4.00	7.00	5.00	
CNAG_00161_3	439294	439468	175	cdsE	85.00	130.00	140.00	77.00	151.00	55.00	45.00	50.00	39.00	208.00	270.00	139.00	
CNAG_00162_1	440763	441388	626	utr5E	4299.00	3625.00	1851.00	2732.00	2274.00	1975.00	3605.00	3110.00	2764.00	3232.00	2107.00	2757.00	
CNAG_00163_1	446348	446506	159	utr5E	230.00	246.00	178.00	169.00	184.00	137.00	286.00	200.00	215.00	98.00	70.00	101.00	
CNAG_00164_1	447099	447166	68	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	4.00	5.00	3.00	
CNAG_00164_2	448730	448740	11	utr5E	12.00	23.00	31.00	16.00	27.00	13.00	37.00	51.00	37.00	19.00	28.00	6.00	
CNAG_00164_3	448740	448740	1	utr5E	12.00	23.00	31.00	16.00	27.00	13.00	0	0	0	19.00	28.00	6.00	
CNAG_00164_4	448804	448891	88	utr5E	0	0	0	4.00	6.00	4.00	25.00	29.00	17.00	8.00	7.00	5.00	
CNAG_00165_1	451397	451501	105	utr5E	145.00	127.00	90.00	137.00	125.00	126.00	88.00	91.00	73.00	82.00	62.00	78.00	
CNAG_00166_1	454453	454480	28	cdsE	34.00	13.00	18.00	0	0	0	0	0	0	1.00	2.00	1.00	
CNAG_00166_2	454615	454679	65	utr5E	126.00	101.00	93.00	81.00	69.00	87.00	124.00	101.00	72.00	371.00	190.00	296.00	
CNAG_00174_1	472060	472381	322	cdsE	94.00	178.00	107.00	33.00	61.00	47.00	86.00	90.00	98.00	25.00	26.00	13.00	
CNAG_00174_2	474159	474222	64	cdsE	0	0	0	49.00	61.00	53.00	2.00	2.00	3.00	10.00	31.00	5.00	
CNAG_00174_3	474301	474303	3	utr5E	5.00	1.00	1.00	5.00	7.00	7.00	2.00	2.00	3.00	4.00	3.00	8.00	
CNAG_00176_1	478487	478656	170	utr5E	890.00	950.00	660.00	436.00	388.00	385.00	549.00	437.00	382.00	356.00	223.00	258.00	
CNAG_00178_1	481350	481454	105	cdsE	0	0	0	0	0	0	3.00	1.00	1.00	27.00	12.00	11.00	
CNAG_00178_2	482970	483072	103	cdsE	0	0	0	10.00	8.00	5.00	38.00	32.00	31.00	36.00	12.00	28.00	
CNAG_00178_3	484168	484168	1	cdsE	20.00	54.00	55.00	7.00	20.00	15.00	29.00	41.00	56.00	14.00	36.00	11.00	
CNAG_00178_4	485202	485296	95	utr5E	170.00	137.00	133.00	128.00	88.00	83.00	195.00	166.00	124.00	96.00	43.00	61.00	
CNAG_00181_1	493373	493461	89	cdsE	94.00	115.00	99.00	53.00	69.00	59.00	50.00	35.00	18.00	86.00	52.00	46.00	
CNAG_00181_2	493558	493621	64	cdsE	19.00	14.00	17.00	12.00	16.00	11.00	21.00	12.00	14.00	25.00	19.00	26.00	
CNAG_00181_3	493796	493840	45	utr5E	156.00	127.00	123.00	109.00	152.00	96.00	157.00	84.00	69.00	135.00	105.00	122.00	
CNAG_00183_1	497487	497668	182	cdsE	0	0	0	16.00	9.00	17.00	4.00	2.00	1.00	80.00	53.00	79.00	
CNAG_00183_2	498555	498699	145	cdsE	0	0	0	56.00	34.00	49.00	3.00	7.00	3.00	0	0	0	
CNAG_00183_3	499815	500002	188	utr5E	470.00	358.00	210.00	303.00	167.00	176.00	287.00	300.00	197.00	56.00	34.00	50.00	
CNAG_00186_1	506702	506880	179	utr5E	412.00	608.00	582.00	362.00	257.00	324.00	762.00	661.00	741.00	323.00	148.00	230.00	
CNAG_00188_1	510369	510469	101	utr5E	75.00	97.00	78.00	45.00	42.00	46.00	42.00	41.00	43.00	61.00	32.00	35.00	
CNAG_00193_1	526765	526876	112	utr5E	197.00	183.00	156.00	36.00	35.00	39.00	132.00	106.00	96.00	40.00	19.00	28.00	
CNAG_00195_1	529821	529823	3	cdsE	2.00	2.00	2.00	0	0	0	0	0	0	0	0	0	
CNAG_00195_2	530433	530500	68	utr5E	10.00	13.00	16.00	13.00	10.00	9.00	18.00	24.00	11.00	34.00	24.00	25.00	
CNAG_00232_1	612376	612566	191	utr5E	3058.00	4829.00	4840.00	4648.00	3055.00	3080.00	1578.00	1557.00	1650.00	1039.00	510.00	799.00	
CNAG_00235_1	615517	615637	121	cdsE	5.00	5.00	8.00	7.00	9.00	4.00	47.00	57.00	37.00	38.00	40.00	24.00	
CNAG_00235_2	617651	617817	167	utr5E	232.00	340.00	366.00	266.00	147.00	198.00	686.00	638.00	601.00	249.00	178.00	186.00	
CNAG_00239_1	628273	628273	1	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00239_2	628707	628707	1	cdsE	1.00	2.00	5.00	2.00	1.00	1.00	2.00	1.00	1.00	0	0	0	
CNAG_00239_3	628867	628947	81	cdsE	0	0	0	10.00	7.00	15.00	0	0	0	0	0	0	
CNAG_00239_4	629305	629305	1	cdsE	0	0	0	1.00	2.00	3.00	1.00	1.00	2.00	0	0	0	
CNAG_00239_5	629738	629780	43	cdsE	10.00	6.00	6.00	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00239_6	630009	630009	1	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00239_7	630070	630126	57	cdsI	3.00	2.00	1.00	13.00	9.00	13.00	1.00	1.00	1.00	3.00	3.00	1.00	
CNAG_00239_8	630126	630126	1	cdsI	3.00	2.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00239_9	630164	630192	29	cdsE	1.00	2.00	1.00	0	0	0	0	0	0	2.00	4.00	2.00	
CNAG_00239_10	630553	630597	45	utr5E	4.00	7.00	2.00	19.00	9.00	14.00	5.00	2.00	2.00	5.00	3.00	5.00	
CNAG_00243_1	640667	640809	143	cdsE	0	0	0	3.00	5.00	2.00	0	0	0	39.00	24.00	28.00	
CNAG_00243_2	640948	640948	1	cdsE	8.00	48.00	40.00	10.00	27.00	8.00	30.00	24.00	23.00	9.00	18.00	1.00	
CNAG_00243_3	641052	641137	86	utr5E	110.00	107.00	100.00	63.00	68.00	47.00	139.00	99.00	95.00	67.00	34.00	53.00	
