	merge_cluster																						
CNA00250_1	76895	77090	196	utr3E	41298.00	17146.00	12606.00	10329.00	7545.00	5664.00	10052.00	5615.00	9784.00	4379.00	4054.00	5863.00	6197.00	6257.00	5378.00	14978.00	12747.00	11144.00	
CNA00260_1	81772	81772	1	cdsE	0	0	0	0	0	0	0	0	0	2.00	3.00	1.00	4.00	2.00	3.00	0	0	0	
CNA00260_2	82889	82889	1	utr3E	3.00	5.00	1.00	0	0	0	0	0	0	0	0	0	13.00	20.00	33.00	10.00	7.00	8.00	
CNA00260_3	83147	83167	21	utr3E	49.00	52.00	41.00	137.00	85.00	70.00	6.00	1.00	4.00	2.00	2.00	4.00	92.00	72.00	49.00	17.00	11.00	14.00	
CNA00260_4	83372	83372	1	utr3E	7.00	2.00	2.00	14.00	15.00	9.00	0	0	0	6.00	3.00	10.00	23.00	21.00	15.00	10.00	3.00	5.00	
CNA00290_1	98029	98029	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	4.00	1.00	3.00	0	0	0	
CNA00290_2	98048	98048	1	cdsE	0	0	0	0	0	0	2.00	2.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00290_3	98970	99023	54	utr3E	37.00	29.00	25.00	37.00	11.00	13.00	3.00	1.00	1.00	15.00	15.00	16.00	6.00	5.00	1.00	21.00	6.00	15.00	
CNA00300_1	101803	101838	36	utr3E	62.00	59.00	33.00	85.00	46.00	36.00	9.00	16.00	10.00	23.00	28.00	26.00	34.00	26.00	35.00	23.00	22.00	18.00	
CNA00300_2	101920	101930	11	utr3E	723.00	574.00	410.00	586.00	418.00	241.00	172.00	55.00	81.00	878.00	831.00	1032.00	531.00	574.00	479.00	509.00	286.00	296.00	
CNA00330_1	107809	107810	2	cdsE	2.00	2.00	2.00	0	0	0	0	0	0	14.00	6.00	8.00	8.00	3.00	6.00	7.00	3.00	3.00	
CNA00330_2	110847	110847	1	cdsE	4.00	2.00	1.00	0	0	0	5.00	3.00	1.00	2.00	5.00	3.00	10.00	11.00	6.00	0	0	0	
CNA00330_3	110943	110971	29	utr3E	87.00	55.00	48.00	59.00	25.00	30.00	23.00	18.00	25.00	48.00	42.00	61.00	87.00	86.00	91.00	49.00	36.00	41.00	
CNA00350_1	114096	114232	137	utr3E	2906.00	1508.00	1052.00	836.00	559.00	435.00	384.00	208.00	314.00	635.00	588.00	830.00	1073.00	1078.00	915.00	913.00	698.00	648.00	
CNA00380_1	119630	119630	1	utr5I	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00380_2	119898	119898	1	utr5E	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00380_3	121103	121103	1	cdsI	0	0	0	0	0	0	4.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00410_1	128808	128822	15	utr5E	0	0	0	0	0	0	46.00	29.00	37.00	0	0	0	4.00	3.00	2.00	0	0	0	
CNA00410_2	129508	129535	28	utr3I	273.00	181.00	121.00	10.00	5.00	10.00	6.00	4.00	7.00	373.00	319.00	483.00	538.00	591.00	461.00	32.00	11.00	12.00	
CNA00420_1	130663	130711	49	utr3E	35.00	33.00	20.00	8.00	11.00	3.00	10.00	7.00	13.00	15.00	16.00	23.00	14.00	38.00	21.00	31.00	16.00	24.00	
CNA00450_1	133391	133392	2	utr3E	52.00	26.00	26.00	13.00	4.00	2.00	9.00	5.00	8.00	29.00	8.00	28.00	19.00	10.00	7.00	9.00	21.00	17.00	
CNA00450_2	133446	133448	3	utr3E	29.00	14.00	8.00	2.00	3.00	2.00	3.00	1.00	3.00	28.00	13.00	27.00	10.00	15.00	10.00	29.00	18.00	14.00	
CNA00460_1	134391	134391	1	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	5.00	6.00	5.00	0	0	0	
CNA00460_2	135708	135741	34	cdsE	1.00	1.00	1.00	0	0	0	0	0	0	1.00	2.00	2.00	10.00	17.00	5.00	5.00	8.00	4.00	
CNA00460_3	135958	135987	30	utr3E	65.00	52.00	42.00	16.00	12.00	6.00	7.00	5.00	5.00	0	0	0	2.00	7.00	6.00	0	0	0	
CNA00485_1	141985	142002	18	utr3E	21.00	9.00	3.00	29.00	18.00	19.00	7.00	2.00	10.00	15.00	12.00	23.00	15.00	22.00	13.00	12.00	9.00	9.00	
CNA00510_1	145688	145769	82	utr3E	16358.00	10721.00	7171.00	5546.00	3600.00	2603.00	1864.00	982.00	1510.00	3683.00	3257.00	4187.00	4816.00	4838.00	3859.00	11492.00	7968.00	8395.00	
CNA00540_1	154312	154314	3	utr3E	9.00	2.00	2.00	14.00	6.00	7.00	6.00	2.00	1.00	0	0	0	17.00	15.00	23.00	4.00	7.00	5.00	
CNA00540_2	154553	154561	9	utr3E	145.00	53.00	53.00	91.00	61.00	58.00	17.00	7.00	15.00	40.00	43.00	81.00	67.00	94.00	73.00	86.00	75.00	68.00	
CNA00560_1	157662	157685	24	utr3E	1225.00	712.00	498.00	988.00	658.00	461.00	238.00	119.00	157.00	273.00	246.00	354.00	589.00	540.00	434.00	639.00	434.00	433.00	
CNA00580_1	163730	163785	56	utr3E	2581.00	1401.00	1124.00	1307.00	1109.00	789.00	1106.00	584.00	899.00	587.00	511.00	664.00	818.00	836.00	658.00	871.00	565.00	478.00	
CNA00590_1	170616	170616	1	cdsI	0	0	0	4.00	3.00	1.00	2.00	1.00	2.00	5.00	3.00	4.00	0	0	0	0	0	0	
CNA00590_2	171152	171156	5	utr3E	2.00	1.00	1.00	21.00	6.00	5.00	1.00	1.00	1.00	8.00	6.00	6.00	11.00	6.00	6.00	2.00	1.00	1.00	
CNA00590_3	171259	171259	1	utr3E	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	2.00	1.00	2.00	0	0	0	
CNA00600_1	172421	172421	1	utr3E	0	0	0	9.00	4.00	5.00	0	0	0	1.00	1.00	1.00	4.00	4.00	4.00	1.00	2.00	1.00	
CNA00600_2	172499	172505	7	utr3E	1.00	2.00	2.00	18.00	15.00	15.00	0	0	0	0	0	0	11.00	10.00	11.00	0	0	0	
CNA00600_3	172615	172666	52	utr3E	5.00	4.00	4.00	8.00	10.00	5.00	4.00	8.00	2.00	0	0	0	6.00	9.00	10.00	1.00	1.00	1.00	
CNA00600_4	172720	172720	1	utr3E	0	0	0	0	0	0	3.00	2.00	1.00	0	0	0	0	0	0	0	0	0	
CNA00610_1	174323	174323	1	cdsE	39.00	16.00	17.00	25.00	8.00	12.00	38.00	23.00	26.00	12.00	12.00	11.00	20.00	20.00	9.00	4.00	3.00	3.00	
CNA00610_2	176158	176208	51	utr3E	99.00	79.00	37.00	40.00	24.00	17.00	12.00	2.00	6.00	36.00	32.00	39.00	36.00	39.00	54.00	35.00	24.00	36.00	
CNA00620_1	179723	179743	21	utr3E	224.00	205.00	131.00	261.00	175.00	128.00	106.00	72.00	100.00	184.00	212.00	245.00	216.00	235.00	191.00	238.00	184.00	148.00	
CNA00640_1	184005	184019	15	utr5E	3.00	1.00	5.00	0	0	0	21.00	7.00	10.00	8.00	13.00	6.00	3.00	8.00	5.00	0	0	0	
CNA00640_2	186641	186693	53	utr3E	82.00	56.00	51.00	60.00	47.00	30.00	6.00	7.00	4.00	196.00	142.00	266.00	179.00	235.00	175.00	28.00	16.00	15.00	
CNA00660_1	190310	190321	12	utr3E	49.00	35.00	21.00	45.00	35.00	23.00	10.00	7.00	13.00	50.00	51.00	73.00	68.00	68.00	57.00	42.00	28.00	30.00	
CNA00670_1	191825	191878	54	utr5I	2.00	2.00	2.00	0	0	0	15.00	5.00	5.00	0	0	0	1.00	1.00	2.00	0	0	0	
CNA00670_2	192494	192496	3	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	7.00	11.00	7.00	0	0	0	
CNA00670_3	192867	192867	1	cdsI	0	0	0	4.00	2.00	4.00	0	0	0	0	0	0	2.00	5.00	4.00	0	0	0	
CNA00670_4	194832	194834	3	utr3E	17.00	14.00	13.00	36.00	22.00	18.00	9.00	3.00	4.00	13.00	9.00	11.00	28.00	28.00	23.00	18.00	11.00	8.00	
CNA00680_1	199823	199832	10	utr3E	39.00	23.00	15.00	32.00	21.00	12.00	2.00	2.00	2.00	13.00	11.00	21.00	33.00	29.00	24.00	16.00	21.00	17.00	
CNA00680_2	199901	199913	13	utr3E	11.00	4.00	7.00	28.00	24.00	22.00	0	0	0	7.00	3.00	5.00	15.00	17.00	14.00	3.00	3.00	1.00	
CNA00690_1	202416	202488	73	utr5E	12.00	8.00	5.00	0	0	0	57.00	53.00	23.00	6.00	1.00	2.00	9.00	8.00	5.00	0	0	0	
CNA00690_2	203348	203348	1	cdsE	2.00	1.00	1.00	0	0	0	0	0	0	5.00	2.00	2.00	0	0	0	1.00	2.00	2.00	
CNA00690_3	203472	203559	88	utr3E	96.00	90.00	52.00	6.00	6.00	3.00	131.00	88.00	126.00	104.00	108.00	155.00	114.00	139.00	148.00	43.00	51.00	35.00	
CNA00720_1	211333	211334	2	utr3E	6.00	4.00	1.00	0	0	0	1.00	1.00	2.00	1.00	4.00	1.00	4.00	4.00	5.00	3.00	1.00	1.00	
CNA00720_2	211334	211334	1	utr3E	6.00	4.00	1.00	0	0	0	1.00	1.00	2.00	1.00	4.00	1.00	0	0	0	3.00	1.00	1.00	
CNA00740_1	218683	218729	47	utr3E	674.00	396.00	257.00	248.00	163.00	113.00	198.00	132.00	221.00	45.00	54.00	64.00	64.00	77.00	62.00	189.00	146.00	158.00	
CNA00760_1	222390	222411	22	utr3E	1451.00	762.00	518.00	847.00	611.00	442.00	126.00	71.00	127.00	179.00	133.00	220.00	183.00	167.00	110.00	667.00	533.00	529.00	
CNA00800_1	228909	228911	3	utr5E	0	0	0	0	0	0	16.00	6.00	8.00	3.00	1.00	2.00	0	0	0	0	0	0	
CNA00800_2	229090	229090	1	cdsE	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNA00800_3	230691	230691	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	2.00	6.00	
CNA00800_4	231221	231226	6	utr3E	5.00	6.00	1.00	5.00	1.00	4.00	1.00	2.00	2.00	7.00	5.00	14.00	6.00	22.00	7.00	27.00	20.00	14.00	
CNA00820_1	234090	234094	5	utr3E	43.00	22.00	10.00	0	0	0	0	0	0	178.00	124.00	207.00	133.00	150.00	108.00	0	0	0	
CNA00830_1	235609	235641	33	utr3E	3029.00	1284.00	894.00	1007.00	601.00	505.00	562.00	331.00	475.00	363.00	350.00	530.00	551.00	646.00	449.00	587.00	463.00	417.00	
CNA00850_1	240013	240021	9	cdsI	9.00	21.00	11.00	11.00	11.00	3.00	7.00	6.00	4.00	3.00	12.00	15.00	271.00	566.00	477.00	7.00	5.00	10.00	
CNA00850_2	240588	240719	132	utr3E	9735.00	7079.00	4401.00	2172.00	1209.00	924.00	345.00	169.00	150.00	438.00	325.00	526.00	5957.00	6714.00	6918.00	2351.00	1689.00	1751.00	
CNA00870_1	246682	246690	9	utr3E	8.00	7.00	8.00	10.00	7.00	2.00	24.00	11.00	22.00	6.00	6.00	11.00	6.00	6.00	8.00	4.00	1.00	2.00	
CNA00890_1	251770	251818	49	utr3E	82.00	69.00	50.00	121.00	47.00	46.00	113.00	73.00	102.00	34.00	27.00	36.00	75.00	64.00	57.00	25.00	16.00	14.00	
CNA00910_1	257132	257144	13	utr3E	2391.00	1961.00	1324.00	289.00	226.00	170.00	243.00	98.00	156.00	486.00	441.00	586.00	1395.00	1269.00	1007.00	1778.00	1009.00	1150.00	
CNA00940_1	261671	261700	30	utr3E	2041.00	1123.00	788.00	583.00	353.00	302.00	249.00	173.00	269.00	594.00	477.00	640.00	503.00	530.00	485.00	556.00	497.00	408.00	
CNA00950_1	265883	265889	7	cdsE	119.00	73.00	57.00	132.00	102.00	54.00	16.00	6.00	15.00	25.00	29.00	33.00	29.00	59.00	38.00	96.00	53.00	69.00	
CNA00950_2	266274	266329	56	utr3E	837.00	512.00	383.00	747.00	554.00	409.00	68.00	46.00	47.00	294.00	241.00	294.00	341.00	327.00	261.00	590.00	391.00	388.00	
CNA00980_1	275769	275777	9	cdsE	59.00	29.00	31.00	0	0	0	4.00	1.00	3.00	22.00	9.00	17.00	28.00	24.00	29.00	21.00	26.00	15.00	
CNA00980_2	275777	275777	1	cdsE	0	0	0	0	0	0	4.00	1.00	3.00	22.00	9.00	17.00	28.00	24.00	29.00	21.00	26.00	15.00	
CNA00980_3	276148	276171	24	utr3E	23.00	12.00	8.00	0	0	0	0	0	0	5.00	2.00	7.00	7.00	6.00	3.00	2.00	1.00	1.00	
CNA01000_1	278465	278607	143	utr3E	394.00	282.00	178.00	78.00	61.00	49.00	78.00	60.00	78.00	53.00	51.00	52.00	36.00	50.00	36.00	145.00	138.00	127.00	
CNA01020_1	283593	283633	41	utr3E	975.00	633.00	411.00	238.00	189.00	137.00	198.00	102.00	106.00	239.00	230.00	271.00	313.00	318.00	251.00	417.00	349.00	349.00	
CNA01040_1	287145	287163	19	utr3E	132.00	71.00	55.00	131.00	67.00	57.00	23.00	10.00	22.00	33.00	33.00	60.00	79.00	90.00	60.00	206.00	187.00	152.00	
CNA01060_1	291370	291481	112	utr3E	20474.00	11850.00	9246.00	6941.00	5188.00	3336.00	2805.00	1583.00	2303.00	1826.00	1427.00	2187.00	2297.00	2600.00	2049.00	6829.00	4173.00	4257.00	
CNA01090_1	296038	296046	9	utr3E	10.00	12.00	6.00	11.00	1.00	6.00	4.00	1.00	3.00	4.00	4.00	12.00	5.00	6.00	2.00	0	0	0	
CNA01140_1	305862	305869	8	utr5E	4.00	11.00	5.00	3.00	1.00	1.00	95.00	32.00	53.00	11.00	31.00	21.00	11.00	14.00	5.00	0	0	0	
CNA01140_2	308279	308289	11	utr3E	305.00	168.00	150.00	393.00	272.00	218.00	46.00	25.00	45.00	299.00	311.00	386.00	202.00	186.00	130.00	242.00	114.00	111.00	
CNA01150_1	309337	309376	40	utr5E	0	0	0	0	0	0	4.00	3.00	4.00	0	0	0	0	0	0	0	0	0	
CNA01150_2	312649	312653	5	cdsI	7.00	3.00	5.00	59.00	30.00	24.00	11.00	1.00	1.00	5.00	7.00	9.00	70.00	132.00	111.00	0	0	0	
CNA01150_3	313353	313399	47	utr3E	114.00	43.00	40.00	253.00	164.00	118.00	2.00	3.00	1.00	11.00	12.00	9.00	131.00	176.00	151.00	26.00	14.00	16.00	
CNA01150_4	313499	313499	1	utr3E	0	0	0	5.00	4.00	2.00	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNA01170_1	315039	315045	7	utr5E	0	0	0	3.00	2.00	2.00	12.00	5.00	10.00	7.00	6.00	7.00	10.00	7.00	3.00	0	0	0	
CNA01170_2	316931	316965	35	utr3E	311.00	219.00	129.00	257.00	169.00	107.00	25.00	12.00	14.00	30.00	32.00	50.00	112.00	108.00	83.00	224.00	171.00	190.00	
CNA01170_3	317045	317066	22	utr3E	37.00	22.00	10.00	34.00	22.00	14.00	10.00	3.00	4.00	7.00	8.00	21.00	13.00	7.00	16.00	27.00	15.00	18.00	
CNA01170_4	317066	317066	1	utr3E	0	0	0	0	0	0	10.00	3.00	4.00	7.00	8.00	21.00	0	0	0	0	0	0	
CNA01180_1	318030	318030	1	utr5E	4.00	2.00	3.00	0	0	0	4.00	2.00	1.00	0	0	0	2.00	1.00	1.00	0	0	0	
CNA01180_2	321152	321156	5	cdsI	6.00	1.00	7.00	18.00	5.00	5.00	1.00	2.00	2.00	34.00	53.00	66.00	61.00	69.00	53.00	0	0	0	
CNA01180_3	322492	322497	6	utr3E	117.00	74.00	63.00	40.00	21.00	21.00	11.00	3.00	6.00	170.00	137.00	246.00	154.00	218.00	168.00	48.00	24.00	19.00	
CNA01190_1	322951	322954	4	cdsI	2.00	2.00	1.00	0	0	0	8.00	7.00	7.00	2.00	1.00	1.00	6.00	6.00	6.00	0	0	0	
CNA01190_2	323731	323731	1	cdsI	6.00	2.00	1.00	0	0	0	3.00	3.00	2.00	0	0	0	0	0	0	0	0	0	
CNA01190_3	324681	324689	9	utr3E	45.00	11.00	13.00	75.00	42.00	34.00	36.00	12.00	29.00	54.00	39.00	82.00	58.00	77.00	62.00	37.00	36.00	32.00	
CNA01205_1	329309	329315	7	utr3E	101.00	58.00	34.00	80.00	53.00	33.00	41.00	31.00	48.00	26.00	38.00	47.00	67.00	52.00	56.00	24.00	16.00	27.00	
CNA01220_1	333413	333415	3	utr3E	56.00	29.00	23.00	22.00	16.00	9.00	15.00	14.00	23.00	35.00	35.00	43.00	44.00	33.00	36.00	29.00	32.00	13.00	
CNA01220_2	333509	333511	3	utr3E	24.00	16.00	9.00	7.00	1.00	1.00	0	0	0	13.00	15.00	11.00	13.00	21.00	13.00	6.00	2.00	6.00	
CNA01250_1	340819	340857	39	utr3E	718.00	368.00	237.00	213.00	125.00	95.00	87.00	39.00	65.00	120.00	125.00	150.00	176.00	186.00	143.00	281.00	210.00	241.00	
CNA01280_1	346057	346066	10	utr5E	3.00	4.00	3.00	2.00	1.00	1.00	37.00	20.00	30.00	13.00	13.00	10.00	14.00	16.00	9.00	0	0	0	
CNA01280_2	347626	347636	11	utr3E	152.00	83.00	69.00	143.00	31.00	29.00	78.00	33.00	54.00	95.00	85.00	130.00	393.00	494.00	338.00	177.00	118.00	117.00	
CNA01290_1	349152	349152	1	cdsE	4.00	1.00	3.00	0	0	0	0	0	0	0	0	0	1.00	4.00	1.00	3.00	3.00	1.00	
CNA01290_2	349938	349938	1	cdsE	10.00	2.00	1.00	3.00	3.00	2.00	3.00	1.00	1.00	1.00	1.00	1.00	0	0	0	0	0	0	
CNA01290_3	350222	350241	20	cdsE	8.00	6.00	9.00	21.00	10.00	11.00	0	0	0	8.00	7.00	14.00	5.00	6.00	3.00	20.00	16.00	18.00	
CNA01290_4	350955	350956	2	utr3E	18.00	14.00	11.00	18.00	19.00	10.00	16.00	8.00	9.00	4.00	5.00	4.00	6.00	15.00	8.00	12.00	9.00	11.00	
CNA01290_5	350956	350956	1	utr3E	0	0	0	0	0	0	0	0	0	4.00	5.00	4.00	0	0	0	0	0	0	
CNA01310_1	354146	354169	24	utr3E	828.00	547.00	396.00	518.00	329.00	232.00	84.00	46.00	72.00	207.00	149.00	206.00	273.00	308.00	224.00	525.00	349.00	449.00	
CNA01330_1	357517	357568	52	utr3E	174.00	85.00	60.00	63.00	55.00	42.00	27.00	18.00	10.00	48.00	37.00	36.00	81.00	84.00	64.00	63.00	48.00	39.00	
CNA01350_1	368145	368156	12	utr3E	3030.00	1991.00	1329.00	1815.00	1034.00	799.00	341.00	200.00	272.00	283.00	273.00	356.00	303.00	330.00	237.00	274.00	171.00	186.00	
CNA01360_1	374910	374915	6	utr3E	277.00	206.00	118.00	161.00	83.00	61.00	22.00	7.00	17.00	220.00	199.00	267.00	319.00	360.00	283.00	189.00	147.00	149.00	
CNA01370_1	376664	376817	154	utr3E	16925.00	9409.00	8219.00	5352.00	3975.00	3229.00	8533.00	4907.00	7108.00	585.00	538.00	785.00	716.00	804.00	659.00	2442.00	1668.00	1554.00	
CNA01380_1	377050	377101	52	utr5E	26.00	13.00	10.00	5.00	4.00	3.00	135.00	87.00	102.00	4.00	13.00	17.00	5.00	11.00	5.00	7.00	2.00	4.00	
CNA01380_2	380643	380698	56	utr3E	338.00	195.00	120.00	113.00	69.00	60.00	30.00	19.00	15.00	219.00	164.00	242.00	121.00	115.00	111.00	201.00	139.00	173.00	
CNA01390_1	380877	380907	31	utr5E	19.00	12.00	5.00	9.00	6.00	5.00	155.00	59.00	78.00	76.00	91.00	86.00	46.00	54.00	46.00	0	0	0	
CNA01390_2	381520	381526	7	cdsE	2.00	3.00	1.00	0	0	0	0	0	0	5.00	4.00	4.00	10.00	21.00	8.00	0	0	0	
CNA01390_3	381601	381603	3	cdsE	6.00	2.00	3.00	2.00	1.00	1.00	0	0	0	10.00	7.00	15.00	13.00	15.00	17.00	0	0	0	
CNA01390_4	381934	381937	4	cdsE	0	0	0	0	0	0	0	0	0	2.00	2.00	5.00	5.00	8.00	7.00	2.00	3.00	4.00	
CNA01390_5	382302	382302	1	cdsE	7.00	5.00	2.00	1.00	2.00	2.00	2.00	3.00	7.00	2.00	4.00	8.00	8.00	7.00	2.00	5.00	4.00	5.00	
CNA01390_6	382702	382708	7	utr3E	54.00	34.00	20.00	9.00	6.00	4.00	60.00	74.00	80.00	0	0	0	1.00	2.00	2.00	10.00	3.00	3.00	
CNA01410_1	385125	385125	1	cdsE	38.00	29.00	22.00	17.00	13.00	7.00	0	0	0	18.00	19.00	24.00	14.00	30.00	17.00	13.00	9.00	14.00	
CNA01410_2	385917	385923	7	cdsE	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	11.00	15.00	14.00	
CNA01410_3	386222	386222	1	cdsE	3.00	1.00	1.00	0	0	0	0	0	0	0	0	0	6.00	1.00	4.00	5.00	1.00	1.00	
CNA01410_4	386663	386665	3	utr3E	0	0	0	0	0	0	0	0	0	3.00	1.00	1.00	12.00	8.00	4.00	13.00	13.00	4.00	
CNA01440_1	390656	390656	1	cdsI	0	0	0	3.00	4.00	1.00	0	0	0	0	0	0	3.00	3.00	2.00	0	0	0	
CNA01440_2	390667	390667	1	cdsI	0	0	0	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNA01460_1	395972	395975	4	utr5E	2.00	2.00	1.00	2.00	7.00	3.00	9.00	6.00	9.00	0	0	0	0	0	0	0	0	0	
CNA01460_2	396590	396645	56	utr3E	531.00	337.00	232.00	420.00	253.00	195.00	86.00	42.00	43.00	270.00	238.00	305.00	451.00	469.00	410.00	277.00	212.00	175.00	
CNA01480_1	399619	399620	2	utr5E	0	0	0	0	0	0	1.00	1.00	1.00	3.00	6.00	3.00	7.00	3.00	2.00	2.00	2.00	4.00	
CNA01480_2	399713	399841	129	utr5E	47.00	24.00	20.00	6.00	7.00	7.00	9.00	9.00	14.00	0	0	0	6.00	6.00	3.00	5.00	3.00	5.00	
CNA01480_3	401533	401533	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	1.00	3.00	1.00	0	0	0	
CNA01480_4	401537	401537	1	utr3E	2.00	3.00	3.00	4.00	1.00	1.00	0	0	0	1.00	2.00	1.00	0	0	0	2.00	1.00	4.00	
