	merge_cluster																
CNAG_00014_3	48037	48040	4	cdsE	6.00	14.00	8.00	0	0	0	2.00	5.00	1.00	0	0	0	
CNAG_00014_4	48084	48084	1	cdsE	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	
CNAG_00015_1	50096	50227	132	utr5E	134.00	219.00	199.00	189.00	134.00	150.00	343.00	350.00	388.00	200.00	106.00	140.00	
CNAG_00016_1	53262	53383	122	utr5E	733.00	996.00	960.00	954.00	935.00	694.00	417.00	440.00	399.00	852.00	524.00	632.00	
CNAG_00018_1	59177	59256	80	utr5E	90.00	139.00	122.00	54.00	37.00	50.00	27.00	35.00	37.00	10.00	6.00	11.00	
CNAG_00018_2	59588	59597	10	cdsE	0	0	0	3.00	1.00	4.00	0	0	0	7.00	6.00	9.00	
CNAG_00018_3	60280	60356	77	cdsE	0	0	0	7.00	6.00	8.00	0	0	0	0	0	0	
CNAG_00020_1	62564	62587	24	utr5E	90.00	89.00	63.00	62.00	51.00	46.00	49.00	50.00	49.00	31.00	10.00	20.00	
CNAG_00020_2	63385	63392	8	cdsE	21.00	17.00	11.00	6.00	2.00	2.00	0	0	0	1.00	1.00	1.00	
CNAG_00020_3	63722	63810	89	cdsE	0	0	0	3.00	3.00	2.00	0	0	0	23.00	21.00	13.00	
CNAG_00020_4	64556	64558	3	cdsE	0	0	0	10.00	18.00	18.00	0	0	0	0	0	0	
CNAG_00020_5	65170	65227	58	cdsE	8.00	10.00	11.00	16.00	14.00	9.00	2.00	4.00	2.00	14.00	14.00	11.00	
CNAG_00020_6	65410	65444	35	cdsE	0	0	0	10.00	15.00	11.00	0	0	0	11.00	13.00	5.00	
CNAG_00020_7	66077	66191	115	cdsE	2.00	1.00	4.00	4.00	5.00	3.00	10.00	6.00	8.00	11.00	11.00	12.00	
CNAG_00024_1	73477	73709	233	utr5E	1089.00	1028.00	699.00	775.00	650.00	751.00	273.00	294.00	245.00	309.00	175.00	256.00	
CNAG_00024_2	76761	77275	515	utr3E	902.00	1015.00	727.00	1076.00	1062.00	1074.00	159.00	132.00	106.00	195.00	147.00	89.00	
CNAG_00027_1	83920	83995	76	utr5E	36.00	25.00	15.00	24.00	12.00	18.00	33.00	21.00	17.00	30.00	24.00	40.00	
CNAG_00029_1	90352	90443	92	utr5E	5.00	2.00	3.00	30.00	20.00	16.00	7.00	7.00	4.00	30.00	21.00	27.00	
CNAG_00029_2	90862	90862	1	cdsE	0	0	0	2.00	1.00	4.00	0	0	0	0	0	0	
CNAG_00030_1	92088	92098	11	utr5E	6.00	4.00	8.00	12.00	10.00	13.00	4.00	7.00	4.00	19.00	9.00	23.00	
CNAG_00030_2	92354	92354	1	cdsE	0	0	0	0	0	0	3.00	1.00	1.00	0	0	0	
CNAG_00032_1	96783	96783	1	utr5E	0	0	0	2.00	1.00	1.00	0	0	0	3.00	2.00	1.00	
CNAG_00032_2	97653	97653	1	cdsE	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNAG_00034_1	101048	101084	37	utr5E	1008.00	1361.00	1061.00	1322.00	818.00	1057.00	223.00	309.00	203.00	439.00	302.00	401.00	
CNAG_00035_1	103848	103896	49	utr5E	0	0	0	3.00	4.00	4.00	8.00	9.00	7.00	6.00	5.00	5.00	
CNAG_00035_2	104572	104575	4	utr5E	5.00	1.00	1.00	3.00	5.00	6.00	0	0	0	0	0	0	
CNAG_00035_3	104575	104575	1	utr5E	5.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00035_4	106314	106314	1	utr5E	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00035_5	106362	106362	1	utr5E	0	0	0	2.00	2.00	1.00	0	0	0	0	0	0	
CNAG_00035_6	108263	108263	1	utr3E	0	0	0	0	0	0	3.00	3.00	1.00	0	0	0	
CNAG_00035_7	108275	108275	1	utr3E	0	0	0	1.00	2.00	2.00	0	0	0	0	0	0	
CNAG_00035_8	108364	108364	1	utr3E	0	0	0	0	0	0	1.00	1.00	3.00	0	0	0	
CNAG_00039_1	118625	118625	1	utr5E	3.00	3.00	3.00	0	0	0	0	0	0	0	0	0	
CNAG_00039_2	118693	118700	8	utr5E	2.00	3.00	3.00	0	0	0	1.00	1.00	3.00	2.00	3.00	3.00	
CNAG_00039_3	118941	118964	24	utr5E	2.00	3.00	2.00	10.00	5.00	6.00	9.00	6.00	12.00	0	0	0	
CNAG_00039_4	122782	122782	1	cdsE	2.00	3.00	4.00	0	0	0	0	0	0	0	0	0	
CNAG_00039_5	122971	123042	72	cdsE	2.00	1.00	1.00	7.00	9.00	13.00	5.00	7.00	5.00	67.00	29.00	39.00	
CNAG_00039_6	123108	123233	126	cdsE	0	0	0	28.00	25.00	25.00	34.00	35.00	39.00	102.00	55.00	75.00	
CNAG_00040_1	123969	124069	101	utr5E	255.00	447.00	351.00	163.00	168.00	160.00	260.00	250.00	260.00	258.00	156.00	216.00	
CNAG_00044_1	132506	132581	76	utr5E	39.00	49.00	46.00	38.00	39.00	27.00	7.00	12.00	9.00	34.00	24.00	38.00	
CNAG_00044_2	135845	135982	138	cdsE	83.00	63.00	39.00	66.00	55.00	40.00	26.00	13.00	15.00	27.00	21.00	18.00	
CNAG_00046_1	138045	138096	52	utr5E	190.00	241.00	146.00	179.00	110.00	149.00	84.00	119.00	97.00	125.00	63.00	111.00	
CNAG_00046_2	139168	139226	59	cdsE	0	0	0	9.00	7.00	5.00	6.00	5.00	4.00	29.00	31.00	34.00	
CNAG_00046_3	139305	139452	148	cdsE	0	0	0	38.00	26.00	29.00	13.00	14.00	12.00	96.00	58.00	58.00	
CNAG_00049_1	144779	144780	2	utr5E	0	0	0	0	0	0	0	0	0	7.00	7.00	4.00	
CNAG_00049_2	145166	145189	24	utr5E	8.00	20.00	13.00	11.00	10.00	9.00	20.00	23.00	17.00	19.00	11.00	13.00	
CNAG_00049_3	145299	145323	25	utr5E	1.00	1.00	1.00	2.00	3.00	2.00	0	0	0	0	0	0	
CNAG_00052_1	154259	154405	147	utr5E	828.00	1389.00	924.00	2659.00	1939.00	2011.00	538.00	704.00	811.00	1036.00	568.00	929.00	
CNAG_00053_1	155131	155209	79	utr5E	60.00	93.00	61.00	19.00	16.00	21.00	33.00	46.00	26.00	4.00	1.00	1.00	
CNAG_00055_1	157469	157498	30	utr5E	40.00	27.00	19.00	11.00	15.00	16.00	7.00	7.00	10.00	2.00	1.00	1.00	
CNAG_00055_2	157561	157561	1	cdsE	0	0	0	0	0	0	1.00	4.00	1.00	0	0	0	
CNAG_00055_3	157748	157780	33	cdsE	1.00	1.00	1.00	0	0	0	0	0	0	20.00	13.00	29.00	
CNAG_00055_4	158021	158048	28	cdsE	0	0	0	4.00	4.00	3.00	5.00	7.00	3.00	3.00	3.00	2.00	
CNAG_00055_5	158336	158347	12	cdsE	0	0	0	5.00	4.00	7.00	0	0	0	0	0	0	
CNAG_00056_1	159053	159136	84	utr5E	65.00	55.00	42.00	43.00	32.00	26.00	28.00	25.00	25.00	15.00	12.00	15.00	
CNAG_00056_2	161121	161137	17	cdsE	0	0	0	0	0	0	0	0	0	6.00	3.00	4.00	
CNAG_00059_1	166366	166436	71	utr5E	76.00	107.00	179.00	47.00	40.00	31.00	122.00	80.00	82.00	41.00	29.00	39.00	
CNAG_00061_1	169202	169348	147	utr5E	12219.00	15730.00	10600.00	18018.00	13466.00	15136.00	6051.00	6219.00	5309.00	7512.00	3798.00	5461.00	
CNAG_00063_1	174393	174712	320	utr5E	585.00	749.00	645.00	304.00	326.00	268.00	156.00	143.00	131.00	104.00	59.00	68.00	
CNAG_00065_1	177310	177386	77	utr5E	3362.00	5555.00	4640.00	3978.00	2733.00	2915.00	1838.00	2075.00	2107.00	2066.00	1084.00	1581.00	
CNAG_00067_1	183977	184144	168	utr5E	1350.00	2225.00	2499.00	1589.00	1194.00	1320.00	1176.00	1158.00	1235.00	889.00	400.00	666.00	
CNAG_00068_1	188909	188932	24	utr5E	6.00	7.00	6.00	0	0	0	15.00	15.00	13.00	0	0	0	
CNAG_00068_2	189228	189228	1	utr5E	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00068_3	191224	191224	1	cdsE	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	
CNAG_00069_1	194211	194295	85	utr3E	18.00	22.00	32.00	41.00	38.00	39.00	19.00	32.00	24.00	94.00	71.00	76.00	
CNAG_00070_1	194452	194477	26	utr5E	5.00	3.00	4.00	23.00	15.00	25.00	28.00	28.00	33.00	30.00	21.00	29.00	
CNAG_00070_2	194598	194665	68	utr5E	1.00	1.00	1.00	6.00	2.00	3.00	21.00	28.00	22.00	14.00	14.00	20.00	
CNAG_00070_3	195032	195150	119	utr5E	2.00	1.00	2.00	4.00	6.00	3.00	3.00	4.00	3.00	20.00	25.00	16.00	
CNAG_00070_4	195627	195679	53	cdsE	57.00	39.00	24.00	31.00	41.00	23.00	48.00	22.00	26.00	36.00	19.00	14.00	
CNAG_00070_5	196536	196657	122	cdsE	0	0	0	21.00	17.00	19.00	3.00	4.00	4.00	14.00	24.00	10.00	
CNAG_00070_6	197102	197227	126	cdsE	0	0	0	0	0	0	13.00	16.00	13.00	46.00	20.00	28.00	
CNAG_00072_1	199162	199231	70	utr5E	55.00	71.00	49.00	33.00	23.00	24.00	39.00	24.00	27.00	39.00	30.00	29.00	
CNAG_00072_2	200333	200334	2	cdsE	0	0	0	7.00	6.00	5.00	0	0	0	0	0	0	
CNAG_00072_3	200577	200644	68	cdsE	1.00	3.00	1.00	12.00	6.00	9.00	1.00	2.00	2.00	2.00	1.00	1.00	
CNAG_00074_1	205575	205735	161	utr5E	438.00	630.00	447.00	688.00	572.00	592.00	433.00	383.00	404.00	271.00	146.00	210.00	
CNAG_00076_1	209489	209693	205	utr5E	632.00	839.00	636.00	629.00	514.00	495.00	262.00	285.00	277.00	179.00	105.00	138.00	
CNAG_00077_1	213378	213393	16	utr5E	5.00	3.00	4.00	2.00	1.00	2.00	0	0	0	0	0	0	
CNAG_00077_2	213526	213723	198	utr5E	8.00	9.00	7.00	41.00	48.00	47.00	111.00	108.00	98.00	236.00	138.00	178.00	
CNAG_00077_3	215111	215306	196	cdsE	3.00	4.00	8.00	23.00	20.00	19.00	11.00	9.00	11.00	2.00	2.00	1.00	
CNAG_00077_4	215437	215461	25	cdsE	0	0	0	20.00	16.00	18.00	2.00	2.00	2.00	2.00	4.00	2.00	
CNAG_00077_5	215544	215746	203	cdsE	6.00	33.00	29.00	22.00	22.00	25.00	45.00	44.00	38.00	23.00	49.00	12.00	
CNAG_00078_1	216840	216946	107	utr5E	97.00	69.00	52.00	26.00	14.00	31.00	29.00	42.00	37.00	8.00	12.00	9.00	
CNAG_00078_2	220985	220991	7	cdsE	1.00	3.00	1.00	0	0	0	0	0	0	4.00	2.00	2.00	
CNAG_00079_1	223170	223194	25	utr5E	21.00	38.00	20.00	11.00	10.00	6.00	2.00	4.00	3.00	5.00	2.00	3.00	
CNAG_00079_2	223245	223248	4	utr5E	6.00	2.00	3.00	0	0	0	0	0	0	0	0	0	
CNAG_00079_3	223699	223699	1	cdsE	0	0	0	2.00	3.00	3.00	0	0	0	0	0	0	
CNAG_00079_4	224023	224176	154	cdsE	0	0	0	4.00	9.00	3.00	4.00	2.00	3.00	32.00	24.00	25.00	
CNAG_00079_5	224253	224296	44	cdsE	0	0	0	0	0	0	6.00	5.00	4.00	5.00	4.00	4.00	
CNAG_00082_1	231116	231147	32	utr5E	43.00	34.00	27.00	33.00	29.00	25.00	23.00	27.00	20.00	29.00	19.00	36.00	
CNAG_00082_2	231806	231808	3	cdsE	0	0	0	7.00	3.00	4.00	0	0	0	7.00	3.00	2.00	
CNAG_00084_1	236425	236452	28	utr5E	118.00	147.00	116.00	79.00	64.00	60.00	42.00	47.00	46.00	32.00	15.00	30.00	
CNAG_00084_2	238162	238164	3	cdsE	0	0	0	6.00	6.00	3.00	0	0	0	5.00	7.00	5.00	
CNAG_00084_3	238549	238832	284	cdsE	168.00	172.00	175.00	103.00	69.00	108.00	25.00	31.00	29.00	2.00	2.00	2.00	
CNAG_00086_1	241021	241116	96	utr5E	363.00	321.00	284.00	82.00	62.00	70.00	180.00	192.00	107.00	98.00	95.00	77.00	
CNAG_00090_1	249798	249815	18	utr5E	14.00	29.00	22.00	22.00	12.00	8.00	6.00	10.00	9.00	1.00	4.00	1.00	
CNAG_00090_2	251341	251476	136	cdsE	0	0	0	13.00	10.00	15.00	12.00	15.00	11.00	38.00	26.00	18.00	
CNAG_00090_3	251586	251587	2	cdsE	0	0	0	0	0	0	0	0	0	9.00	3.00	5.00	
CNAG_00091_1	253374	253516	143	utr5E	2353.00	2061.00	894.00	2851.00	2076.00	1979.00	2008.00	1976.00	1795.00	3730.00	2706.00	3403.00	
CNAG_00091_2	254102	254722	621	cdsE	499.00	494.00	250.00	1691.00	1241.00	1512.00	557.00	605.00	547.00	716.00	686.00	593.00	
CNAG_00092_1	255992	256112	121	utr5E	504.00	903.00	864.00	694.00	468.00	602.00	496.00	516.00	619.00	189.00	116.00	152.00	
CNAG_00094_1	261140	261271	132	utr5E	36.00	30.00	25.00	52.00	32.00	34.00	19.00	14.00	12.00	17.00	16.00	11.00	
CNAG_00096_1	266886	266942	57	utr5E	33.00	28.00	38.00	23.00	11.00	20.00	30.00	18.00	18.00	11.00	7.00	12.00	
CNAG_00096_2	268401	268401	1	cdsE	0	0	0	5.00	4.00	7.00	0	0	0	0	0	0	
CNAG_00098_1	273738	273831	94	utr5E	80.00	113.00	83.00	63.00	48.00	56.00	37.00	61.00	58.00	182.00	88.00	113.00	
CNAG_00098_2	274467	274663	197	cdsE	0	0	0	2.00	3.00	2.00	6.00	5.00	6.00	33.00	23.00	22.00	
CNAG_00100_1	278199	278260	62	utr5E	501.00	437.00	352.00	305.00	248.00	245.00	131.00	96.00	96.00	67.00	32.00	39.00	
CNAG_00104_1	285686	285728	43	utr5E	95.00	95.00	59.00	73.00	63.00	67.00	58.00	30.00	41.00	36.00	18.00	39.00	
CNAG_00104_2	285827	285933	107	utr5E	49.00	76.00	75.00	25.00	49.00	38.00	52.00	65.00	64.00	16.00	14.00	3.00	
CNAG_00104_3	288901	289011	111	cdsE	0	0	0	22.00	26.00	28.00	3.00	4.00	3.00	18.00	18.00	11.00	
CNAG_00107_1	297359	297509	151	utr5E	485.00	343.00	176.00	276.00	217.00	189.00	105.00	97.00	87.00	96.00	42.00	59.00	
CNAG_00107_2	297565	297689	125	cdsE	14.00	133.00	69.00	26.00	68.00	17.00	17.00	36.00	44.00	8.00	18.00	3.00	
CNAG_00109_1	301088	301257	170	utr5E	802.00	990.00	679.00	401.00	321.00	315.00	591.00	586.00	520.00	223.00	138.00	152.00	
CNAG_00109_2	301502	301606	105	cdsE	1.00	1.00	2.00	1.00	2.00	1.00	0	0	0	26.00	23.00	22.00	
CNAG_00111_1	304287	304362	76	utr5E	140.00	183.00	151.00	137.00	125.00	110.00	76.00	91.00	79.00	206.00	130.00	174.00	
CNAG_00111_2	306341	306434	94	cdsE	0	0	0	13.00	23.00	23.00	0	0	0	0	0	0	
CNAG_00116_1	314946	315412	467	utr5E	3751.00	5124.00	3995.00	5213.00	3693.00	3990.00	666.00	921.00	827.00	915.00	485.00	720.00	
CNAG_00119_1	319864	319939	76	utr5E	80.00	111.00	100.00	54.00	68.00	71.00	85.00	87.00	82.00	141.00	104.00	126.00	
CNAG_00124_1	330491	330570	80	utr5E	30.00	32.00	28.00	5.00	9.00	5.00	22.00	10.00	15.00	0	0	0	
CNAG_00124_2	332301	332573	273	cdsE	123.00	130.00	137.00	15.00	15.00	11.00	83.00	88.00	74.00	70.00	65.00	49.00	
CNAG_00125_1	333908	333947	40	utr5E	49.00	55.00	88.00	73.00	68.00	64.00	74.00	53.00	95.00	128.00	47.00	91.00	
CNAG_00128_1	345635	345692	58	utr5E	45.00	66.00	38.00	10.00	7.00	8.00	1.00	2.00	4.00	12.00	10.00	16.00	
CNAG_00128_2	345792	345792	1	utr5E	0	0	0	1.00	3.00	2.00	0	0	0	1.00	1.00	1.00	
CNAG_00128_3	347888	347984	97	cdsE	0	0	0	2.00	6.00	2.00	2.00	1.00	1.00	21.00	7.00	11.00	
CNAG_00128_4	347985	347985	1	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00128_5	348130	348139	10	cdsE	11.00	17.00	14.00	2.00	3.00	3.00	2.00	4.00	4.00	0	0	0	
CNAG_00128_6	348249	348249	1	cdsE	0	0	0	5.00	1.00	2.00	0	0	0	0	0	0	
CNAG_00128_7	349370	349388	19	cdsE	6.00	14.00	6.00	0	0	0	0	0	0	0	0	0	
CNAG_00129_1	350622	350651	30	utr5E	0	0	0	1.00	2.00	1.00	5.00	3.00	3.00	0	0	0	
CNAG_00129_2	350659	350661	3	utr5E	3.00	2.00	2.00	0	0	0	0	0	0	0	0	0	
CNAG_00129_3	351028	351028	1	cdsE	0	0	0	3.00	2.00	1.00	0	0	0	0	0	0	
CNAG_00129_4	351114	351114	1	cdsE	0	0	0	1.00	1.00	3.00	0	0	0	0	0	0	
CNAG_00129_5	351383	351383	1	cdsE	0	0	0	0	0	0	0	0	0	4.00	3.00	1.00	
CNAG_00129_6	352238	352311	74	cdsE	0	0	0	3.00	3.00	3.00	8.00	10.00	12.00	35.00	14.00	12.00	
CNAG_00130_1	353591	354025	435	utr5E	2181.00	1714.00	677.00	3991.00	3195.00	2911.00	2248.00	2414.00	2984.00	2922.00	1825.00	2281.00	
CNAG_00131_1	358370	358385	16	utr5E	7.00	12.00	3.00	7.00	5.00	8.00	0	0	0	3.00	6.00	5.00	
CNAG_00133_1	363874	364066	193	utr5E	50.00	62.00	59.00	76.00	62.00	71.00	43.00	37.00	37.00	17.00	22.00	19.00	
CNAG_00135_1	367878	367970	93	utr5E	1756.00	2924.00	3280.00	1984.00	1679.00	1729.00	1314.00	1208.00	1396.00	722.00	336.00	556.00	
CNAG_00138_1	374489	374741	253	utr5E	1266.00	1698.00	1460.00	722.00	588.00	671.00	477.00	465.00	531.00	208.00	119.00	160.00	
CNAG_00141_1	381036	381069	34	utr5E	15.00	16.00	14.00	19.00	10.00	6.00	55.00	52.00	50.00	73.00	66.00	70.00	
CNAG_00141_2	381322	381337	16	cdsE	0	0	0	4.00	3.00	2.00	1.00	3.00	6.00	12.00	9.00	10.00	
CNAG_00141_3	382344	382344	1	cdsE	4.00	14.00	14.00	3.00	6.00	2.00	17.00	34.00	30.00	16.00	34.00	6.00	
CNAG_00142_1	383157	383240	84	utr5E	577.00	794.00	956.00	528.00	561.00	400.00	535.00	613.00	540.00	302.00	174.00	211.00	
CNAG_00143_1	386255	386306	52	utr5E	68.00	114.00	88.00	47.00	50.00	56.00	41.00	49.00	31.00	42.00	27.00	37.00	
CNAG_00143_2	387383	387584	202	cdsE	111.00	86.00	79.00	32.00	21.00	31.00	3.00	4.00	4.00	9.00	4.00	5.00	
CNAG_00143_3	388142	388178	37	cdsE	0	0	0	16.00	16.00	14.00	1.00	3.00	2.00	0	0	0	
CNAG_00143_4	388787	388977	191	cdsE	0	0	0	23.00	23.00	19.00	12.00	7.00	12.00	89.00	63.00	56.00	
CNAG_00145_1	390778	390805	28	utr5E	28.00	35.00	37.00	17.00	14.00	17.00	19.00	25.00	22.00	5.00	4.00	9.00	
CNAG_00147_1	399449	399537	89	cdsE	22.00	17.00	11.00	4.00	4.00	10.00	1.00	2.00	1.00	0	0	0	
CNAG_00147_2	401887	401979	93	cdsE	13.00	15.00	8.00	61.00	46.00	63.00	9.00	12.00	8.00	25.00	12.00	12.00	
CNAG_00147_3	402089	402130	42	cdsE	2.00	1.00	1.00	17.00	12.00	16.00	10.00	7.00	10.00	2.00	1.00	1.00	
CNAG_00147_4	402386	402475	90	cdsE	0	0	0	6.00	4.00	1.00	1.00	1.00	1.00	12.00	8.00	13.00	
CNAG_00147_5	402640	402705	66	cdsE	14.00	24.00	18.00	15.00	5.00	7.00	23.00	30.00	27.00	25.00	16.00	16.00	
CNAG_00148_1	403261	403457	197	cdsE	116.00	109.00	82.00	35.00	27.00	31.00	27.00	39.00	31.00	19.00	11.00	14.00	
CNAG_00148_2	408113	408300	188	cdsE	91.00	104.00	75.00	94.00	73.00	86.00	17.00	14.00	18.00	28.00	9.00	14.00	
CNAG_00148_3	409247	409427	181	cdsE	1.00	1.00	1.00	5.00	6.00	4.00	10.00	7.00	7.00	34.00	21.00	26.00	
CNAG_00149_1	410451	410564	114	utr5E	398.00	560.00	623.00	236.00	164.00	242.00	28.00	45.00	24.00	34.00	20.00	25.00	
CNAG_00149_2	410758	410778	21	cdsI	2.00	3.00	2.00	5.00	1.00	1.00	5.00	5.00	5.00	0	0	0	
CNAG_00149_3	410913	410931	19	cdsI	0	0	0	0	0	0	5.00	6.00	7.00	0	0	0	
CNAG_00150_1	411819	411972	154	utr5E	28.00	25.00	18.00	23.00	25.00	16.00	34.00	35.00	32.00	6.00	4.00	4.00	
CNAG_00150_2	412402	412462	61	cdsE	0	0	0	45.00	43.00	46.00	16.00	16.00	15.00	13.00	8.00	8.00	
CNAG_00150_3	413820	414051	232	cdsE	38.00	38.00	25.00	36.00	34.00	40.00	37.00	27.00	31.00	0	0	0	
CNAG_00150_4	414122	414122	1	cdsE	1.00	1.00	1.00	1.00	1.00	1.00	2.00	1.00	4.00	2.00	3.00	2.00	
CNAG_00151_1	415454	415585	132	utr5E	521.00	420.00	345.00	255.00	289.00	166.00	153.00	143.00	94.00	209.00	170.00	149.00	
CNAG_00153_1	420153	420162	10	utr5E	55.00	87.00	74.00	93.00	68.00	80.00	55.00	48.00	53.00	55.00	41.00	37.00	
CNAG_00157_1	432344	432486	143	utr5E	102.00	190.00	173.00	222.00	162.00	165.00	122.00	136.00	112.00	206.00	109.00	155.00	
CNAG_00159_1	435616	435641	26	utr5E	0	0	0	0	0	0	11.00	6.00	7.00	0	0	0	
CNAG_00159_2	435705	435749	45	utr5E	41.00	76.00	47.00	46.00	38.00	34.00	28.00	23.00	22.00	49.00	33.00	29.00	
CNAG_00167_1	454815	454897	83	utr5E	81.00	94.00	67.00	41.00	43.00	51.00	54.00	63.00	57.00	20.00	15.00	11.00	
CNAG_00167_2	456431	456440	10	cdsE	0	0	0	0	0	0	0	0	0	3.00	3.00	2.00	
CNAG_00171_1	462942	463001	60	utr5E	147.00	202.00	183.00	96.00	59.00	64.00	129.00	171.00	156.00	82.00	39.00	70.00	
CNAG_00172_1	464904	464933	30	utr5E	16.00	18.00	18.00	3.00	1.00	2.00	3.00	5.00	3.00	0	0	0	
CNAG_00172_2	466600	466600	1	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	
CNAG_00172_3	466927	466966	40	cdsE	3.00	6.00	4.00	0	0	0	0	0	0	0	0	0	
CNAG_00173_1	468889	468915	27	utr5E	15.00	25.00	16.00	3.00	5.00	6.00	23.00	20.00	18.00	8.00	2.00	4.00	
CNAG_00173_2	469487	469487	1	cdsI	0	0	0	3.00	3.00	2.00	0	0	0	0	0	0	
CNAG_00173_3	469627	469740	114	cdsE	0	0	0	0	0	0	6.00	4.00	10.00	9.00	6.00	5.00	
CNAG_00173_4	469960	470046	87	cdsE	0	0	0	1.00	1.00	3.00	4.00	3.00	3.00	24.00	14.00	14.00	
CNAG_00173_5	470109	470147	39	cdsE	0	0	0	0	0	0	0	0	0	4.00	4.00	3.00	
CNAG_00175_1	474448	474483	36	utr5E	0	0	0	8.00	8.00	6.00	1.00	1.00	1.00	3.00	1.00	1.00	
CNAG_00175_2	474680	474680	1	cdsE	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00175_3	475345	475434	90	cdsE	0	0	0	5.00	6.00	5.00	0	0	0	0	0	0	
CNAG_00175_4	475491	475547	57	cdsE	0	0	0	8.00	5.00	6.00	0	0	0	0	0	0	
CNAG_00175_5	475788	475979	192	cdsE	0	0	0	10.00	12.00	16.00	1.00	2.00	5.00	32.00	21.00	22.00	
CNAG_00177_1	478837	478837	1	utr5E	0	0	0	0	0	0	2.00	2.00	4.00	0	0	0	
CNAG_00177_2	478867	478867	1	utr5E	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	
CNAG_00179_1	488588	488598	11	cdsE	0	0	0	0	0	0	7.00	6.00	4.00	0	0	0	
CNAG_00179_2	488793	488793	1	cdsE	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	
CNAG_00179_3	488874	488874	1	cdsE	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	
CNAG_00179_4	488937	488937	1	cdsE	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_00179_5	488971	488971	1	cdsE	0	0	0	0	0	0	1.00	2.00	2.00	0	0	0	
CNAG_00179_6	489033	489066	34	cdsE	0	0	0	0	0	0	3.00	2.00	2.00	0	0	0	
CNAG_00179_7	490017	490017	1	utr3E	0	0	0	2.00	5.00	3.00	0	0	0	4.00	1.00	2.00	
CNAG_00180_1	490442	490557	116	utr5E	189.00	226.00	169.00	326.00	227.00	244.00	162.00	174.00	169.00	434.00	324.00	363.00	
CNAG_00182_1	493965	494014	50	utr5E	135.00	197.00	163.00	115.00	105.00	124.00	145.00	174.00	146.00	223.00	126.00	206.00	
CNAG_00184_1	502208	502254	47	utr5E	71.00	64.00	50.00	93.00	61.00	49.00	92.00	101.00	66.00	79.00	38.00	60.00	
