name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c	WT_Fluco30_a	WT_Fluco30_b	WT_Fluco30_c	WT_Gal30_a	WT_Gal30_b	WT_Gal30_c	WT_SDS30_a	WT_SDS30_b	WT_SDS30_c	WT_RPMI30_a	WT_RPMI30_b	WT_RPMI30_c	WT_RPMImacro30_a	WT_RPMImacro30_b	WT_RPMImacro30_c
CNAG_00070_3	196790	196798	9	+	cdsE	11	9	11	5	1	2	2	2	1	2	1	3	6	5	7	0	0	0	2	2	7	6	7	11	6	7	3
CNAG_00070_4	197540	197540	1	+	utr3E	5	3	2	7	3	2	4	1	1	5	3	4	0	0	0	0	0	0	1	1	1	0	0	0	2	2	1
CNAG_00070_5	197633	197633	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00072_1	201170	201194	25	+	utr3E	317	445	220	131	41	74	39	71	48	102	112	109	64	110	152	37	62	24	72	56	165	34	33	33	56	49	30
CNAG_00074_1	208283	208329	47	+	utr3E	129	173	110	81	22	55	51	67	41	34	31	47	65	67	75	31	49	18	48	40	86	39	15	43	41	59	36
CNAG_00076_1	211966	211986	21	+	utr3E	0	0	0	44	13	23	9	16	12	31	30	23	19	27	34	8	16	4	17	12	36	10	5	13	22	37	24
CNAG_00077_1	214021	214021	1	+	cdsI	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00077_2	216448	216453	6	+	utr3E	16	10	6	34	12	16	22	38	28	5	6	2	6	7	18	21	35	20	5	9	34	16	17	23	25	43	12
CNAG_00077_3	216571	216571	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00078_1	221383	221383	1	+	utr3E	1	8	3	4	1	2	0	0	0	0	0	0	2	4	4	0	0	0	1	1	3	0	0	0	0	0	0
CNAG_00078_2	221431	221440	10	+	utr3E	5	6	2	7	2	4	0	0	0	0	0	0	3	4	3	1	2	3	1	1	7	0	0	0	6	14	4
CNAG_00078_3	221440	221440	1	+	utr3E	5	6	2	7	2	4	0	0	0	0	0	0	3	4	3	1	2	3	1	1	7	0	0	0	0	0	0
CNAG_00079_1	224548	224601	54	+	utr3E	31	33	22	4	2	4	0	0	0	9	12	6	5	5	5	1	5	1	4	5	6	9	4	9	8	11	6
CNAG_00082_1	232333	232384	52	+	utr3E	56	96	52	23	9	13	7	9	4	20	16	28	6	7	14	2	11	2	11	11	21	6	3	5	3	10	11
CNAG_00084_1	239730	239787	58	+	utr3I	0	0	0	410	112	266	56	93	54	77	92	79	159	157	241	48	70	33	141	123	330	59	54	63	103	231	120
CNAG_00086_1	243351	243444	94	+	utr3E	326	446	343	241	58	151	31	32	31	97	101	78	56	75	124	19	43	16	77	52	166	29	16	50	62	86	43
CNAG_00090_1	250049	250049	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	3	1	2	6	3	4	5	4	5
CNAG_00090_2	251700	251740	41	+	utr3E	47	127	60	40	7	21	9	6	2	19	18	13	14	24	19	4	6	2	6	5	16	9	5	18	6	9	8
CNAG_00090_3	251834	251849	16	+	utr3E	43	51	43	10	2	2	0	0	0	5	11	12	5	14	7	1	1	1	5	6	14	4	3	5	0	0	0
CNAG_00090_4	251979	251991	13	+	utr3E	32	44	33	0	0	0	1	1	2	7	7	11	1	1	1	1	1	1	0	0	0	0	0	0	4	4	10
CNAG_00091_1	254131	254133	3	+	cdsE	80	104	55	13	2	6	14	10	10	5	4	4	54	44	50	26	9	10	24	10	43	132	89	108	69	103	88
CNAG_00091_2	255395	255426	32	+	utr3E	784	914	348	236	58	102	426	542	446	1870	2049	1564	242	310	278	358	473	272	162	89	279	1205	1056	1327	448	1012	670
CNAG_00092_1	256688	256704	17	+	utr3E	286	461	326	102	34	63	39	38	21	50	77	55	49	67	101	11	14	6	87	54	148	13	15	24	53	104	43
CNAG_00092_2	256806	256810	5	+	utr3E	20	71	55	19	8	21	3	6	4	21	16	19	12	10	14	1	2	2	13	6	21	13	14	11	33	33	24
CNAG_00092_3	256881	256884	4	+	utr3E	192	293	233	98	26	58	34	27	27	135	133	123	24	36	45	22	34	19	45	30	96	8	15	20	43	46	21
CNAG_00094_1	261684	261684	1	+	cdsE	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4
CNAG_00094_2	262647	262714	68	+	utr3E	45	56	26	16	9	13	3	5	4	16	11	8	10	13	16	0	0	0	1	1	3	2	1	3	94	118	104
CNAG_00096_1	268679	268685	7	+	utr3I	58	76	46	57	14	24	16	16	13	19	27	21	21	30	34	11	25	15	29	13	57	39	24	59	42	99	58
CNAG_00098_1	274347	274354	8	+	cdsE	10	17	8	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0
CNAG_00098_2	275069	275117	49	+	utr3E	23	46	28	281	71	167	152	197	149	31	37	37	226	221	307	162	213	105	141	139	356	33	44	46	248	379	210
CNAG_00100_1	280439	280449	11	+	utr3E	1769	2757	1791	1506	411	938	95	140	107	287	313	270	468	504	779	115	166	67	344	299	754	134	118	127	78	87	96
CNAG_00104_1	285801	285813	13	+	utr5E	157	203	121	177	41	92	30	29	30	140	148	139	12	22	25	21	27	13	33	16	60	67	64	97	48	72	54
CNAG_00104_2	289241	289248	8	+	cdsE	72	112	99	91	24	55	14	31	17	56	63	53	13	15	22	21	14	10	21	14	36	69	43	89	48	93	48
CNAG_00104_3	289627	289654	28	+	utr3E	375	558	384	139	46	86	49	42	28	103	117	126	42	54	68	19	24	13	44	34	115	133	94	153	68	116	71
CNAG_00107_1	298269	298308	40	+	cdsE	17	26	7	2	2	3	0	0	0	2	3	8	3	1	1	0	0	0	0	0	0	2	2	8	0	0	0
CNAG_00107_2	298941	299045	105	+	cdsE	56	83	48	51	8	26	17	22	19	24	25	19	27	19	27	15	32	7	14	10	40	41	25	40	10	20	15
CNAG_00107_3	299366	299388	23	+	utr3E	32	34	20	0	0	0	0	0	0	1	4	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00109_1	301677	301751	75	+	utr3E	258	317	241	121	31	107	27	23	20	100	94	91	52	45	77	14	25	18	38	35	92	10	6	13	41	39	27
CNAG_00111_1	306789	306829	41	+	utr3E	297	419	269	117	27	90	48	30	27	154	151	121	62	67	100	25	42	23	59	56	144	13	8	19	46	79	36
CNAG_00116_1	316038	316100	63	+	utr3E	7305	10538	7369	6707	1684	4439	566	812	565	697	897	782	2873	3195	4662	481	657	306	2822	2073	5694	640	511	1122	2243	3914	1855
CNAG_00119_1	320660	320668	9	+	utr3E	4	10	4	8	6	5	1	3	2	4	1	4	5	4	4	3	5	1	6	1	2	0	0	0	6	5	2
CNAG_00124_1	332518	332521	4	+	cdsE	9	18	9	0	0	0	0	0	0	7	8	8	1	2	2	0	0	0	2	1	2	0	0	0	10	12	9
CNAG_00124_2	332910	332919	10	+	utr3E	39	58	41	66	22	37	24	43	24	20	24	12	31	30	69	20	40	21	34	31	74	10	10	23	64	67	72
CNAG_00125_1	338056	338061	6	+	utr3E	26	15	17	4	1	3	1	1	2	7	13	12	1	2	1	1	1	1	0	0	0	0	0	0	1	4	4
CNAG_00128_1	349936	349975	40	+	utr3E	4	7	5	13	3	8	0	0	0	1	1	1	4	3	6	1	2	2	4	2	10	0	0	0	4	9	4
CNAG_00128_2	349975	349975	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	4	3	6	1	2	2	4	2	10	0	0	0	4	9	4
CNAG_00129_1	352502	352542	41	+	utr3E	7	7	4	0	0	0	0	0	0	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00129_2	352604	352604	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	0	0	0	1	1	2	4	1	2	0	0	0
CNAG_00129_3	352648	352667	20	+	utr3E	7	12	4	3	5	9	4	7	5	4	4	2	4	5	9	8	2	2	6	7	14	31	19	13	18	31	7
CNAG_00129_4	352667	352667	1	+	utr3E	7	12	4	3	5	9	4	7	5	4	4	2	4	5	9	8	2	2	6	7	14	31	19	13	0	0	0
CNAG_00130_1	357977	358012	36	+	utr3E	52	70	13	2	2	11	2	1	1	50	71	67	6	7	5	0	0	0	0	0	0	2	8	5	5	2	5
CNAG_00130_2	358115	358130	16	+	utr3E	0	0	0	66	11	32	49	82	80	85	124	100	33	35	48	25	43	20	29	28	83	131	93	119	52	73	68
CNAG_00130_3	358249	358255	7	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00131_1	358375	358375	1	+	utr5E	2	4	2	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	3	1	1	1	4	2
CNAG_00131_2	360302	360316	15	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	7	5	6
CNAG_00131_3	360377	360385	9	+	utr3E	16	28	12	0	0	0	0	0	0	0	0	0	0	0	0	2	6	1	2	1	1	16	7	3	15	49	17
CNAG_00133_1	364826	364838	13	+	utr3E	21	28	24	4	1	3	0	0	0	7	6	7	6	5	10	0	0	0	2	4	7	0	0	0	1	5	8
CNAG_00133_2	364994	365018	25	+	utr3E	4	4	2	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3
CNAG_00135_1	368492	368496	5	+	utr3E	38	91	62	1	1	1	6	4	6	23	26	20	9	7	32	5	4	3	9	4	18	1	1	1	12	22	10
CNAG_00138_1	375892	375895	4	+	utr3E	96	133	101	20	5	11	7	7	6	17	24	26	10	17	20	1	2	1	4	7	21	14	9	12	4	11	13
CNAG_00141_1	382602	382649	48	+	utr3E	18	23	8	11	3	8	20	39	22	33	62	40	12	6	19	24	30	23	10	9	11	118	103	80	155	304	134
CNAG_00142_1	383624	383627	4	+	cdsE	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00142_2	384112	384112	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00142_3	384227	384227	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
CNAG_00142_4	385250	385259	10	+	cdsE	1	5	5	11	5	8	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	7	3	5	3	4	1
CNAG_00142_5	385982	385995	14	+	utr3E	15	21	16	4	4	3	3	1	2	0	0	0	1	2	1	0	0	0	4	1	6	4	2	5	2	2	4
CNAG_00142_6	385995	385995	1	+	utr3E	0	0	0	4	4	3	3	1	2	0	0	0	1	2	1	0	0	0	4	1	6	4	2	5	2	2	4
CNAG_00142_7	386051	386099	49	+	utr3E	16	19	33	11	1	3	0	0	0	6	5	7	1	2	4	0	0	0	5	3	8	2	5	9	1	6	5
CNAG_00142_8	386099	386099	1	+	utr3E	0	0	0	11	1	3	0	0	0	6	5	7	1	2	4	0	0	0	5	3	8	2	5	9	1	6	5
CNAG_00143_1	389199	389209	11	+	utr3E	707	999	640	296	62	174	42	55	46	251	289	249	100	123	152	26	34	20	81	51	228	12	10	12	42	103	64
CNAG_00145_1	392312	392334	23	+	utr3E	47	84	65	31	7	20	4	4	3	26	29	22	21	16	22	4	3	1	13	5	10	0	0	0	6	11	6
CNAG_00147_1	402831	402842	12	+	utr3E	443	666	325	744	212	529	315	346	280	147	192	158	386	475	630	299	378	190	369	340	958	241	223	321	332	528	278
CNAG_00148_1	409491	409491	1	+	utr3E	4	5	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00148_2	409582	409602	21	+	utr3E	165	199	91	83	19	53	28	43	32	76	80	85	28	30	36	22	43	15	36	33	71	26	22	29	35	44	29
CNAG_00149_1	411332	411379	48	+	utr3E	1139	1979	1992	1314	398	732	70	105	72	82	84	78	381	491	836	61	86	38	897	772	2144	266	207	454	570	510	348
CNAG_00150_1	415354	415413	60	+	utr3E	278	369	199	86	19	58	55	78	52	68	81	91	28	40	58	67	60	30	55	37	113	4	3	3	171	215	83
CNAG_00151_1	416116	416127	12	+	cdsE	17	29	24	0	0	0	0	0	0	7	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00151_2	416255	416255	1	+	cdsE	22	23	14	7	3	1	0	0	0	8	7	10	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00151_3	416826	416826	1	+	cdsE	7	13	2	7	1	5	3	3	2	3	4	2	3	1	5	0	0	0	2	5	3	0	0	0	3	1	2
CNAG_00151_4	418348	418356	9	+	utr3E	38	62	29	13	6	10	0	0	0	15	18	17	7	5	10	1	5	2	8	7	20	0	0	0	1	6	1
CNAG_00153_1	420653	420653	1	+	cdsE	10	16	15	2	1	2	0	0	0	0	0	0	1	1	2	0	0	0	2	1	2	0	0	0	2	1	3
CNAG_00157_1	432981	433013	33	+	utr3E	655	1014	733	453	107	248	114	145	79	360	430	401	124	173	201	92	121	36	118	102	295	116	82	113	79	134	150
CNAG_00159_1	435993	435996	4	+	cdsE	3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00159_2	436102	436106	5	+	cdsE	0	0	0	5	1	1	0	0	0	0	0	0	4	6	16	1	2	1	4	2	11	0	0	0	0	0	0
CNAG_00159_3	436171	436171	1	+	utr3E	4	3	9	0	0	0	0	0	0	2	1	4	2	6	5	0	0	0	1	1	6	0	0	0	0	0	0
CNAG_00159_4	436225	436225	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00160_1	437918	437918	1	+	utr3E	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_00167_1	457159	457163	5	+	utr3E	70	100	59	21	14	20	22	12	13	30	37	39	24	20	20	5	11	3	14	18	45	34	14	14	28	51	11
CNAG_00171_1	464289	464289	1	+	cdsE	1	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00171_2	464430	464430	1	+	cdsE	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00171_3	464713	464713	1	+	utr3E	3	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00172_1	468697	468697	1	+	utr3E	2	1	3	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00172_2	468751	468754	4	+	utr3E	49	61	63	34	6	14	3	2	3	3	2	1	8	15	13	0	0	0	12	10	28	0	0	0	7	8	10
CNAG_00173_1	470239	470291	53	+	utr3E	8	17	14	9	5	7	1	4	1	4	4	8	4	4	10	3	2	1	0	0	0	1	1	2	3	9	6
CNAG_00173_2	470346	470347	2	+	utr3E	10	14	8	0	0	0	0	0	0	4	1	2	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0
CNAG_00175_1	476021	476021	1	+	cdsE	0	0	0	0	0	0	0	0	0	2	2	5	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00175_2	476027	476027	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
CNAG_00175_3	476123	476147	25	+	utr3E	14	20	12	3	1	5	4	1	1	11	11	10	1	1	5	0	0	0	3	1	4	0	0	0	3	6	3
CNAG_00175_4	476147	476147	1	+	utr3E	0	0	0	3	1	5	4	1	1	0	0	0	1	1	5	0	0	0	3	1	4	0	0	0	0	0	0
CNAG_00175_5	476209	476209	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00177_1	481093	481097	5	+	utr3E	0	0	0	14	7	14	2	6	4	0	0	0	5	2	6	7	3	2	6	5	16	0	0	0	5	3	3
CNAG_00179_1	487951	487951	1	+	utr5I	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_00179_2	488058	488058	1	+	utr5E	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
