name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c	upf1_Expo30_a	upf1_Expo30_b	upf1_Expo30_c	pab2_Expo30_a	pab2_Expo30_b	pab2_Expo30_c
CNA00200_4	63488	63491	4	+	utr3E	0	0	0	2	3	4	8	3	8	2	1	1	0	0	0	0	0	0
CNA00220_1	68263	68287	25	+	utr3E	0	0	0	5	3	2	6	5	15	1	2	1	2	2	1	10	4	5
CNA00220_2	68287	68287	1	+	utr3E	0	0	0	5	3	2	6	5	15	1	2	1	2	2	1	0	0	0
CNA00220_3	68289	68289	1	+	utr3E	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNA00225_1	69380	69380	1	+	cdsE	0	0	0	0	0	0	2	3	1	5	1	2	0	0	0	0	0	0
CNA00225_2	69868	69868	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CNA00240_1	74335	74340	6	+	utr3E	3	1	2	0	0	0	5	4	9	12	10	10	21	18	15	0	0	0
CNA00250_1	76895	77090	196	+	utr3E	41298	17146	12606	10329	7545	5664	4379	4054	5863	6197	6257	5378	14978	12747	11144	10052	5615	9784
CNA00260_1	81772	81772	1	+	cdsE	0	0	0	0	0	0	2	3	1	4	2	3	0	0	0	0	0	0
CNA00260_2	82889	82889	1	+	utr3E	3	5	1	0	0	0	0	0	0	13	20	33	10	7	8	0	0	0
CNA00260_3	83147	83167	21	+	utr3E	49	52	41	137	85	70	2	2	4	92	72	49	17	11	14	6	1	4
CNA00260_4	83372	83372	1	+	utr3E	7	2	2	14	15	9	6	3	10	23	21	15	10	3	5	0	0	0
CNA00290_1	98029	98029	1	+	cdsE	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0
CNA00290_2	98048	98048	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
CNA00290_3	98970	99023	54	+	utr3E	37	29	25	37	11	13	15	15	16	6	5	1	21	6	15	3	1	1
CNA00300_1	101803	101838	36	+	utr3E	62	59	33	85	46	36	23	28	26	34	26	35	23	22	18	9	16	10
CNA00300_2	101920	101930	11	+	utr3E	723	574	410	586	418	241	878	831	1032	531	574	479	509	286	296	172	55	81
CNA00330_1	107809	107810	2	+	cdsE	2	2	2	0	0	0	14	6	8	8	3	6	7	3	3	0	0	0
CNA00330_2	110847	110847	1	+	cdsE	4	2	1	0	0	0	2	5	3	10	11	6	0	0	0	5	3	1
CNA00330_3	110943	110971	29	+	utr3E	87	55	48	59	25	30	48	42	61	87	86	91	49	36	41	23	18	25
CNA00350_1	114096	114232	137	+	utr3E	2906	1508	1052	836	559	435	635	588	830	1073	1078	915	913	698	648	384	208	314
CNA00380_1	119630	119630	1	+	utr5I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CNA00380_2	119898	119898	1	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CNA00380_3	121103	121103	1	+	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2
CNA00410_1	128808	128822	15	+	utr5E	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0	46	29	37
CNA00410_2	129508	129535	28	+	utr3I	273	181	121	10	5	10	373	319	483	538	591	461	32	11	12	6	4	7
CNA00420_1	130663	130711	49	+	utr3E	35	33	20	8	11	3	15	16	23	14	38	21	31	16	24	10	7	13
CNA00450_1	133391	133392	2	+	utr3E	52	26	26	13	4	2	29	8	28	19	10	7	9	21	17	9	5	8
CNA00450_2	133446	133448	3	+	utr3E	29	14	8	2	3	2	28	13	27	10	15	10	29	18	14	3	1	3
CNA00460_1	134391	134391	1	+	cdsI	0	0	0	0	0	0	0	0	0	5	6	5	0	0	0	0	0	0
CNA00460_2	135708	135741	34	+	cdsE	1	1	1	0	0	0	1	2	2	10	17	5	5	8	4	0	0	0
CNA00460_3	135958	135987	30	+	utr3E	65	52	42	16	12	6	0	0	0	2	7	6	0	0	0	7	5	5
CNA00485_1	141985	142002	18	+	utr3E	21	9	3	29	18	19	15	12	23	15	22	13	12	9	9	7	2	10
CNA00510_1	145688	145769	82	+	utr3E	16358	10721	7171	5546	3600	2603	3683	3257	4187	4816	4838	3859	11492	7968	8395	1864	982	1510
CNA00540_1	154312	154314	3	+	utr3E	9	2	2	14	6	7	0	0	0	17	15	23	4	7	5	6	2	1
CNA00540_2	154553	154561	9	+	utr3E	145	53	53	91	61	58	40	43	81	67	94	73	86	75	68	17	7	15
CNA00560_1	157662	157685	24	+	utr3E	1225	712	498	988	658	461	273	246	354	589	540	434	639	434	433	238	119	157
CNA00580_1	163730	163785	56	+	utr3E	2581	1401	1124	1307	1109	789	587	511	664	818	836	658	871	565	478	1106	584	899
CNA00590_1	170616	170616	1	+	cdsI	0	0	0	4	3	1	5	3	4	0	0	0	0	0	0	2	1	2
CNA00590_2	171152	171156	5	+	utr3E	2	1	1	21	6	5	8	6	6	11	6	6	2	1	1	1	1	1
CNA00590_3	171259	171259	1	+	utr3E	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	1	1	1
CNA00600_1	172421	172421	1	+	utr3E	0	0	0	9	4	5	1	1	1	4	4	4	1	2	1	0	0	0
CNA00600_2	172499	172505	7	+	utr3E	1	2	2	18	15	15	0	0	0	11	10	11	0	0	0	0	0	0
CNA00600_3	172615	172666	52	+	utr3E	5	4	4	8	10	5	0	0	0	6	9	10	1	1	1	4	8	2
CNA00600_4	172720	172720	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1
CNA00610_1	174323	174323	1	+	cdsE	39	16	17	25	8	12	12	12	11	20	20	9	4	3	3	38	23	26
CNA00610_2	176158	176208	51	+	utr3E	99	79	37	40	24	17	36	32	39	36	39	54	35	24	36	12	2	6
CNA00620_1	179723	179743	21	+	utr3E	224	205	131	261	175	128	184	212	245	216	235	191	238	184	148	106	72	100
CNA00640_1	184005	184019	15	+	utr5E	3	1	5	0	0	0	8	13	6	3	8	5	0	0	0	21	7	10
CNA00640_2	186641	186693	53	+	utr3E	82	56	51	60	47	30	196	142	266	179	235	175	28	16	15	6	7	4
CNA00660_1	190310	190321	12	+	utr3E	49	35	21	45	35	23	50	51	73	68	68	57	42	28	30	10	7	13
CNA00670_1	191825	191878	54	+	utr5I	2	2	2	0	0	0	0	0	0	1	1	2	0	0	0	15	5	5
CNA00670_2	192494	192496	3	+	cdsI	0	0	0	0	0	0	0	0	0	7	11	7	0	0	0	0	0	0
CNA00670_3	192867	192867	1	+	cdsI	0	0	0	4	2	4	0	0	0	2	5	4	0	0	0	0	0	0
CNA00670_4	194832	194834	3	+	utr3E	17	14	13	36	22	18	13	9	11	28	28	23	18	11	8	9	3	4
CNA00680_1	199823	199832	10	+	utr3E	39	23	15	32	21	12	13	11	21	33	29	24	16	21	17	2	2	2
CNA00680_2	199901	199913	13	+	utr3E	11	4	7	28	24	22	7	3	5	15	17	14	3	3	1	0	0	0
CNA00690_1	202416	202488	73	+	utr5E	12	8	5	0	0	0	6	1	2	9	8	5	0	0	0	57	53	23
CNA00690_2	203348	203348	1	+	cdsE	2	1	1	0	0	0	5	2	2	0	0	0	1	2	2	0	0	0
CNA00690_3	203472	203559	88	+	utr3E	96	90	52	6	6	3	104	108	155	114	139	148	43	51	35	131	88	126
CNA00720_1	211333	211334	2	+	utr3E	6	4	1	0	0	0	1	4	1	4	4	5	3	1	1	1	1	2
CNA00720_2	211334	211334	1	+	utr3E	6	4	1	0	0	0	1	4	1	0	0	0	3	1	1	1	1	2
CNA00740_1	218683	218729	47	+	utr3E	674	396	257	248	163	113	45	54	64	64	77	62	189	146	158	198	132	221
CNA00760_1	222390	222411	22	+	utr3E	1451	762	518	847	611	442	179	133	220	183	167	110	667	533	529	126	71	127
CNA00800_1	228909	228911	3	+	utr5E	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	16	6	8
CNA00800_2	229090	229090	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
CNA00800_3	230691	230691	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	3	2	6	0	0	0
CNA00800_4	231221	231226	6	+	utr3E	5	6	1	5	1	4	7	5	14	6	22	7	27	20	14	1	2	2
CNA00820_1	234090	234094	5	+	utr3E	43	22	10	0	0	0	178	124	207	133	150	108	0	0	0	0	0	0
CNA00830_1	235609	235641	33	+	utr3E	3029	1284	894	1007	601	505	363	350	530	551	646	449	587	463	417	562	331	475
CNA00850_1	240013	240021	9	+	cdsI	9	21	11	11	11	3	3	12	15	271	566	477	7	5	10	7	6	4
CNA00850_2	240588	240719	132	+	utr3E	9735	7079	4401	2172	1209	924	438	325	526	5957	6714	6918	2351	1689	1751	345	169	150
CNA00870_1	246682	246690	9	+	utr3E	8	7	8	10	7	2	6	6	11	6	6	8	4	1	2	24	11	22
CNA00890_1	251770	251818	49	+	utr3E	82	69	50	121	47	46	34	27	36	75	64	57	25	16	14	113	73	102
CNA00910_1	257132	257144	13	+	utr3E	2391	1961	1324	289	226	170	486	441	586	1395	1269	1007	1778	1009	1150	243	98	156
CNA00940_1	261671	261700	30	+	utr3E	2041	1123	788	583	353	302	594	477	640	503	530	485	556	497	408	249	173	269
CNA00950_1	265883	265889	7	+	cdsE	119	73	57	132	102	54	25	29	33	29	59	38	96	53	69	16	6	15
CNA00950_2	266274	266329	56	+	utr3E	837	512	383	747	554	409	294	241	294	341	327	261	590	391	388	68	46	47
CNA00980_1	275769	275777	9	+	cdsE	59	29	31	0	0	0	22	9	17	28	24	29	21	26	15	4	1	3
CNA00980_2	275777	275777	1	+	cdsE	0	0	0	0	0	0	22	9	17	28	24	29	21	26	15	4	1	3
CNA00980_3	276148	276171	24	+	utr3E	23	12	8	0	0	0	5	2	7	7	6	3	2	1	1	0	0	0
CNA01000_1	278465	278607	143	+	utr3E	394	282	178	78	61	49	53	51	52	36	50	36	145	138	127	78	60	78
CNA01020_1	283593	283633	41	+	utr3E	975	633	411	238	189	137	239	230	271	313	318	251	417	349	349	198	102	106
CNA01040_1	287145	287163	19	+	utr3E	132	71	55	131	67	57	33	33	60	79	90	60	206	187	152	23	10	22
CNA01060_1	291370	291481	112	+	utr3E	20474	11850	9246	6941	5188	3336	1826	1427	2187	2297	2600	2049	6829	4173	4257	2805	1583	2303
CNA01090_1	296038	296046	9	+	utr3E	10	12	6	11	1	6	4	4	12	5	6	2	0	0	0	4	1	3
CNA01140_1	305862	305869	8	+	utr5E	4	11	5	3	1	1	11	31	21	11	14	5	0	0	0	95	32	53
CNA01140_2	308279	308289	11	+	utr3E	305	168	150	393	272	218	299	311	386	202	186	130	242	114	111	46	25	45
CNA01150_1	309337	309376	40	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4
CNA01150_2	312649	312653	5	+	cdsI	7	3	5	59	30	24	5	7	9	70	132	111	0	0	0	11	1	1
CNA01150_3	313353	313399	47	+	utr3E	114	43	40	253	164	118	11	12	9	131	176	151	26	14	16	2	3	1
CNA01150_4	313499	313499	1	+	utr3E	0	0	0	5	4	2	0	0	0	0	0	0	0	0	0	1	1	2
CNA01170_1	315039	315045	7	+	utr5E	0	0	0	3	2	2	7	6	7	10	7	3	0	0	0	12	5	10
CNA01170_2	316931	316965	35	+	utr3E	311	219	129	257	169	107	30	32	50	112	108	83	224	171	190	25	12	14
CNA01170_3	317045	317066	22	+	utr3E	37	22	10	34	22	14	7	8	21	13	7	16	27	15	18	10	3	4
CNA01170_4	317066	317066	1	+	utr3E	0	0	0	0	0	0	7	8	21	0	0	0	0	0	0	10	3	4
CNA01180_1	318030	318030	1	+	utr5E	4	2	3	0	0	0	0	0	0	2	1	1	0	0	0	4	2	1
CNA01180_2	321152	321156	5	+	cdsI	6	1	7	18	5	5	34	53	66	61	69	53	0	0	0	1	2	2
CNA01180_3	322492	322497	6	+	utr3E	117	74	63	40	21	21	170	137	246	154	218	168	48	24	19	11	3	6
CNA01190_1	322951	322954	4	+	cdsI	2	2	1	0	0	0	2	1	1	6	6	6	0	0	0	8	7	7
CNA01190_2	323731	323731	1	+	cdsI	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2
CNA01190_3	324681	324689	9	+	utr3E	45	11	13	75	42	34	54	39	82	58	77	62	37	36	32	36	12	29
CNA01205_1	329309	329315	7	+	utr3E	101	58	34	80	53	33	26	38	47	67	52	56	24	16	27	41	31	48
CNA01220_1	333413	333415	3	+	utr3E	56	29	23	22	16	9	35	35	43	44	33	36	29	32	13	15	14	23
CNA01220_2	333509	333511	3	+	utr3E	24	16	9	7	1	1	13	15	11	13	21	13	6	2	6	0	0	0
CNA01250_1	340819	340857	39	+	utr3E	718	368	237	213	125	95	120	125	150	176	186	143	281	210	241	87	39	65
CNA01280_1	346057	346066	10	+	utr5E	3	4	3	2	1	1	13	13	10	14	16	9	0	0	0	37	20	30
CNA01280_2	347626	347636	11	+	utr3E	152	83	69	143	31	29	95	85	130	393	494	338	177	118	117	78	33	54
CNA01290_1	349152	349152	1	+	cdsE	4	1	3	0	0	0	0	0	0	1	4	1	3	3	1	0	0	0
CNA01290_2	349938	349938	1	+	cdsE	10	2	1	3	3	2	1	1	1	0	0	0	0	0	0	3	1	1
CNA01290_3	350222	350241	20	+	cdsE	8	6	9	21	10	11	8	7	14	5	6	3	20	16	18	0	0	0
CNA01290_4	350955	350956	2	+	utr3E	18	14	11	18	19	10	4	5	4	6	15	8	12	9	11	16	8	9
CNA01290_5	350956	350956	1	+	utr3E	0	0	0	0	0	0	4	5	4	0	0	0	0	0	0	0	0	0
CNA01310_1	354146	354169	24	+	utr3E	828	547	396	518	329	232	207	149	206	273	308	224	525	349	449	84	46	72
CNA01330_1	357517	357568	52	+	utr3E	174	85	60	63	55	42	48	37	36	81	84	64	63	48	39	27	18	10
CNA01350_1	368145	368156	12	+	utr3E	3030	1991	1329	1815	1034	799	283	273	356	303	330	237	274	171	186	341	200	272
CNA01360_1	374910	374915	6	+	utr3E	277	206	118	161	83	61	220	199	267	319	360	283	189	147	149	22	7	17
CNA01370_1	376664	376817	154	+	utr3E	16925	9409	8219	5352	3975	3229	585	538	785	716	804	659	2442	1668	1554	8533	4907	7108
CNA01380_1	377050	377101	52	+	utr5E	26	13	10	5	4	3	4	13	17	5	11	5	7	2	4	135	87	102
CNA01380_2	380643	380698	56	+	utr3E	338	195	120	113	69	60	219	164	242	121	115	111	201	139	173	30	19	15
CNA01390_1	380877	380907	31	+	utr5E	19	12	5	9	6	5	76	91	86	46	54	46	0	0	0	155	59	78
CNA01390_2	381520	381526	7	+	cdsE	2	3	1	0	0	0	5	4	4	10	21	8	0	0	0	0	0	0
CNA01390_3	381601	381603	3	+	cdsE	6	2	3	2	1	1	10	7	15	13	15	17	0	0	0	0	0	0
CNA01390_4	381934	381937	4	+	cdsE	0	0	0	0	0	0	2	2	5	5	8	7	2	3	4	0	0	0
CNA01390_5	382302	382302	1	+	cdsE	7	5	2	1	2	2	2	4	8	8	7	2	5	4	5	2	3	7
CNA01390_6	382702	382708	7	+	utr3E	54	34	20	9	6	4	0	0	0	1	2	2	10	3	3	60	74	80
CNA01410_1	385125	385125	1	+	cdsE	38	29	22	17	13	7	18	19	24	14	30	17	13	9	14	0	0	0
CNA01410_2	385917	385923	7	+	cdsE	1	1	1	0	0	0	0	0	0	0	0	0	11	15	14	0	0	0
CNA01410_3	386222	386222	1	+	cdsE	3	1	1	0	0	0	0	0	0	6	1	4	5	1	1	0	0	0
CNA01410_4	386663	386665	3	+	utr3E	0	0	0	0	0	0	3	1	1	12	8	4	13	13	4	0	0	0
CNA01440_1	390656	390656	1	+	cdsI	0	0	0	3	4	1	0	0	0	3	3	2	0	0	0	0	0	0
CNA01440_2	390667	390667	1	+	cdsI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
CNA01460_1	395972	395975	4	+	utr5E	2	2	1	2	7	3	0	0	0	0	0	0	0	0	0	9	6	9
CNA01460_2	396590	396645	56	+	utr3E	531	337	232	420	253	195	270	238	305	451	469	410	277	212	175	86	42	43
CNA01480_1	399619	399620	2	+	utr5E	0	0	0	0	0	0	3	6	3	7	3	2	2	2	4	1	1	1
CNA01480_2	399713	399841	129	+	utr5E	47	24	20	6	7	7	0	0	0	6	6	3	5	3	5	9	9	14
CNA01480_3	401533	401533	1	+	utr3E	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0
CNA01480_4	401537	401537	1	+	utr3E	2	3	3	4	1	1	1	2	1	0	0	0	2	1	4	0	0	0
CNA01550_1	418744	418745	2	+	cdsI	9	3	3	4	3	3	0	0	0	3	2	2	0	0	0	0	0	0
CNA01550_2	420725	420732	8	+	utr3E	144	104	72	33	29	13	66	55	86	63	65	55	50	33	32	21	9	13
CNA01590_1	428042	428042	1	+	utr3E	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0
CNA01590_2	428057	428063	7	+	utr3E	18	10	9	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0
CNA01590_3	428163	428168	6	+	cdsI	10	9	4	0	0	0	10	8	8	8	5	7	6	4	3	0	0	0
CNA01600_1	432319	432322	4	+	utr3E	37	32	29	113	79	48	40	44	44	58	32	29	33	22	27	16	18	18
CNA01610_1	434013	434073	61	+	utr3E	6	4	3	10	9	11	7	14	17	18	25	11	5	10	5	9	4	2
CNA01630_1	440005	440043	39	+	utr3E	19	28	19	52	33	13	39	28	32	54	50	49	23	16	15	0	0	0
CNA01650_1	443739	443739	1	+	cdsI	3	2	2	0	0	0	0	0	0	4	1	6	5	2	1	0	0	0
CNA01650_2	444777	444777	1	+	utr3E	4	1	1	19	12	5	0	0	0	10	11	7	3	1	1	0	0	0
CNA01680_1	451538	451538	1	+	utr5I	9	1	3	0	0	0	0	0	0	1	2	1	6	1	4	0	0	0
CNA01680_2	451602	451602	1	+	utr5E	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNA01680_3	451628	451636	9	+	utr5E	0	0	0	6	1	3	0	0	0	0	0	0	0	0	0	119	72	86
CNA01680_4	453663	453669	7	+	utr3E	0	0	0	51	27	14	0	0	0	22	12	11	5	3	1	3	3	6
CNA01690_1	455256	455298	43	+	utr3E	23	28	31	29	29	18	48	47	66	71	68	50	20	13	18	9	6	3
CNA01710_1	457909	457912	4	+	cdsI	11	9	7	1	3	1	2	2	3	9	4	5	5	4	3	0	0	0
CNA01710_2	458657	458658	2	+	utr3E	34	35	22	35	9	12	25	25	40	55	55	48	30	23	35	5	3	6
CNA01730_1	467541	467546	6	+	cdsE	47	16	15	52	23	25	9	10	11	34	30	22	19	18	15	3	1	1
CNA01730_2	468919	468993	75	+	utr3E	305	171	135	277	159	116	73	72	76	94	105	71	86	40	52	167	110	129
CNA01740_1	470563	470645	83	+	utr3E	554	313	259	239	143	118	284	236	335	343	342	262	349	311	288	88	42	77
CNA01760_1	471761	471767	7	+	cdsE	9	8	10	8	5	4	10	6	8	21	31	16	14	9	16	0	0	0
CNA01760_2	473677	473678	2	+	utr3E	65	39	32	26	20	16	17	14	21	35	32	30	27	13	17	10	7	6
CNA01780_1	475075	475075	1	+	cdsE	0	0	0	0	0	0	5	3	3	0	0	0	0	0	0	0	0	0
CNA01780_2	476312	476315	4	+	cdsE	1	1	1	0	0	0	7	4	3	5	5	4	0	0	0	0	0	0
CNA01780_3	476384	476392	9	+	utr3E	40	18	20	30	15	14	15	21	20	41	50	47	28	30	36	15	15	16
CNA01780_4	476460	476461	2	+	utr3E	5	7	3	11	7	7	1	1	1	0	0	0	0	0	0	0	0	0
CNA01790_1	479160	479293	134	+	utr3E	512	313	241	228	108	89	134	137	184	190	222	213	79	39	51	102	47	83
CNA01800_1	481245	481252	8	+	utr3E	0	0	0	10	5	5	1	1	2	4	7	3	4	3	4	0	0	0
CNA01800_2	481299	481299	1	+	utr3E	2	1	1	2	1	3	0	0	0	2	3	1	0	0	0	6	6	5
CNA01800_3	481381	481381	1	+	utr3E	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CNA01800_4	481634	481634	1	+	utr3E	0	0	0	3	4	2	0	0	0	1	1	1	0	0	0	0	0	0
CNA01810_1	486481	486498	18	+	utr3E	0	0	0	17	16	6	2	4	6	8	10	12	3	5	6	1	6	1
CNA01810_2	486498	486498	1	+	utr3E	0	0	0	0	0	0	2	4	6	0	0	0	3	5	6	1	6	1
CNA01810_3	486589	486645	57	+	utr3E	14	6	5	27	26	14	7	4	4	24	17	31	13	12	13	0	0	0
CNA01810_4	486698	486713	16	+	utr3E	0	0	0	11	7	6	0	0	0	0	0	0	0	0	0	0	0	0
CNA01830_1	494744	494788	45	+	utr3E	855	396	301	689	412	402	347	321	458	353	393	264	437	266	262	118	61	116
CNA01870_1	506293	506316	24	+	utr3E	231	158	85	151	76	61	106	97	135	165	181	160	110	82	102	26	12	35
CNA01890_1	510354	510354	1	+	utr3E	12	8	6	0	0	0	11	6	4	3	11	5	5	8	5	3	3	2
CNA01920_1	519449	519457	9	+	utr3E	149	125	59	38	27	26	82	42	83	76	72	79	75	65	56	20	16	15
CNA01930_1	520237	520249	13	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4
CNA01930_2	520490	520490	1	+	utr5E	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4
CNA01930_3	520577	520580	4	+	cdsE	11	10	2	5	1	2	7	4	6	4	8	6	3	1	3	21	8	20
CNA01930_4	522713	522721	9	+	utr3E	6	4	3	12	13	4	19	3	11	9	16	16	8	15	5	4	1	7
CNA01930_5	522864	522864	1	+	utr3E	11	5	5	16	11	7	2	5	2	11	8	8	7	1	2	2	3	7
CNA01950_1	524732	524743	12	+	utr3E	2247	1027	853	778	593	425	172	144	246	173	163	145	180	133	113	645	388	529
CNA01960_1	527032	527032	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0
CNA01960_2	527036	527038	3	+	utr3E	8	10	4	3	3	1	3	9	2	3	5	4	0	0	0	0	0	0
CNA01960_3	527038	527038	1	+	utr3E	0	0	0	3	3	1	3	9	2	0	0	0	0	0	0	0	0	0
CNA01960_4	527185	527207	23	+	utr3E	18	7	7	6	3	5	2	2	6	3	4	5	3	5	2	2	5	1
CNA01980_1	527793	527798	6	+	utr5I	12	8	3	4	3	3	2	2	1	2	10	6	2	1	2	12	3	8
CNA01980_2	527798	527798	1	+	utr5I	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0
CNA01980_3	527995	527995	1	+	cdsI	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0
CNA01980_4	528248	528336	89	+	utr3E	20	3	4	10	5	7	9	5	4	5	12	5	2	1	1	31	19	25
CNA02000_1	534681	534681	1	+	utr3E	1	3	1	0	0	0	3	1	2	5	10	4	0	0	0	0	0	0
CNA02000_2	535120	535131	12	+	utr3E	52	51	27	14	17	6	37	38	57	24	56	45	52	28	38	6	5	6
CNA02010_1	535271	535272	2	+	utr5E	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	16	4	3
CNA02010_2	536039	536039	1	+	cdsE	7	2	3	7	11	3	3	4	6	16	13	8	22	13	15	3	3	2
CNA02010_3	537388	537406	19	+	utr3E	58	20	14	41	19	27	17	11	7	27	21	12	88	64	57	2	3	4
CNA02030_1	545822	545865	44	+	cdsE	24	18	11	22	18	7	21	24	28	29	29	29	15	20	12	0	0	0
CNA02030_2	546326	546331	6	+	utr3E	34	32	20	27	22	10	10	3	11	10	13	12	1	2	2	2	3	1
CNA02050_1	548981	548989	9	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	5
CNA02050_2	549880	549890	11	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	13	12	10	0	0	0
CNA02050_3	549947	549952	6	+	utr3E	3	5	3	23	15	4	9	5	12	4	1	2	26	26	33	0	0	0
CNA02060_1	554814	554866	53	+	utr3E	15	5	3	12	12	10	5	6	6	14	10	10	15	13	9	3	4	2
CNA02090_1	557615	557649	35	+	utr3E	166	126	93	88	68	50	179	130	211	168	187	177	102	79	70	21	17	17
CNA02115_1	559850	559850	1	+	utr5E	6	2	1	3	3	1	0	0	0	4	1	2	0	0	0	15	7	4
CNA02115_2	561453	561453	1	+	cdsI	0	0	0	0	0	0	0	0	0	3	3	5	0	0	0	0	0	0
