name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c
CNAG_00016_1	53262	53383	122	+	utr5E	733	996	960	954	935	694	417	440	399	852	524	632
CNAG_00018_1	59177	59256	80	+	utr5E	90	139	122	54	37	50	27	35	37	10	6	11
CNAG_00018_2	59588	59597	10	+	cdsE	0	0	0	3	1	4	0	0	0	7	6	9
CNAG_00018_3	60280	60356	77	+	cdsE	0	0	0	7	6	8	0	0	0	0	0	0
CNAG_00020_1	62564	62587	24	+	utr5E	90	89	63	62	51	46	49	50	49	31	10	20
CNAG_00020_2	63385	63392	8	+	cdsE	21	17	11	6	2	2	0	0	0	1	1	1
CNAG_00020_3	63722	63810	89	+	cdsE	0	0	0	3	3	2	0	0	0	23	21	13
CNAG_00020_4	64556	64558	3	+	cdsE	0	0	0	10	18	18	0	0	0	0	0	0
CNAG_00020_5	65170	65227	58	+	cdsE	8	10	11	16	14	9	2	4	2	14	14	11
CNAG_00020_6	65410	65444	35	+	cdsE	0	0	0	10	15	11	0	0	0	11	13	5
CNAG_00020_7	66077	66191	115	+	cdsE	2	1	4	4	5	3	10	6	8	11	11	12
CNAG_00024_1	73477	73709	233	+	utr5E	1089	1028	699	775	650	751	273	294	245	309	175	256
CNAG_00024_2	76761	77275	515	+	utr3E	902	1015	727	1076	1062	1074	159	132	106	195	147	89
CNAG_00027_1	83920	83995	76	+	utr5E	36	25	15	24	12	18	33	21	17	30	24	40
CNAG_00029_1	90352	90443	92	+	utr5E	5	2	3	30	20	16	7	7	4	30	21	27
CNAG_00029_2	90862	90862	1	+	cdsE	0	0	0	2	1	4	0	0	0	0	0	0
CNAG_00030_1	92088	92098	11	+	utr5E	6	4	8	12	10	13	4	7	4	19	9	23
CNAG_00030_2	92354	92354	1	+	cdsE	0	0	0	0	0	0	3	1	1	0	0	0
CNAG_00032_1	96783	96783	1	+	utr5E	0	0	0	2	1	1	0	0	0	3	2	1
CNAG_00032_2	97653	97653	1	+	cdsE	1	1	2	0	0	0	0	0	0	0	0	0
CNAG_00034_1	101048	101084	37	+	utr5E	1008	1361	1061	1322	818	1057	223	309	203	439	302	401
CNAG_00035_1	103848	103896	49	+	utr5E	0	0	0	3	4	4	8	9	7	6	5	5
CNAG_00035_2	104572	104575	4	+	utr5E	5	1	1	3	5	6	0	0	0	0	0	0
CNAG_00035_3	104575	104575	1	+	utr5E	5	1	1	0	0	0	0	0	0	0	0	0
CNAG_00035_4	106314	106314	1	+	utr5E	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_00035_5	106362	106362	1	+	utr5E	0	0	0	2	2	1	0	0	0	0	0	0
CNAG_00035_6	108263	108263	1	+	utr3E	0	0	0	0	0	0	3	3	1	0	0	0
CNAG_00035_7	108275	108275	1	+	utr3E	0	0	0	1	2	2	0	0	0	0	0	0
CNAG_00035_8	108364	108364	1	+	utr3E	0	0	0	0	0	0	1	1	3	0	0	0
CNAG_00039_1	118625	118625	1	+	utr5E	3	3	3	0	0	0	0	0	0	0	0	0
CNAG_00039_2	118693	118700	8	+	utr5E	2	3	3	0	0	0	1	1	3	2	3	3
CNAG_00039_3	118941	118964	24	+	utr5E	2	3	2	10	5	6	9	6	12	0	0	0
CNAG_00039_4	122782	122782	1	+	cdsE	2	3	4	0	0	0	0	0	0	0	0	0
CNAG_00039_5	122971	123042	72	+	cdsE	2	1	1	7	9	13	5	7	5	67	29	39
CNAG_00039_6	123108	123233	126	+	cdsE	0	0	0	28	25	25	34	35	39	102	55	75
CNAG_00040_1	123969	124069	101	+	utr5E	255	447	351	163	168	160	260	250	260	258	156	216
CNAG_00044_1	132506	132581	76	+	utr5E	39	49	46	38	39	27	7	12	9	34	24	38
CNAG_00044_2	135845	135982	138	+	cdsE	83	63	39	66	55	40	26	13	15	27	21	18
CNAG_00046_1	138045	138096	52	+	utr5E	190	241	146	179	110	149	84	119	97	125	63	111
CNAG_00046_2	139168	139226	59	+	cdsE	0	0	0	9	7	5	6	5	4	29	31	34
CNAG_00046_3	139305	139452	148	+	cdsE	0	0	0	38	26	29	13	14	12	96	58	58
CNAG_00049_1	144779	144780	2	+	utr5E	0	0	0	0	0	0	0	0	0	7	7	4
CNAG_00049_2	145166	145189	24	+	utr5E	8	20	13	11	10	9	20	23	17	19	11	13
CNAG_00049_3	145299	145323	25	+	utr5E	1	1	1	2	3	2	0	0	0	0	0	0
CNAG_00052_1	154259	154405	147	+	utr5E	828	1389	924	2659	1939	2011	538	704	811	1036	568	929
CNAG_00053_1	155131	155209	79	+	utr5E	60	93	61	19	16	21	33	46	26	4	1	1
CNAG_00055_1	157469	157498	30	+	utr5E	40	27	19	11	15	16	7	7	10	2	1	1
CNAG_00055_2	157561	157561	1	+	cdsE	0	0	0	0	0	0	1	4	1	0	0	0
CNAG_00055_3	157748	157780	33	+	cdsE	1	1	1	0	0	0	0	0	0	20	13	29
CNAG_00055_4	158021	158048	28	+	cdsE	0	0	0	4	4	3	5	7	3	3	3	2
CNAG_00055_5	158336	158347	12	+	cdsE	0	0	0	5	4	7	0	0	0	0	0	0
CNAG_00056_1	159053	159136	84	+	utr5E	65	55	42	43	32	26	28	25	25	15	12	15
CNAG_00056_2	161121	161137	17	+	cdsE	0	0	0	0	0	0	0	0	0	6	3	4
CNAG_00059_1	166366	166436	71	+	utr5E	76	107	179	47	40	31	122	80	82	41	29	39
CNAG_00061_1	169202	169348	147	+	utr5E	12219	15730	10600	18018	13466	15136	6051	6219	5309	7512	3798	5461
CNAG_00063_1	174393	174712	320	+	utr5E	585	749	645	304	326	268	156	143	131	104	59	68
CNAG_00065_1	177310	177386	77	+	utr5E	3362	5555	4640	3978	2733	2915	1838	2075	2107	2066	1084	1581
CNAG_00067_1	183977	184144	168	+	utr5E	1350	2225	2499	1589	1194	1320	1176	1158	1235	889	400	666
CNAG_00068_1	188909	188932	24	+	utr5E	6	7	6	0	0	0	15	15	13	0	0	0
CNAG_00068_2	189228	189228	1	+	utr5E	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_00068_3	191224	191224	1	+	cdsE	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_00069_1	194211	194295	85	+	utr3E	18	22	32	41	38	39	19	32	24	94	71	76
CNAG_00070_1	194452	194477	26	+	utr5E	5	3	4	23	15	25	28	28	33	30	21	29
CNAG_00070_2	194598	194665	68	+	utr5E	1	1	1	6	2	3	21	28	22	14	14	20
CNAG_00070_3	195032	195150	119	+	utr5E	2	1	2	4	6	3	3	4	3	20	25	16
CNAG_00070_4	195627	195679	53	+	cdsE	57	39	24	31	41	23	48	22	26	36	19	14
CNAG_00070_5	196536	196657	122	+	cdsE	0	0	0	21	17	19	3	4	4	14	24	10
CNAG_00070_6	197102	197227	126	+	cdsE	0	0	0	0	0	0	13	16	13	46	20	28
CNAG_00072_1	199162	199231	70	+	utr5E	55	71	49	33	23	24	39	24	27	39	30	29
CNAG_00072_2	200333	200334	2	+	cdsE	0	0	0	7	6	5	0	0	0	0	0	0
CNAG_00072_3	200577	200644	68	+	cdsE	1	3	1	12	6	9	1	2	2	2	1	1
CNAG_00074_1	205575	205735	161	+	utr5E	438	630	447	688	572	592	433	383	404	271	146	210
CNAG_00076_1	209489	209693	205	+	utr5E	632	839	636	629	514	495	262	285	277	179	105	138
CNAG_00077_1	213378	213393	16	+	utr5E	5	3	4	2	1	2	0	0	0	0	0	0
CNAG_00077_2	213526	213723	198	+	utr5E	8	9	7	41	48	47	111	108	98	236	138	178
CNAG_00077_3	215111	215306	196	+	cdsE	3	4	8	23	20	19	11	9	11	2	2	1
CNAG_00077_4	215437	215461	25	+	cdsE	0	0	0	20	16	18	2	2	2	2	4	2
CNAG_00077_5	215544	215746	203	+	cdsE	6	33	29	22	22	25	45	44	38	23	49	12
CNAG_00078_1	216840	216946	107	+	utr5E	97	69	52	26	14	31	29	42	37	8	12	9
CNAG_00078_2	220985	220991	7	+	cdsE	1	3	1	0	0	0	0	0	0	4	2	2
CNAG_00079_1	223170	223194	25	+	utr5E	21	38	20	11	10	6	2	4	3	5	2	3
CNAG_00079_2	223245	223248	4	+	utr5E	6	2	3	0	0	0	0	0	0	0	0	0
CNAG_00079_3	223699	223699	1	+	cdsE	0	0	0	2	3	3	0	0	0	0	0	0
CNAG_00079_4	224023	224176	154	+	cdsE	0	0	0	4	9	3	4	2	3	32	24	25
CNAG_00079_5	224253	224296	44	+	cdsE	0	0	0	0	0	0	6	5	4	5	4	4
CNAG_00082_1	231116	231147	32	+	utr5E	43	34	27	33	29	25	23	27	20	29	19	36
CNAG_00082_2	231806	231808	3	+	cdsE	0	0	0	7	3	4	0	0	0	7	3	2
CNAG_00084_1	236425	236452	28	+	utr5E	118	147	116	79	64	60	42	47	46	32	15	30
CNAG_00084_2	238162	238164	3	+	cdsE	0	0	0	6	6	3	0	0	0	5	7	5
CNAG_00084_3	238549	238832	284	+	cdsE	168	172	175	103	69	108	25	31	29	2	2	2
CNAG_00086_1	241021	241116	96	+	utr5E	363	321	284	82	62	70	180	192	107	98	95	77
CNAG_00090_1	249798	249815	18	+	utr5E	14	29	22	22	12	8	6	10	9	1	4	1
CNAG_00090_2	251341	251476	136	+	cdsE	0	0	0	13	10	15	12	15	11	38	26	18
CNAG_00090_3	251586	251587	2	+	cdsE	0	0	0	0	0	0	0	0	0	9	3	5
CNAG_00091_1	253374	253516	143	+	utr5E	2353	2061	894	2851	2076	1979	2008	1976	1795	3730	2706	3403
CNAG_00091_2	254102	254722	621	+	cdsE	499	494	250	1691	1241	1512	557	605	547	716	686	593
CNAG_00092_1	255992	256112	121	+	utr5E	504	903	864	694	468	602	496	516	619	189	116	152
CNAG_00094_1	261140	261271	132	+	utr5E	36	30	25	52	32	34	19	14	12	17	16	11
CNAG_00096_1	266886	266942	57	+	utr5E	33	28	38	23	11	20	30	18	18	11	7	12
CNAG_00096_2	268401	268401	1	+	cdsE	0	0	0	5	4	7	0	0	0	0	0	0
CNAG_00098_1	273738	273831	94	+	utr5E	80	113	83	63	48	56	37	61	58	182	88	113
CNAG_00098_2	274467	274663	197	+	cdsE	0	0	0	2	3	2	6	5	6	33	23	22
CNAG_00100_1	278199	278260	62	+	utr5E	501	437	352	305	248	245	131	96	96	67	32	39
CNAG_00104_1	285686	285728	43	+	utr5E	95	95	59	73	63	67	58	30	41	36	18	39
CNAG_00104_2	285827	285933	107	+	utr5E	49	76	75	25	49	38	52	65	64	16	14	3
CNAG_00104_3	288901	289011	111	+	cdsE	0	0	0	22	26	28	3	4	3	18	18	11
CNAG_00107_1	297359	297509	151	+	utr5E	485	343	176	276	217	189	105	97	87	96	42	59
CNAG_00107_2	297565	297689	125	+	cdsE	14	133	69	26	68	17	17	36	44	8	18	3
CNAG_00109_1	301088	301257	170	+	utr5E	802	990	679	401	321	315	591	586	520	223	138	152
CNAG_00109_2	301502	301606	105	+	cdsE	1	1	2	1	2	1	0	0	0	26	23	22
CNAG_00111_1	304287	304362	76	+	utr5E	140	183	151	137	125	110	76	91	79	206	130	174
CNAG_00111_2	306341	306434	94	+	cdsE	0	0	0	13	23	23	0	0	0	0	0	0
CNAG_00116_1	314946	315412	467	+	utr5E	3751	5124	3995	5213	3693	3990	666	921	827	915	485	720
CNAG_00119_1	319864	319939	76	+	utr5E	80	111	100	54	68	71	85	87	82	141	104	126
CNAG_00124_1	330491	330570	80	+	utr5E	30	32	28	5	9	5	22	10	15	0	0	0
CNAG_00124_2	332301	332573	273	+	cdsE	123	130	137	15	15	11	83	88	74	70	65	49
CNAG_00125_1	333908	333947	40	+	utr5E	49	55	88	73	68	64	74	53	95	128	47	91
CNAG_00128_1	345635	345692	58	+	utr5E	45	66	38	10	7	8	1	2	4	12	10	16
CNAG_00128_2	345792	345792	1	+	utr5E	0	0	0	1	3	2	0	0	0	1	1	1
CNAG_00128_3	347888	347984	97	+	cdsE	0	0	0	2	6	2	2	1	1	21	7	11
CNAG_00128_4	347985	347985	1	+	cdsE	0	0	0	0	0	0	1	1	1	0	0	0
CNAG_00128_5	348130	348139	10	+	cdsE	11	17	14	2	3	3	2	4	4	0	0	0
CNAG_00128_6	348249	348249	1	+	cdsE	0	0	0	5	1	2	0	0	0	0	0	0
CNAG_00128_7	349370	349388	19	+	cdsE	6	14	6	0	0	0	0	0	0	0	0	0
CNAG_00129_1	350622	350651	30	+	utr5E	0	0	0	1	2	1	5	3	3	0	0	0
CNAG_00129_2	350659	350661	3	+	utr5E	3	2	2	0	0	0	0	0	0	0	0	0
CNAG_00129_3	351028	351028	1	+	cdsE	0	0	0	3	2	1	0	0	0	0	0	0
CNAG_00129_4	351114	351114	1	+	cdsE	0	0	0	1	1	3	0	0	0	0	0	0
CNAG_00129_5	351383	351383	1	+	cdsE	0	0	0	0	0	0	0	0	0	4	3	1
CNAG_00129_6	352238	352311	74	+	cdsE	0	0	0	3	3	3	8	10	12	35	14	12
CNAG_00130_1	353591	354025	435	+	utr5E	2181	1714	677	3991	3195	2911	2248	2414	2984	2922	1825	2281
CNAG_00131_1	358370	358385	16	+	utr5E	7	12	3	7	5	8	0	0	0	3	6	5
CNAG_00133_1	363874	364066	193	+	utr5E	50	62	59	76	62	71	43	37	37	17	22	19
CNAG_00135_1	367878	367970	93	+	utr5E	1756	2924	3280	1984	1679	1729	1314	1208	1396	722	336	556
CNAG_00138_1	374489	374741	253	+	utr5E	1266	1698	1460	722	588	671	477	465	531	208	119	160
CNAG_00141_1	381036	381069	34	+	utr5E	15	16	14	19	10	6	55	52	50	73	66	70
CNAG_00141_2	381322	381337	16	+	cdsE	0	0	0	4	3	2	1	3	6	12	9	10
CNAG_00141_3	382344	382344	1	+	cdsE	4	14	14	3	6	2	17	34	30	16	34	6
CNAG_00142_1	383157	383240	84	+	utr5E	577	794	956	528	561	400	535	613	540	302	174	211
CNAG_00143_1	386255	386306	52	+	utr5E	68	114	88	47	50	56	41	49	31	42	27	37
CNAG_00143_2	387383	387584	202	+	cdsE	111	86	79	32	21	31	3	4	4	9	4	5
CNAG_00143_3	388142	388178	37	+	cdsE	0	0	0	16	16	14	1	3	2	0	0	0
CNAG_00143_4	388787	388977	191	+	cdsE	0	0	0	23	23	19	12	7	12	89	63	56
CNAG_00145_1	390778	390805	28	+	utr5E	28	35	37	17	14	17	19	25	22	5	4	9
CNAG_00147_1	399449	399537	89	+	cdsE	22	17	11	4	4	10	1	2	1	0	0	0
CNAG_00147_2	401887	401979	93	+	cdsE	13	15	8	61	46	63	9	12	8	25	12	12
CNAG_00147_3	402089	402130	42	+	cdsE	2	1	1	17	12	16	10	7	10	2	1	1
CNAG_00147_4	402386	402475	90	+	cdsE	0	0	0	6	4	1	1	1	1	12	8	13
CNAG_00147_5	402640	402705	66	+	cdsE	14	24	18	15	5	7	23	30	27	25	16	16
CNAG_00148_1	403261	403457	197	+	cdsE	116	109	82	35	27	31	27	39	31	19	11	14
CNAG_00148_2	408113	408300	188	+	cdsE	91	104	75	94	73	86	17	14	18	28	9	14
CNAG_00148_3	409247	409427	181	+	cdsE	1	1	1	5	6	4	10	7	7	34	21	26
CNAG_00149_1	410451	410564	114	+	utr5E	398	560	623	236	164	242	28	45	24	34	20	25
CNAG_00149_2	410758	410778	21	+	cdsI	2	3	2	5	1	1	5	5	5	0	0	0
CNAG_00149_3	410913	410931	19	+	cdsI	0	0	0	0	0	0	5	6	7	0	0	0
CNAG_00150_1	411819	411972	154	+	utr5E	28	25	18	23	25	16	34	35	32	6	4	4
CNAG_00150_2	412402	412462	61	+	cdsE	0	0	0	45	43	46	16	16	15	13	8	8
CNAG_00150_3	413820	414051	232	+	cdsE	38	38	25	36	34	40	37	27	31	0	0	0
CNAG_00150_4	414122	414122	1	+	cdsE	1	1	1	1	1	1	2	1	4	2	3	2
CNAG_00151_1	415454	415585	132	+	utr5E	521	420	345	255	289	166	153	143	94	209	170	149
CNAG_00153_1	420153	420162	10	+	utr5E	55	87	74	93	68	80	55	48	53	55	41	37
CNAG_00157_1	432344	432486	143	+	utr5E	102	190	173	222	162	165	122	136	112	206	109	155
CNAG_00159_1	435616	435641	26	+	utr5E	0	0	0	0	0	0	11	6	7	0	0	0
CNAG_00159_2	435705	435749	45	+	utr5E	41	76	47	46	38	34	28	23	22	49	33	29
CNAG_00167_1	454815	454897	83	+	utr5E	81	94	67	41	43	51	54	63	57	20	15	11
CNAG_00167_2	456431	456440	10	+	cdsE	0	0	0	0	0	0	0	0	0	3	3	2
CNAG_00171_1	462942	463001	60	+	utr5E	147	202	183	96	59	64	129	171	156	82	39	70
CNAG_00172_1	464904	464933	30	+	utr5E	16	18	18	3	1	2	3	5	3	0	0	0
CNAG_00172_2	466600	466600	1	+	cdsE	0	0	0	0	0	0	1	1	1	0	0	0
CNAG_00172_3	466927	466966	40	+	cdsE	3	6	4	0	0	0	0	0	0	0	0	0
CNAG_00173_1	468889	468915	27	+	utr5E	15	25	16	3	5	6	23	20	18	8	2	4
CNAG_00173_2	469487	469487	1	+	cdsI	0	0	0	3	3	2	0	0	0	0	0	0
CNAG_00173_3	469627	469740	114	+	cdsE	0	0	0	0	0	0	6	4	10	9	6	5
CNAG_00173_4	469960	470046	87	+	cdsE	0	0	0	1	1	3	4	3	3	24	14	14
CNAG_00173_5	470109	470147	39	+	cdsE	0	0	0	0	0	0	0	0	0	4	4	3
CNAG_00175_1	474448	474483	36	+	utr5E	0	0	0	8	8	6	1	1	1	3	1	1
CNAG_00175_2	474680	474680	1	+	cdsE	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_00175_3	475345	475434	90	+	cdsE	0	0	0	5	6	5	0	0	0	0	0	0
CNAG_00175_4	475491	475547	57	+	cdsE	0	0	0	8	5	6	0	0	0	0	0	0
CNAG_00175_5	475788	475979	192	+	cdsE	0	0	0	10	12	16	1	2	5	32	21	22
CNAG_00177_1	478837	478837	1	+	utr5E	0	0	0	0	0	0	2	2	4	0	0	0
CNAG_00177_2	478867	478867	1	+	utr5E	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_00179_1	488588	488598	11	+	cdsE	0	0	0	0	0	0	7	6	4	0	0	0
CNAG_00179_2	488793	488793	1	+	cdsE	0	0	0	1	2	1	0	0	0	0	0	0
CNAG_00179_3	488874	488874	1	+	cdsE	0	0	0	0	0	0	1	1	2	0	0	0
CNAG_00179_4	488937	488937	1	+	cdsE	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_00179_5	488971	488971	1	+	cdsE	0	0	0	0	0	0	1	2	2	0	0	0
CNAG_00179_6	489033	489066	34	+	cdsE	0	0	0	0	0	0	3	2	2	0	0	0
CNAG_00179_7	490017	490017	1	+	utr3E	0	0	0	2	5	3	0	0	0	4	1	2
CNAG_00180_1	490442	490557	116	+	utr5E	189	226	169	326	227	244	162	174	169	434	324	363
CNAG_00182_1	493965	494014	50	+	utr5E	135	197	163	115	105	124	145	174	146	223	126	206
CNAG_00184_1	502208	502254	47	+	utr5E	71	64	50	93	61	49	92	101	66	79	38	60
CNAG_00184_2	504406	504435	30	+	cdsE	0	0	0	6	8	10	1	1	1	3	4	2
CNAG_00185_1	504883	505050	168	+	utr5E	293	404	289	404	387	342	266	264	214	202	113	185
CNAG_00187_1	506925	507134	210	+	utr5E	1204	1427	1346	1390	1293	1061	1129	943	980	877	544	610
CNAG_00189_1	510530	510681	152	+	utr5E	133	171	143	188	144	164	236	238	204	106	64	89
CNAG_00190_1	512193	512352	160	+	utr5E	437	396	251	353	294	274	370	345	356	381	209	255
CNAG_00191_1	514683	514744	62	+	utr5E	18	18	20	8	5	7	41	43	22	9	13	9
CNAG_00191_2	515457	515457	1	+	cdsE	0	0	0	0	0	0	0	0	0	2	1	1
CNAG_00192_1	517709	517719	11	+	utr5E	10	11	4	10	12	5	7	9	10	1	1	1
CNAG_00192_2	517771	517786	16	+	utr5E	13	26	11	3	1	5	3	3	2	0	0	0
CNAG_00192_3	518904	518904	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	2	1
CNAG_00192_4	519924	519927	4	+	cdsE	0	0	0	37	41	43	0	0	0	3	1	2
CNAG_00192_5	520767	520767	1	+	cdsE	4	6	7	0	0	0	1	6	1	2	1	1
CNAG_00194_1	528409	528459	51	+	utr5E	145	161	156	132	85	89	133	126	85	61	45	44
CNAG_00229_1	605111	605158	48	+	utr5E	3	3	4	9	4	5	5	6	8	10	8	10
CNAG_00229_2	607173	607250	78	+	utr5E	15	16	9	13	9	10	24	23	27	2	1	2
CNAG_00229_3	607345	607345	1	+	utr5E	0	0	0	1	1	4	0	0	0	7	5	4
CNAG_00229_4	607432	607490	59	+	utr5E	0	0	0	6	2	7	0	0	0	5	5	3
CNAG_00229_5	607563	607563	1	+	utr5E	0	0	0	6	3	6	2	3	3	4	8	5
CNAG_00229_6	607738	607738	1	+	utr5E	3	1	2	8	3	3	3	4	4	0	0	0
CNAG_00229_7	607872	607912	41	+	utr5E	1	3	1	5	6	7	4	3	3	0	0	0
CNAG_00229_8	608075	608077	3	+	cdsE	0	0	0	4	5	6	0	0	0	0	0	0
CNAG_00231_1	610015	610050	36	+	utr5E	16	17	15	19	17	8	36	27	19	26	21	22
CNAG_00231_2	610209	610263	55	+	cdsE	0	0	0	2	3	4	3	2	2	8	10	6
CNAG_00231_3	611531	611533	3	+	cdsI	0	0	0	0	0	0	2	4	5	0	0	0
CNAG_00233_1	612703	612796	94	+	utr5E	186	120	130	63	58	38	207	154	99	78	53	64
CNAG_00234_1	613811	613866	56	+	utr5E	122	88	83	83	80	53	73	81	61	64	43	51
CNAG_00236_1	618219	618235	17	+	utr5E	8	7	11	0	0	0	7	6	4	5	7	6
CNAG_00236_2	619469	619469	1	+	cdsE	2	1	1	0	0	0	0	0	0	0	0	0
CNAG_00236_3	619511	619631	121	+	cdsE	1	1	1	18	18	15	0	0	0	28	18	27
CNAG_00237_1	620484	620572	89	+	utr5E	103	105	90	41	53	63	59	33	29	35	27	26
CNAG_00237_2	622891	622930	40	+	cdsE	0	0	0	4	4	5	4	4	5	6	4	3
CNAG_00237_3	623087	623151	65	+	cdsE	0	0	0	3	4	5	12	18	13	7	5	5
CNAG_00238_1	623773	623954	182	+	utr5E	1266	915	720	663	570	524	466	365	259	215	154	205
CNAG_00238_2	624026	624206	181	+	cdsE	351	261	201	142	128	125	39	36	31	67	46	46
CNAG_00238_3	624256	624443	188	+	cdsE	951	906	669	483	392	438	222	168	127	298	161	183
CNAG_00240_1	630744	630784	41	+	utr5E	240	159	97	60	53	47	134	87	76	50	31	23
CNAG_00241_1	634675	634785	111	+	utr5E	579	743	887	520	615	473	862	684	813	578	294	366
CNAG_00247_1	648987	649023	37	+	utr5E	17	26	27	2	2	1	11	10	11	25	29	26
CNAG_00247_2	650215	650228	14	+	cdsE	0	0	0	0	0	0	0	0	0	13	4	7
CNAG_00247_3	652259	652259	1	+	cdsE	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_00247_4	652438	652489	52	+	cdsE	1	1	1	0	0	0	0	0	0	23	21	22
CNAG_00249_1	655126	655212	87	+	utr5E	28	26	20	3	9	8	23	14	15	2	2	2
CNAG_00249_2	655548	655554	7	+	cdsE	26	27	15	18	9	13	24	26	12	20	15	12
CNAG_00249_3	656314	656425	112	+	cdsE	13	17	11	45	44	42	50	48	59	31	16	26
CNAG_00249_4	656756	656847	92	+	cdsE	0	0	0	29	24	29	2	1	2	0	0	0
CNAG_00250_1	657647	657714	68	+	utr5E	130	130	98	42	33	41	34	25	24	5	1	5
CNAG_00250_2	657755	657799	45	+	utr5E	0	0	0	11	13	14	0	0	0	0	0	0
CNAG_00250_3	657923	658001	79	+	utr5E	13	38	33	10	26	10	5	10	6	0	0	0
CNAG_00250_4	658093	658095	3	+	cdsE	0	0	0	22	32	32	0	0	0	0	0	0
CNAG_00251_1	660050	660098	49	+	utr5E	14	9	13	16	7	7	13	5	6	13	5	7
CNAG_00251_2	661131	661144	14	+	cdsE	3	7	4	15	15	9	22	19	13	134	43	52
CNAG_00253_1	662192	662286	95	+	utr5E	502	755	503	194	141	148	294	264	249	189	109	143
CNAG_00254_1	665522	665650	129	+	utr5E	3230	3171	2256	2185	2299	1325	503	368	418	831	412	556
CNAG_00256_1	668197	668298	102	+	utr5E	1143	1386	995	1522	1155	1080	348	290	301	290	122	170
CNAG_00259_1	680586	680638	53	+	utr5E	117	136	121	82	59	56	86	64	49	48	42	47
CNAG_00259_2	681477	681551	75	+	cdsE	0	0	0	24	19	10	0	0	0	69	36	48
CNAG_00261_1	686761	687060	300	+	utr5E	2348	1940	1338	1655	1587	1295	8493	6948	5417	4355	2630	3590
CNAG_00265_1	693920	693999	80	+	utr5E	161	229	196	79	79	81	66	50	43	65	35	61
CNAG_00267_1	696377	696402	26	+	utr5E	6	5	6	4	1	1	6	7	6	5	8	4
CNAG_00267_2	697527	697527	1	+	cdsE	0	0	0	6	5	7	0	0	0	13	7	3
CNAG_00267_3	697669	697669	1	+	cdsE	3	7	4	5	5	3	4	4	2	2	3	3
CNAG_00269_1	701830	701851	22	+	utr5E	19	12	6	6	6	3	15	21	9	4	3	7
CNAG_00270_1	704160	704205	46	+	utr5E	160	293	256	255	209	265	86	99	89	284	180	247
CNAG_00272_1	706468	706522	55	+	utr5E	44	70	71	17	22	22	67	56	52	18	20	18
CNAG_00272_2	707850	707875	26	+	cdsE	0	0	0	8	8	16	0	0	0	0	0	0
CNAG_00272_3	711376	711424	49	+	cdsE	0	0	0	1	1	2	4	15	3	19	12	8
CNAG_00274_1	713775	713820	46	+	utr5E	160	141	85	45	59	56	134	103	93	53	42	33
