Gene_name	nSites	nLocations	Tot	cdsAlt	utr5Altx	utr3Altx
CNA02335	3	3	49	TRUE	FALSE	FALSE
CNA02340	2	2	484	TRUE	FALSE	FALSE
CNA02350	6	2	2011	TRUE	FALSE	FALSE
CNA02360	1	1	7315	FALSE	FALSE	FALSE
CNA02370	4	2	7403	TRUE	FALSE	FALSE
CNA02380	5	2	47	TRUE	TRUE	FALSE
CNA02390	2	2	13291	TRUE	FALSE	FALSE
CNA02400	4	2	1102	TRUE	TRUE	FALSE
CNA02405	5	3	2085	TRUE	FALSE	FALSE
CNA02410	1	1	8351	FALSE	FALSE	FALSE
CNA02420	2	2	3774	TRUE	FALSE	FALSE
CNA02430	3	2	8732	TRUE	FALSE	FALSE
CNA02440	2	2	1457	TRUE	FALSE	FALSE
CNA02450	2	2	2667	TRUE	FALSE	FALSE
CNA02460	5	4	2572	TRUE	TRUE	FALSE
CNA02470	4	2	1016	TRUE	FALSE	FALSE
CNA02480	1	1	2343	FALSE	FALSE	FALSE
CNA02490	4	3	1358	TRUE	FALSE	FALSE
CNA02500	2	2	808	TRUE	FALSE	FALSE
CNA02510	2	2	1301	TRUE	FALSE	FALSE
CNA02520	1	1	18503	FALSE	FALSE	FALSE
CNA02530	5	3	757	TRUE	FALSE	FALSE
CNA02535	5	3	2039	TRUE	FALSE	FALSE
CNA02540	2	2	8436	TRUE	FALSE	FALSE
CNA02550	1	1	2742	FALSE	FALSE	FALSE
CNA02555	1	1	2890	FALSE	FALSE	FALSE
CNA02560	3	2	300	TRUE	FALSE	FALSE
CNA02570	1	1	12193	FALSE	FALSE	FALSE
CNA02580	3	2	2494	TRUE	FALSE	FALSE
CNA02590	1	1	3778	FALSE	FALSE	FALSE
CNA02600	1	1	3119	FALSE	FALSE	FALSE
CNA02610	9	3	472	TRUE	FALSE	FALSE
CNA02620	2	2	828	TRUE	FALSE	FALSE
CNA02625	3	2	1611	TRUE	FALSE	FALSE
CNA02630	2	2	2511	TRUE	FALSE	FALSE
CNA02640	2	1	2918	FALSE	TRUE	FALSE
CNA02645	3	2	612	TRUE	FALSE	FALSE
CNA02650	2	2	18227	TRUE	FALSE	FALSE
CNA02660	1	1	2740	FALSE	FALSE	FALSE
CNA02670	2	2	2945	TRUE	FALSE	FALSE
CNA02680	1	1	2980	FALSE	FALSE	FALSE
CNA02690	1	1	1505	FALSE	FALSE	FALSE
CNA02700	1	1	8012	FALSE	FALSE	FALSE
CNA02710	6	3	298	TRUE	TRUE	FALSE
CNA02720	7	2	111	TRUE	TRUE	FALSE
CNA02730	2	1	4720	FALSE	TRUE	FALSE
CNA02740	2	2	999	TRUE	FALSE	FALSE
CNA02750	1	1	3036	FALSE	FALSE	FALSE
CNA02760	1	1	4564	FALSE	FALSE	FALSE
CNA02770	1	1	1071	FALSE	FALSE	FALSE
CNA02780	1	1	2956	FALSE	FALSE	FALSE
CNA02790	3	3	2233	TRUE	FALSE	FALSE
CNA02800	3	3	2507	TRUE	TRUE	FALSE
CNA02810	4	2	2241	TRUE	FALSE	FALSE
CNA02820	1	1	16112	FALSE	FALSE	FALSE
CNA02830	2	2	4765	FALSE	FALSE	FALSE
CNA02840	1	1	3700	FALSE	FALSE	FALSE
CNA02845	5	2	376	TRUE	FALSE	FALSE
CNA02850	1	1	2927	FALSE	FALSE	FALSE
CNA02860	5	2	815	TRUE	FALSE	FALSE
CNA02870	1	1	3665	FALSE	FALSE	FALSE
CNA02875	5	3	454	TRUE	TRUE	FALSE
CNA02880	6	3	576	TRUE	TRUE	FALSE
CNA02885	1	1	2084	FALSE	FALSE	FALSE
CNA02890	1	1	11402	FALSE	FALSE	FALSE
CNA02895	1	1	9951	FALSE	FALSE	FALSE
CNA02900	1	1	14859	FALSE	FALSE	FALSE
CNA02905	1	1	18112	FALSE	FALSE	FALSE
CNA02910	3	2	1745	TRUE	FALSE	FALSE
CNA02920	2	2	3152	TRUE	FALSE	FALSE
CNA02930	5	2	395	TRUE	FALSE	FALSE
CNA02940	3	2	2529	TRUE	TRUE	FALSE
CNA02950	2	2	781	TRUE	FALSE	FALSE
CNA02960	3	1	664	TRUE	FALSE	FALSE
CNA02970	2	2	6683	TRUE	FALSE	FALSE
CNA02980	2	2	2288	TRUE	FALSE	FALSE
CNA02990	2	2	14216	TRUE	FALSE	FALSE
CNA03000	2	2	974	TRUE	FALSE	FALSE
CNA03010	6	3	375	TRUE	TRUE	TRUE
CNA03020	1	1	67066	FALSE	FALSE	FALSE
CNA03030	1	1	14245	FALSE	FALSE	FALSE
CNA03040	1	1	12826	FALSE	FALSE	FALSE
CNA03050	3	2	1198	TRUE	FALSE	FALSE
CNA03060	5	1	1635	TRUE	FALSE	FALSE
CNA03065	4	2	1090	TRUE	FALSE	FALSE
CNA03070	4	2	1600	TRUE	TRUE	FALSE
CNA03090	1	1	3537	FALSE	FALSE	FALSE
CNA03093	3	1	66	TRUE	FALSE	FALSE
CNA03095	1	1	507	FALSE	FALSE	FALSE
CNA03100	5	2	3191	TRUE	FALSE	FALSE
CNA03110	1	1	5340	FALSE	FALSE	FALSE
CNA03120	4	3	914	TRUE	FALSE	FALSE
CNA03130	3	3	5619	TRUE	FALSE	FALSE
CNA03140	7	3	1020	TRUE	FALSE	FALSE
CNA03150	4	2	869	TRUE	FALSE	FALSE
CNA03160	3	2	15559	TRUE	TRUE	FALSE
CNA03170	2	1	4515	FALSE	TRUE	FALSE
CNA03180	1	1	10714	FALSE	FALSE	FALSE
CNA03190	5	2	434	TRUE	FALSE	FALSE
CNA03200	1	1	1647	FALSE	FALSE	FALSE
CNA03210	1	1	54518	FALSE	FALSE	FALSE
CNA03220	11	3	740	TRUE	TRUE	FALSE
CNA03240	6	3	1037	TRUE	FALSE	FALSE
CNA03250	5	2	278	TRUE	TRUE	FALSE
CNA03265	6	3	1092	TRUE	TRUE	FALSE
CNA03280	5	2	1559	TRUE	FALSE	FALSE
CNA03290	1	1	15396	FALSE	FALSE	FALSE
CNA03300	1	1	7576	FALSE	FALSE	FALSE
CNA03310	1	1	28917	FALSE	FALSE	FALSE
CNA03320	3	2	566	TRUE	FALSE	FALSE
CNA03330	1	1	56914	FALSE	FALSE	FALSE
CNA03340	4	2	924	TRUE	TRUE	FALSE
CNA03350	2	2	4056	TRUE	FALSE	FALSE
CNA03360	1	1	5569	FALSE	FALSE	FALSE
CNA03370	8	2	212	TRUE	FALSE	FALSE
CNA03380	2	2	1797	TRUE	FALSE	FALSE
CNA03390	1	1	3686	FALSE	FALSE	FALSE
CNA03400	2	2	2133	TRUE	FALSE	FALSE
CNA03410	2	2	4688	TRUE	FALSE	FALSE
CNA03420	1	1	3401	FALSE	FALSE	FALSE
CNA03430	3	2	1831	TRUE	FALSE	FALSE
CNA03450	9	2	339	TRUE	FALSE	FALSE
CNA03460	6	2	873	TRUE	FALSE	FALSE
CNA03470	2	2	6055	TRUE	FALSE	FALSE
CNA03480	3	3	1958	TRUE	FALSE	FALSE
CNA03490	1	1	28714	FALSE	FALSE	FALSE
CNA03500	1	1	7600	FALSE	FALSE	FALSE
CNA03510	2	2	1255	TRUE	FALSE	FALSE
CNA03520	4	2	1588	TRUE	FALSE	FALSE
CNA03523	1	1	12841	FALSE	FALSE	FALSE
CNA03525	5	2	116	TRUE	FALSE	FALSE
CNA03530	2	2	13836	FALSE	FALSE	FALSE
CNA03540	3	2	1395	TRUE	FALSE	FALSE
CNA03550	3	2	1521	TRUE	FALSE	FALSE
CNA03560	5	2	908	TRUE	FALSE	FALSE
CNA03570	1	1	6298	FALSE	FALSE	FALSE
CNA03580	1	1	3752	FALSE	FALSE	FALSE
CNA03590	4	2	629	TRUE	FALSE	FALSE
CNA03600	5	2	3307	TRUE	FALSE	FALSE
CNA03725	4	2	266	TRUE	FALSE	FALSE
CNA03730	1	1	19802	FALSE	FALSE	FALSE
CNA03740	4	2	4495	TRUE	FALSE	FALSE
CNA03750	4	2	1071	TRUE	FALSE	FALSE
CNA03760	5	2	532	TRUE	FALSE	FALSE
CNA03770	2	2	2605	TRUE	FALSE	FALSE
CNA03780	2	2	2863	TRUE	FALSE	FALSE
CNA03790	1	1	3887	FALSE	FALSE	FALSE
CNA03795	1	1	18018	FALSE	FALSE	FALSE
CNA03800	1	1	1488	FALSE	FALSE	FALSE
CNA03810	2	2	9685	TRUE	FALSE	FALSE
CNA03820	1	1	3209	FALSE	FALSE	FALSE
CNA03830	5	2	548	TRUE	FALSE	FALSE
CNA03840	3	2	3134	TRUE	TRUE	FALSE
CNA03850	1	1	1387	FALSE	FALSE	FALSE
CNA03860	6	2	625	TRUE	FALSE	FALSE
CNA03870	6	3	1208	TRUE	TRUE	FALSE
CNA03880	1	1	1786	FALSE	FALSE	FALSE
CNA03890	6	3	323	TRUE	FALSE	FALSE
CNA03900	8	3	904	TRUE	FALSE	FALSE
CNA03910	3	3	768	TRUE	FALSE	FALSE
CNA03930	7	3	170	TRUE	FALSE	FALSE
CNA03940	6	2	1170	TRUE	FALSE	FALSE
CNA03950	3	3	249	TRUE	FALSE	FALSE
CNA03960	2	2	74388	TRUE	FALSE	FALSE
CNA03970	1	1	10711	FALSE	FALSE	FALSE
CNA03990	3	2	1359	TRUE	FALSE	FALSE
CNA04000	1	1	10658	FALSE	FALSE	FALSE
CNA04010	4	2	1364	TRUE	FALSE	FALSE
CNA04015	1	1	1194	FALSE	FALSE	FALSE
CNA04020	2	2	17303	FALSE	FALSE	FALSE
CNA04025	6	3	2320	TRUE	FALSE	FALSE
CNA04030	2	2	9116	TRUE	FALSE	FALSE
CNA04040	6	2	173	TRUE	FALSE	FALSE
CNA04050	2	2	13777	TRUE	FALSE	FALSE
CNA04060	1	1	6861	FALSE	FALSE	FALSE
CNA04063	5	2	1913	TRUE	FALSE	FALSE
CNA04065	1	1	14868	FALSE	FALSE	FALSE
CNA04070	1	1	129772	FALSE	FALSE	FALSE
CNA04080	10	3	826	TRUE	FALSE	FALSE
CNA04090	1	1	1532	FALSE	FALSE	FALSE
CNA04100	1	1	6757	FALSE	FALSE	FALSE
CNA04110	4	3	2566	TRUE	FALSE	FALSE
CNA04120	3	2	2065	TRUE	FALSE	FALSE
CNA04130	3	2	1950	TRUE	TRUE	FALSE
CNA04140	6	2	1189	TRUE	FALSE	FALSE
CNA04145	4	2	143	TRUE	FALSE	FALSE
CNA04150	2	2	3025	TRUE	FALSE	FALSE
CNA04160	1	1	2441	TRUE	FALSE	FALSE
CNA04170	2	2	3761	TRUE	FALSE	FALSE
CNA04180	3	2	2112	TRUE	FALSE	FALSE
CNA04190	1	1	17709	FALSE	FALSE	FALSE
CNA04200	1	1	650	FALSE	FALSE	FALSE
CNA04210	2	2	804	TRUE	FALSE	FALSE
CNA04220	5	2	1537	TRUE	FALSE	FALSE
CNA04230	3	2	736	TRUE	FALSE	FALSE
CNA04240	1	1	6749	FALSE	FALSE	FALSE
CNA04250	4	2	2797	TRUE	TRUE	FALSE
CNA04260	3	2	102	TRUE	FALSE	FALSE
CNA04265	1	1	5142	FALSE	FALSE	FALSE
CNA04270	4	2	1967	TRUE	TRUE	FALSE
CNA04280	2	2	1748	TRUE	FALSE	FALSE
CNA04290	2	2	2273	TRUE	FALSE	FALSE
CNA04300	2	2	4029	TRUE	FALSE	FALSE
CNA04310	3	2	900	TRUE	FALSE	FALSE
CNA04320	10	2	58	TRUE	TRUE	FALSE
CNA04330	7	3	356	TRUE	FALSE	FALSE
CNA04340	2	2	54224	FALSE	FALSE	FALSE
CNA04350	4	3	1108	TRUE	FALSE	FALSE
CNA04360	2	2	51497	FALSE	FALSE	FALSE
CNA04370	2	1	17348	FALSE	TRUE	FALSE
CNA04380	1	1	10643	FALSE	FALSE	FALSE
CNA04390	1	1	3328	FALSE	FALSE	FALSE
CNA04400	8	2	76	TRUE	FALSE	FALSE
CNA04410	4	2	3427	TRUE	FALSE	FALSE
CNA04420	1	1	15680	FALSE	FALSE	FALSE
CNA04430	5	2	1528	TRUE	FALSE	FALSE
CNA04460	1	1	23432	FALSE	FALSE	FALSE
CNA04470	1	1	1876	FALSE	FALSE	FALSE
CNA04480	1	1	8134	FALSE	FALSE	FALSE
CNA04490	5	2	1752	TRUE	FALSE	FALSE
CNA04500	1	1	3538	FALSE	FALSE	FALSE
CNA04510	1	1	1726	FALSE	FALSE	FALSE
CNA04520	1	1	6101	FALSE	FALSE	FALSE
CNA04540	6	2	829	TRUE	FALSE	FALSE
CNA04550	1	1	16189	FALSE	FALSE	FALSE
CNA04560	1	1	5300	FALSE	FALSE	FALSE
CNA04570	8	2	203	TRUE	TRUE	FALSE
CNA04580	3	1	305	FALSE	TRUE	FALSE
CNA04590	2	2	5715	TRUE	FALSE	FALSE
CNA04600	1	1	25183	FALSE	FALSE	FALSE
CNA04610	1	1	8227	FALSE	FALSE	FALSE
CNA04620	6	3	892	TRUE	TRUE	FALSE
CNA04630	4	2	139	TRUE	TRUE	FALSE
CNA04640	1	1	3098	FALSE	FALSE	FALSE
CNA04650	1	1	36064	FALSE	FALSE	FALSE
CNA04660	4	3	2148	TRUE	FALSE	FALSE
CNA04670	2	2	14375	TRUE	FALSE	FALSE
CNA04680	1	1	3849	FALSE	FALSE	FALSE
CNA04685	9	3	895	TRUE	FALSE	TRUE
CNA04690	5	3	147	TRUE	FALSE	FALSE
CNA04695	1	1	8396	FALSE	FALSE	FALSE
CNA04700	5	3	322	TRUE	FALSE	FALSE
CNA04710	3	2	3197	TRUE	FALSE	FALSE
CNA04715	6	2	1649	TRUE	TRUE	FALSE
CNA04720	7	3	683	TRUE	TRUE	FALSE
CNA04730	2	2	1790	TRUE	FALSE	FALSE
CNA04740	1	1	977	FALSE	FALSE	FALSE
CNA04750	1	1	9884	FALSE	FALSE	FALSE
CNA04760	4	2	4899	TRUE	FALSE	FALSE
CNA04770	5	2	4865	TRUE	FALSE	FALSE
CNA04780	1	1	8992	FALSE	FALSE	FALSE
CNA04790	3	1	11	FALSE	TRUE	FALSE
CNA04800	2	1	34	FALSE	TRUE	FALSE
CNA04810	6	4	363	TRUE	FALSE	TRUE
CNA04830	11	2	732	TRUE	FALSE	FALSE
CNA04840	9	2	487	TRUE	TRUE	FALSE
CNA04850	1	1	2167	FALSE	FALSE	FALSE
CNA04860	1	1	5502	FALSE	FALSE	FALSE
CNA04870	3	2	1334	TRUE	FALSE	FALSE
CNA04880	5	2	405	TRUE	FALSE	FALSE
CNA04890	3	2	4048	TRUE	FALSE	FALSE
CNA04900	1	1	428	FALSE	FALSE	FALSE
CNA04910	3	2	1775	TRUE	FALSE	FALSE
CNA04920	2	2	45005	TRUE	FALSE	FALSE
CNA04930	1	1	5558	FALSE	FALSE	FALSE
CNA04935	5	2	64	TRUE	TRUE	FALSE
CNA04940	1	1	5172	FALSE	FALSE	FALSE
CNA04950	1	1	25646	FALSE	FALSE	FALSE
CNA04960	6	3	541	TRUE	FALSE	FALSE
CNA04970	3	2	482	FALSE	TRUE	FALSE
CNA04980	3	2	523	TRUE	FALSE	FALSE
CNA04990	4	3	525	TRUE	TRUE	FALSE
CNA05000	7	2	801	TRUE	TRUE	FALSE
